"arg_sig","count"
"[C, sF, D, I, language, sN, error, L, l{?}]",1
"[C, D, L, sF, sN]",1
"[C, error, missing, sN]",1
"[D, I, expression]",1
"[C, I, L, error, l{?}, missing]",1
"[C, D, I, M{C}, l{?}]",18
"[D, l{?}, sE]",2
"[sS, sE, C, sF, D, externalptr, I, sN, M{C}, L, l{?}]",1
"[arg11_t]",1
"[C, L, l{?}, missing, sS]",1
"[C, D, Y, language]",8
"[D, language, error, l{?}]",1
"[C, D, L, sE, sF]",1
"[X, sN]",1
"[C, L, sF]",2
"[D, l{?}, sF]",14
"[sS, D, sN, l{?}]",1
"[D, L, M{C}, M{R}, l{?}, sS, unevaled]",1
"[C, M{C}, sN]",2
"[C, D, I, L, language, l{?}, sF, sN, sS]",1
"[I, language]",2
"[C, D, L, error, language, l{?}, sE, sF, sN]",1
"[externalptr, missing]",2
"[C, D, Y, error, language]",1
"[C, expression, l{?}, sN]",2
"[sF, C, L, l{?}]",1
"[M{C}, sN]",13
"[l{?}, missing, sS]",6
"[C, D, X, L, l{?}]",1
"[D, M{C}, R, l{?}]",1
"[C, l{?}, missing, sN]",1
"[I, error, l{?}, sF]",1
"[D, I, missing, sF]",2
"[D, I, L, sS]",2
"[C, D, l{?}, sE]",1
"[C, I, language, l{?}, sE, sF, sN, unevaled]",1
"[C, R, l{?}, sN]",1
"[C, I, M{C}, l{?}]",1
"[C, sN, L]",8
"[I, missing]",58
"[C, D, I, L, M{C}]",2
"[C, l{?}, missing]",5
"[D, I, language]",1
"[sS, sF, C, D, I, language, sN, error, L, pairlist, l{?}]",1
"[I, l{?}, missing]",2
"[sF, M{C}, error, l{?}]",1
"[I, R]",4
"[error, l{?}, sN]",5
"[Y, sE, sF]",1
"[error, language, sF, sN]",1
"[sF, I]",1
"[C, D, error, sF]",1
"[arg4_t]",1
"[C, D, I, L, sS]",8
"[C, D, I, L, M{X}, R, X, Y, language, l{?}, sE, sF, sN]",1
"[C, Y, language, sE, sN]",1
"[Y, sF, unevaled]",1
"[C, D, sF]",5
"[C, expression, language, sN]",2
"[D, R, l{?}]",5
"[I, L, error, l{?}, missing]",1
"[M{C}, l{?}]",128
"[error, missing, sE]",2
"[D, language, l{?}]",10
"[C, D, I, L, l{?}, pairlist]",1
"[C, D, I, L, language, l{?}, sE]",1
"[D, error, l{?}]",29
"[sF, C, sN, L, l{?}]",1
"[D, error, missing]",33
"[X]",195
"[arg2_t]",1
"[l{?}, sF, unevaled]",54
"[I, X]",3
"[sE, C, D, l{?}]",1
"[sE, sF, C, I, sN, L, l{?}]",1
"[C, D, I, error, l{?}, missing, sN]",1
"[Y]",65
"[C, language, missing]",3
"[sS, C, sN]",1
"[M{C}, error, l{?}]",3
"[C, D, I, L, M{C}, X, l{?}, sF, sN]",3
"[externalptr, I, l{?}]",1
"[C, D, I, l{?}, sN, sS]",1
"[M{C}, M{R}, R, l{?}]",1
"[I, L, sF]",1
"[D, l{?}, sN, unevaled]",1
"[sF, D, error]",3
"[D, I, X, language, l{?}]",1
"[sF, L]",3
"[l{?}, missing, sN]",6
"[C, D, I, M{C}, l{?}, sN, sS, unevaled]",1
"[D, language, error]",2
