package,installed,loadable,package_native_code,package_r_code,package_code,runnable_code,runnable_files,runnable_code_examples,runnable_code_vignettes,runnable_code_tests,runnable_files_examples,runnable_files_vignettes,runnable_files_tests,coverage_expr,coverage_line,runnable_success,runnable_error,runnable_time,runnable_rate,funs_private,funs_public,funs,revdeps,funs_with_assert,asserts
A3,TRUE,TRUE,0,365,365,42,8,42,0,0,8,0,0,0.673992673992674,0.7675070028011206,8,0,328.365,1,0,14,14,NA,NA,NA
aaSEA,FALSE,FALSE,0,292,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABACUS,TRUE,TRUE,0,28,28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,7,7,NA,NA,NA
abbyyR,TRUE,TRUE,0,518,518,88,29,19,0,69,19,3,7,0,0,23,0,5.107999999999998,1,3,19,22,NA,NA,NA
abc,TRUE,TRUE,0,1311,1311,221,18,135,86,0,17,1,0,0.7524401064773736,0.7280534351145039,18,0,79.848,1,19,7,26,2,NA,NA
abc.data,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
ABC.RAP,TRUE,TRUE,0,123,123,81,11,63,18,0,10,1,0,1,1,11,0,35.107,1,0,10,10,NA,NA,NA
abcADM,TRUE,TRUE,1113,380,1493,23,8,23,0,0,8,0,0,0.7592592592592592,0.7776510832383124,8,0,314.387,1,7,9,16,NA,NA,NA
ABCanalysis,TRUE,TRUE,0,406,406,40,6,40,0,0,6,0,0,0.5615141955835962,0.5269461077844312,6,0,1.2580000000000013,1,0,10,10,NA,NA,NA
abcdeFBA,TRUE,TRUE,0,882,882,54,20,54,0,0,20,0,0,0.14913657770800628,0.1702127659574468,20,0,1.6219999999999957,1,1,20,21,NA,NA,NA
ABCoptim,TRUE,TRUE,233,252,485,47,4,30,0,17,2,0,2,0.9849624060150376,0.9896640826873386,3,0,5.298,1,3,2,5,NA,NA,NA
ABCp2,TRUE,TRUE,0,145,145,50,10,50,0,0,10,0,0,1,1,10,0,1.2670000000000021,1,0,6,6,NA,NA,NA
abcrf,TRUE,TRUE,311,1137,1448,121,13,121,0,0,13,0,0,0.5637982195845698,0.5506976744186046,13,0,15.508000000000003,1,32,9,41,NA,NA,NA
abcrlda,TRUE,TRUE,0,210,210,73,6,73,0,0,6,0,0,0.8300653594771242,0.8486486486486488,6,0,8.441,1,1,5,6,NA,NA,NA
abctools,FALSE,FALSE,190,1326,1516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abd,FALSE,FALSE,0,254,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abdiv,TRUE,TRUE,0,558,558,1144,23,126,0,1018,18,0,5,1,1,19,0,4.416,1,3,69,72,NA,1,1
abe,TRUE,TRUE,0,1272,1272,200,15,200,0,0,15,0,0,0.5943526170798898,0.668100358422939,14,1,22.705000000000016,0.9333333333333333,0,15,15,NA,NA,NA
