package,installed,loadable,version,title,size,package_native_code,package_r_code,package_code,runnable_code,runnable_files,runnable_code_examples,runnable_code_vignettes,runnable_code_tests,runnable_files_examples,runnable_files_vignettes,runnable_files_tests,coverage_expr,coverage_line,funs_with_coverage,runnable_success,runnable_error,runnable_time,runnable_rate,funs_public,funs_private,funs_s3_dispatch,funs_s3_method,funs,funs_s3,s3_classes,revdeps,revdeps_runnable_code,revdep_coverage_expr,revdep_coverage_line,revdep_coverage_runs,funs_with_assert,asserts,uses_roxygen
abind,TRUE,TRUE,1.4-5,Combine Multidimensional Arrays,93366,0,427,427,348,10,68,0,280,5,0,5,0.7643504531722054,0.7485380116959064,9,7,3,1.5359999999999998,0.7,5,4,4,4,9,8,0,113,71459,49.244712990936556,47.953216374269005,110,1,3,FALSE
actuar,TRUE,TRUE,2.3-3,Actuarial Functions and Heavy Tailed Distributions,3879700,6085,3331,9416,1051,69,675,376,0,63,6,0,0.7151958028855162,0.7385502471169687,233,67,2,5.8249999999999975,0.9710144927536232,233,66,12,46,299,58,0,14,6468,7.401161701330336,7.0102751077229035,13,NA,NA,FALSE
ADGofTest,TRUE,TRUE,0.3,Anderson-Darling GoF test,5736,0,43,43,6,1,6,0,0,1,0,0,0.967741935483871,0.967741935483871,3,1,0,0.528,1,1,2,0,0,3,0,0,8,7543,96.7741935483871,96.7741935483871,8,NA,NA,FALSE
agricolae,TRUE,TRUE,1.3-2,Statistical Procedures for Agricultural Research,1604541,0,6400,6400,1771,121,1241,530,0,120,1,0,0.9090440165061898,0.9097716894977169,86,117,4,47.852999999999945,0.9669421487603306,86,0,0,4,86,4,0,5,755,5.261348005502063,5.2727938484071775,4,NA,NA,FALSE
AlgDesign,TRUE,TRUE,1.2.0,Algorithmic Experimental Design,1244716,4394,1118,5512,75,5,75,0,0,4,1,0,0.650829081632653,0.6654285714285715,9,5,0,5.195,1,10,2,0,2,12,2,0,7,2416,37.11734693877551,37.829997098926604,7,NA,NA,FALSE
anytime,TRUE,TRUE,0.3.7,Anything to 'POSIXct' or 'Date' Converter,705512,522,234,756,54,7,49,0,5,5,1,1,1,1,37,7,0,9.919,1,13,35,9,21,48,30,0,10,71767,57.3170731707317,57.48987854251012,10,NA,NA,FALSE
aod,TRUE,TRUE,1.3.1,Analysis of Overdispersed Data,206299,0,1282,1282,180,16,180,0,0,16,0,0,0.8586744639376218,0.8537037037037039,19,16,0,7.367999999999999,1,24,0,0,1,24,1,2,5,910,11.890838206627679,12.149532710280374,5,NA,NA,FALSE
arrangements,TRUE,TRUE,1.1.8,"Fast Generators and Iterators for Permutations, Combinations,
Integer Partitions and Compositions",407526,6908,289,7197,2301,26,140,0,2161,12,0,14,0.8647738209817132,0.8651631477927063,19,13,0,4.846,1,12,1,0,0,13,0,0,5,932,13.306063522617903,13.411708253358926,5,NA,NA,TRUE
arules,TRUE,TRUE,1.6-4,Mining Association Rules and Frequent Itemsets,3330571,6482,3717,10199,1310,68,608,94,608,52,1,15,0.6730253353204173,0.6776906628652887,138,54,0,34.46699999999999,1,82,40,0,2,122,2,1,15,2340,43.9344262295082,43.467048710601716,15,NA,NA,FALSE
assertive.properties,TRUE,TRUE,0.0-4,Assertions to Check Properties of Variables,108706,0,939,939,648,24,140,0,508,14,0,10,0.8203125,0.7717206132879046,63,15,0,1.8210000000000013,1,70,3,0,0,73,0,0,7,2859,20.3125,19.591141396933562,7,NA,NA,TRUE
assertive.types,TRUE,TRUE,0.0-3,Assertions to Check Types of Variables,163446,0,1339,1339,595,38,180,0,415,31,0,7,0.718213058419244,0.6666666666666665,115,32,0,3.9719999999999995,1,151,3,0,0,154,0,0,8,2557,8.24742268041237,7.017543859649122,8,NA,NA,TRUE
assertthat,TRUE,TRUE,0.2.1,Easy Pre and Post Assertions,54680,0,282,282,342,19,84,0,258,11,0,8,0.8735632183908046,0.8390804597701149,31,12,0,1.5920000000000003,1,26,10,0,0,36,0,0,195,192464,80.45977011494253,77.01149425287356,193,8,8,TRUE
attempt,TRUE,TRUE,0.3.0,Tools for Defensive Programming,458932,0,252,252,609,24,26,157,426,12,6,6,0.9124087591240876,0.8456375838926175,35,17,2,3.4160000000000017,0.8947368421052632,36,3,0,0,39,0,0,8,1256,16.05839416058394,14.76510067114094,8,NA,NA,TRUE
AUC,TRUE,TRUE,0.3.0,"Threshold independent performance measures for probabilistic
classifiers.",42827,0,141,141,37,8,37,0,0,8,0,0,0.8431372549019608,0.8333333333333335,8,8,0,3.9599999999999977,1,6,3,0,1,9,1,0,5,939,49.01960784313725,50.98039215686274,5,NA,NA,FALSE
automap,TRUE,TRUE,1.0-14,Automatic interpolation package,73327,0,503,503,113,9,70,0,43,7,0,2,0.7128712871287128,0.7565011820330969,15,8,1,36.57,0.8888888888888888,6,12,0,7,18,7,0,8,2119,33.003300330033,36.29807692307692,8,NA,NA,FALSE
backports,TRUE,TRUE,1.1.5,Reimplementations of Functions Introduced Since R-3.0.0,67349,38,181,219,402,41,73,0,329,20,0,21,0.7952755905511811,0.8208955223880597,23,40,0,1.0159999999999991,1,6,22,0,0,28,0,0,30,83907,15.748031496062993,16.417910447761194,29,NA,NA,TRUE
bayesplot,TRUE,TRUE,1.7.1,Plotting for Bayesian Models,16155762,0,5756,5756,3544,59,543,273,2728,27,3,29,0.986266531027467,0.9915014164305949,297,30,1,89.39699999999999,0.967741935483871,125,177,14,17,302,31,0,16,21894,34.23194303153612,33.91674550614948,14,48,60,TRUE
bayestestR,TRUE,TRUE,0.5.2,"Understand and Describe Bayesian Models and Posterior
Distributions",7535681,0,4112,4112,1799,76,295,637,867,39,11,26,0.675553547220967,0.6727514105542649,205,48,3,232.991,0.9411764705882353,67,300,48,232,367,280,0,8,6401,25.75689109805694,26.5814266487214,7,NA,NA,TRUE
BBmisc,TRUE,TRUE,1.11,Miscellaneous Helper Functions for B. Bischl,298158,201,1393,1594,1711,135,196,0,1515,55,0,80,0.8741328047571854,0.8821459982409849,116,56,0,13.839000000000008,1,121,8,1,3,129,4,0,34,46661,61.4,64.48430493273543,34,NA,NA,TRUE
bbmle,TRUE,TRUE,1.0.23.1,Tools for General Maximum Likelihood Estimation,1253483,0,2170,2170,1515,50,178,169,1168,15,2,33,0.780437756497948,0.7880718008106542,46,46,4,61.63199999999997,0.92,34,19,1,7,53,8,0,13,11774,42.13406292749658,40.251949610077986,10,NA,NA,FALSE
bdsmatrix,TRUE,TRUE,1.3-4,Routines for Block Diagonal Symmetric Matrices,208110,1053,1326,2379,372,22,40,0,332,10,0,12,0.7271458478715981,0.7632586112629852,26,22,0,1.3490000000000009,1,10,9,0,8,19,8,0,7,7400,60.22330774598744,62.946175637393765,7,NA,NA,FALSE
behavr,TRUE,TRUE,0.3.2,Canonical Data Structure for Behavioural Data,82193,0,367,367,541,17,148,0,393,8,0,9,0.9565217391304348,0.9422382671480143,28,9,0,16.796999999999997,1,17,11,2,3,28,5,1,5,1262,69.1699604743083,66.4259927797834,5,NA,NA,TRUE
betareg,TRUE,TRUE,3.1-3,Beta Regression,2063622,0,1676,1676,600,22,226,328,46,17,2,3,0.7290379523389232,0.7407142857142859,37,23,0,55.81999999999998,1,8,37,2,26,45,28,1,9,1857,24.360105913503972,25.055106539309328,9,2,6,FALSE
bigassertr,TRUE,TRUE,0.1.2,Assertion and Message Functions,23310,0,115,115,170,5,24,0,146,2,0,3,1,1,22,3,0,3.2520000000000002,1,22,0,0,0,22,0,0,5,4580,82.8125,81.81818181818183,5,NA,NA,TRUE
