package,revdep
abind,alleHap
abind,arm
abind,Arothron
abind,autoBagging
abind,bamp
abind,BayesComm
abind,BayesS5
abind,BCBCSF
abind,berryFunctions
abind,boral
abind,brms
abind,CFC
abind,ClimDown
abind,cope
abind,CPMCGLM
abind,cSEM
abind,CSTools
abind,depth
abind,dgmb
abind,DLMtool
abind,dynamo
abind,easyNCDF
abind,elementR
abind,fastshap
abind,fic
abind,ForecastFramework
abind,fractaldim
abind,funData
abind,gdimap
abind,georob
abind,geostatsp
abind,geoviz
abind,ggspatial
abind,GGUM
abind,gsynth
abind,GWEX
abind,HLSM
abind,informR
abind,integIRTy
abind,interplot
abind,kamila
abind,kgschart
abind,latentnet
abind,LeMaRns
abind,LSDinterface
abind,magclass
abind,magic
abind,mbest
abind,mcmcderive
abind,mcmcr
abind,merTools
abind,MFPCA
abind,micemd
abind,microsamplingDesign
abind,mlogitBMA
abind,MonteCarlo
abind,multicon
abind,MultiPhen
abind,multipol
abind,mvmesh
abind,NetRep
abind,neurobase
abind,neuroim
abind,nlist
abind,oceanmap
abind,OncoBayes2
abind,openCR
abind,OpenRepGrid
abind,origami
abind,oro.nifti
abind,patternize
abind,PCMBaseCpp
abind,plfm
abind,pssm
abind,QPBoot
abind,quantspec
abind,R2jags
abind,RCMIP5
abind,rfPermute
abind,RItools
abind,rma.exact
abind,RNCEP
abind,RNOmni
abind,rosm
abind,rrscale
abind,rSHAPE
abind,rstap
abind,rtide
abind,s2dverification
abind,secr
abind,secrdesign
abind,simSummary
abind,smacpod
abind,smfsb
abind,snfa
abind,SpaCCr
abind,spagmix
abind,spant
abind,SparseTSCGM
abind,spatial.tools
abind,spatialfil
abind,spatstat
abind,SpecDetec
abind,SphericalCubature
abind,ssdtools
abind,stars
abind,startR
abind,telefit
abind,treeclim
abind,Umatrix
abind,wavScalogram
abind,xLLiM
abind,zoib
actuar,AnnuityRIR
actuar,BTSPAS
actuar,CompDist
actuar,episensr
actuar,fitur
actuar,kendallRandomWalks
actuar,lbiassurv
actuar,mbbefd
actuar,RobExtremes
actuar,robmixglm
actuar,ssdtools
actuar,stratifyR
actuar,teachingApps
actuar,univariateML
ADGofTest,copula
ADGofTest,FitUltD
ADGofTest,ParetoPosStable
ADGofTest,puniform
ADGofTest,qrmtools
ADGofTest,SOPIE
ADGofTest,VineCopula
ADGofTest,vines
agricolae,ammistability
agricolae,factorMerger
agricolae,GerminaR
agricolae,multifluo
agricolae,rPAex
AlgDesign,agricolae
AlgDesign,choiceDes
AlgDesign,conjoint
AlgDesign,crossdes
AlgDesign,ipptoolbox
AlgDesign,STPGA
AlgDesign,VdgRsm
anytime,cqcr
anytime,datadogr
anytime,E4tools
anytime,gtrendsR
anytime,rtsdata
anytime,rzeit2
anytime,shinylogs
anytime,tidyRSS
anytime,tsbox
anytime,tsibble
aod,DTR
aod,feisr
aod,mmeta
aod,riskclustr
aod,xmeta
arrangements,distantia
arrangements,iterpc
arrangements,MKinfer
arrangements,MOLHD
arrangements,sindyr
arules,arc
arules,arulesNBMiner
arules,arulesSequences
arules,clickstream
arules,CLONETv2
arules,fpmoutliers
arules,ibmdbR
arules,inTrees
arules,MachineLearning
arules,opusminer
arules,rCBA
arules,recommenderlab
arules,RKEEL
arules,RSarules
arules,sbrl
assertive.properties,assertive
assertive.properties,assertive.code
assertive.properties,assertive.types
assertive.properties,flippant
assertive.properties,multipanelfigure
assertive.properties,poio
assertive.properties,tensorr
assertive.types,assertive
assertive.types,assertive.code
assertive.types,assertive.datetimes
assertive.types,assertive.strings
assertive.types,flippant
assertive.types,multipanelfigure
assertive.types,poio
assertive.types,tensorr
assertthat,aemo
