package,fun,coverage
abind,abind,0.832258064516129
abind,acorn,1
abind,acorn.default,0.6470588235294118
abind,adrop,1
abind,adrop.default,0.71875
abind,afill<-,1
abind,afill<-.default,0.6951219512195121
abind,asub,1
abind,asub.default,0.75
actuar,.ogiveFUN,1
actuar,[.grouped.data,0.76
actuar,[<-.grouped.data,0.4375
actuar,adjCoef,0.7536231884057971
actuar,aggregate.portfolio,1
actuar,aggregateDist,0.7777777777777778
actuar,bayes,0.27906976744186046
actuar,betaint,1
actuar,bstraub,0.6428571428571429
actuar,bvar.iterative,0
actuar,bvar.unbiased,1
actuar,cm,0.875
actuar,coverage,0.9222222222222223
actuar,CTE.aggregateDist,0.6363636363636364
actuar,dburr,1
actuar,dgenbeta,1
actuar,dgenpareto,1
actuar,dgumbel,1
actuar,diff.aggregateDist,0.75
actuar,dinvburr,1
actuar,dinvexp,1
actuar,dinvgamma,1
actuar,dinvgauss,1
actuar,dinvparalogis,1
actuar,dinvpareto,1
actuar,dinvtrgamma,1
actuar,discretize,0.7352941176470589
actuar,dlgamma,1
actuar,dlgompertz,1
actuar,dllogis,1
actuar,dlogarithmic,1
actuar,dparalogis,1
actuar,dpareto1,1
actuar,dpareto2,1
actuar,dphtype,1
actuar,dpoisinvgauss,1
actuar,dtrbeta,1
actuar,dtrgamma,1
actuar,dzmbinom,1
actuar,dzmgeom,1
actuar,dzmlogarithmic,1
actuar,dzmnbinom,1
actuar,dzmpois,1
actuar,dztbinom,1
actuar,dztgeom,1
actuar,dztnbinom,1
actuar,dztpois,1
actuar,elev,1
actuar,elev.default,0.9090909090909091
actuar,elev.grouped.data,0.9565217391304348
actuar,emm,1
actuar,emm.default,0.6666666666666666
actuar,emm.grouped.data,0.8333333333333334
actuar,exact,1
actuar,frequency.portfolio,1
actuar,grouped.data,0.8363636363636363
actuar,hache,0.6666666666666666
actuar,hache.barycenter,0.92
actuar,hache.origin,0.9137931034482759
actuar,hierarc,0.8771929824561403
actuar,hist.grouped.data,0.8181818181818182
actuar,knots.elev,1
actuar,levbeta,1
actuar,levburr,1
actuar,levchisq,1
actuar,levexp,1
actuar,levgamma,1
actuar,levgenbeta,1
actuar,levgenpareto,1
actuar,levinvburr,1
actuar,levinvexp,0
actuar,levinvgamma,1
actuar,levinvgauss,1
actuar,levinvGauss,0
actuar,levinvparalogis,1
actuar,levinvpareto,0
actuar,levinvtrgamma,1
actuar,levlgamma,1
actuar,levlgompertz,1
actuar,levllogis,1
actuar,levlnorm,1
actuar,levparalogis,1
actuar,levpareto1,0
actuar,levpareto2,1
actuar,levtrbeta,1
actuar,levtrgamma,1
actuar,levunif,1
actuar,levweibull,1
actuar,mbeta,1
actuar,mburr,1
actuar,mchisq,1
actuar,mde,0.8888888888888888
actuar,mean.aggregateDist,0.75
actuar,mean.grouped.data,1
actuar,mexp,1
actuar,mgamma,1
actuar,mgenbeta,1
actuar,mgenpareto,1
actuar,mgfchisq,1
actuar,mgfexp,1
actuar,mgfgamma,1
actuar,mgfgumbel,0
actuar,mgfinvgamma,1
actuar,mgfinvgauss,0
actuar,mgfinvGauss,0
actuar,mgfnorm,1
actuar,mgfphtype,1
actuar,mgfunif,1
actuar,mgumbel,1
actuar,minvburr,1
actuar,minvexp,1
actuar,minvgamma,1
actuar,minvgauss,1
actuar,minvGauss,0
actuar,minvparalogis,1
actuar,minvpareto,1
actuar,minvtrgamma,1
actuar,mlgamma,1
actuar,mlgompertz,1
actuar,mllogis,1
actuar,mlnorm,1
actuar,mnorm,1
actuar,mparalogis,1
actuar,mpareto1,1
actuar,mpareto2,1
actuar,mphtype,1
actuar,mtrbeta,1
actuar,mtrgamma,1
actuar,munif,1
actuar,mweibull,1
actuar,normal,1
actuar,npower,1
actuar,ogive,1
actuar,ogive.default,0.7857142857142857
actuar,ogive.grouped.data,0.875
actuar,panjer,0.6533333333333333
actuar,pburr,1
actuar,pgenbeta,1
actuar,pgenpareto,1
actuar,pgflogarithmic,0
actuar,pgfztbinom,1
actuar,pgfztnbinom,0
actuar,pgfztpois,1
actuar,pgumbel,1
actuar,pinvburr,1
actuar,pinvexp,1
actuar,pinvgamma,1
actuar,pinvgauss,1
actuar,pinvparalogis,1
actuar,pinvpareto,1
actuar,pinvtrgamma,1
actuar,plgamma,1
actuar,plgompertz,1
actuar,pllogis,1
actuar,plogarithmic,1
actuar,plot.adjCoef,1
actuar,plot.aggregateDist,1
actuar,plot.elev,1
actuar,plot.ogive,1
actuar,plot.ruin,1
actuar,pparalogis,1
actuar,ppareto1,1
actuar,ppareto2,1
actuar,pphtype,1
actuar,ppoisinvgauss,1
actuar,predict.bstraub,1
actuar,predict.cm,0.8
actuar,predict.hache,1
actuar,predict.hierarc,0.9375
actuar,print.aggregateDist,0.9411764705882353
actuar,print.cm,1
actuar,print.elev,1
actuar,print.hache,0
actuar,print.mde,1
actuar,print.ogive,1
actuar,print.portfolio,1
actuar,print.summary.aggregateDist,0.8333333333333334
actuar,print.summary.cm,1
actuar,print.summary.ogive,1
actuar,ptrbeta,1
actuar,ptrgamma,1
actuar,pzmbinom,1
actuar,pzmgeom,1
actuar,pzmlogarithmic,1
actuar,pzmnbinom,1
actuar,pzmpois,1
actuar,pztbinom,1
actuar,pztgeom,1
actuar,pztnbinom,1
actuar,pztpois,1
actuar,qburr,1
actuar,qgenbeta,1
actuar,qgenpareto,1
actuar,qgumbel,1
actuar,qinvburr,1
actuar,qinvexp,1
actuar,qinvgamma,1
actuar,qinvgauss,1
actuar,qinvparalogis,1
actuar,qinvpareto,1
actuar,qinvtrgamma,1
actuar,qlgamma,1
actuar,qlgompertz,1
actuar,qllogis,1
actuar,qlogarithmic,1
actuar,qparalogis,1
actuar,qpareto1,1
actuar,qpareto2,1
actuar,qpoisinvgauss,1
actuar,qtrbeta,1
actuar,qtrgamma,1
actuar,quantile.aggregateDist,0.6666666666666666
actuar,quantile.grouped.data,1
actuar,qzmbinom,1
actuar,qzmgeom,1
actuar,qzmlogarithmic,1
actuar,qzmnbinom,1
actuar,qzmpois,1
actuar,qztbinom,1
actuar,qztgeom,1
actuar,qztnbinom,1
actuar,qztpois,1
actuar,rburr,0
actuar,rcompound,0.85
actuar,rcomppois,0.8571428571428571
actuar,rgenbeta,0
actuar,rgenpareto,0
actuar,rgumbel,0
actuar,rinvburr,0
actuar,rinvexp,0
actuar,rinvgamma,0
actuar,rinvgauss,0
actuar,rinvparalogis,0
actuar,rinvpareto,0
actuar,rinvtrgamma,0
actuar,rlgamma,0
actuar,rlgompertz,0
actuar,rllogis,0
actuar,rlogarithmic,1
actuar,rmixture,1
actuar,rparalogis,0
actuar,rpareto1,0
actuar,rpareto2,0
actuar,rphtype,1
actuar,rpoisinvgauss,1
actuar,rtrbeta,0
actuar,rtrgamma,0
actuar,ruin,0.5135135135135135
actuar,rzmbinom,0
actuar,rzmgeom,0
actuar,rzmlogarithmic,0
actuar,rzmnbinom,0
actuar,rzmpois,0
actuar,rztbinom,0
actuar,rztgeom,0
actuar,rztnbinom,1
actuar,rztpois,0
actuar,severity,1
actuar,severity.default,1
actuar,severity.portfolio,0.9
actuar,simS,1
actuar,simul,0.9024390243902439
actuar,summary.aggregateDist,1
actuar,summary.cm,0.9444444444444444
actuar,summary.elev,1
actuar,summary.ogive,1
actuar,TVaR,1
actuar,unroll,0.9473684210526315
actuar,VaR,1
actuar,VaR.aggregateDist,1
actuar,weights.portfolio,1
actuar,NA,0.6777142857142857
ADGofTest,ad.test,0.9333333333333333
ADGofTest,ad.test.pvalue,1
ADGofTest,ad.test.statistic,1
agricolae,AMMI,0.8813559322033898
agricolae,AMMI.contour,1
agricolae,audpc,0.9375
agricolae,audps,0.8421052631578947
agricolae,bar.err,0.9459459459459459
agricolae,bar.group,0.9230769230769231
agricolae,BIB.test,0.8763440860215054
agricolae,carolina,1
agricolae,consensus,0.6566265060240963
agricolae,correl,0.6122448979591837
agricolae,correlation,0.7202797202797203
agricolae,cv.model,1
agricolae,cv.similarity,1
agricolae,DAU.test,0.9794871794871794
agricolae,delete.na,0.75
agricolae,design.ab,1
agricolae,design.alpha,0.8278688524590164
agricolae,design.bib,0.7428571428571429
agricolae,design.crd,1
agricolae,design.cyclic,0.8113207547169812
agricolae,design.dau,1
agricolae,design.graeco,0.5584415584415584
agricolae,design.lattice,1
agricolae,design.lsd,1
agricolae,design.rcbd,0.967741935483871
agricolae,design.split,0.8297872340425532
agricolae,design.strip,0.9411764705882353
agricolae,design.youden,0.9069767441860465
agricolae,diffograph,0.9402985074626866
agricolae,duncan.test,0.8260869565217391
agricolae,durbin.test,0.976
agricolae,friedman,0.9849624060150376
agricolae,graph.freq,0.9855072463768116
agricolae,hcut,1
agricolae,hgroups,0.9117647058823529
agricolae,HSD.test,0.9230769230769231
agricolae,index.AMMI,1
agricolae,index.bio,0.8333333333333334
agricolae,index.smith,1
agricolae,intervals.freq,1
agricolae,join.freq,1
agricolae,kendall,1
agricolae,kruskal,0.9375
agricolae,kurtosis,1
agricolae,lastC,1
agricolae,lateblight,0.9227799227799228
agricolae,lineXtester,1
agricolae,LSD.test,0.9794520547945206
agricolae,Median.test,0.9680851063829787
agricolae,montecarlo,1
agricolae,nonadditivity,0.9622641509433962
agricolae,normal.freq,0.9545454545454546
agricolae,ogive.freq,0.8275862068965517
agricolae,order.group,0.5967741935483871
agricolae,orderPvalue,0.9782608695652174
agricolae,path.analysis,1
agricolae,PBIB.test,0.9227272727272727
agricolae,plot.AMMI,0.9666666666666667
agricolae,plot.graph.freq,0.6666666666666666
agricolae,plot.group,0.8688524590163934
agricolae,polygon.freq,0.9333333333333333
agricolae,reg.homog,0.9736842105263158
agricolae,REGW.test,0.8623188405797102
agricolae,resampling.cv,1
agricolae,resampling.model,1
agricolae,scheffe.test,0.9528301886792453
agricolae,similarity,1
agricolae,simulation.model,0.9814814814814815
agricolae,skewness,1
agricolae,SNK.test,0.9112903225806451
agricolae,sp.plot,1
agricolae,ssp.plot,1
agricolae,stability.nonpar,1
agricolae,stability.par,0.9920318725099602
agricolae,stat.freq,1
agricolae,strip.plot,1
agricolae,sturges.freq,1
agricolae,summary.graph.freq,1
agricolae,table.freq,1
agricolae,tapply.stat,1
agricolae,vark,1
agricolae,waerden.test,0.9911504424778761
agricolae,waller,1
agricolae,waller.test,0.9224137931034483
agricolae,weatherSeverity,0.9736842105263158
agricolae,zigzag,1
AlgDesign,actuals,0
AlgDesign,efficient.rounding,0.6785714285714286
AlgDesign,eval.blockdesign,0
AlgDesign,eval.design,0
AlgDesign,expand.formula,0.6710526315789473
AlgDesign,gen.factorial,1
AlgDesign,gen.mixture,0.9230769230769231
AlgDesign,model.matrix.formula,1
AlgDesign,model.matrix.terms,0
AlgDesign,optBlock,0.8176100628930818
AlgDesign,optFederov,0.8529411764705882
AlgDesign,optMonteCarlo,0.7215189873417721
AlgDesign,NA,0.670997485331098
anytime,anydate,1
anytime,anydate.Date,1
anytime,anydate.default,1
anytime,anydate.factor,1
anytime,anydate.POSIXt,1
anytime,anytime,1
anytime,anytime.Date,1
anytime,anytime.default,1
anytime,anytime.factor,1
anytime,anytime.POSIXt,1
anytime,assertDate,1
anytime,assertTime,1
anytime,getTZ,1
anytime,iso8601,1
anytime,iso8601.Date,1
anytime,iso8601.default,1
anytime,iso8601.POSIXt,1
anytime,isRStudio,1
anytime,rfc2822,1
anytime,rfc2822.Date,1
anytime,rfc2822.default,1
anytime,rfc2822.POSIXt,1
anytime,rfc3339,1
anytime,rfc3339.Date,1
anytime,rfc3339.default,1
