package_name,function_count,typed_function_count,all_typed
abind,9,3,FALSE
actuar,298,217,FALSE
adabag,19,0,FALSE
ADGofTest,3,2,FALSE
agricolae,86,0,FALSE
alluvial,2,2,TRUE
anytime,47,13,FALSE
aod,24,6,FALSE
arrangements,13,10,FALSE
arules,92,62,FALSE
ash,6,5,FALSE
assertive.properties,73,37,FALSE
assertive.types,154,69,FALSE
assertthat,72,54,FALSE
attempt,39,15,FALSE
AUC,7,1,FALSE
automap,18,6,FALSE
backports,48,8,FALSE
base,1219,1,FALSE
batchtools,197,112,FALSE
bayesplot,284,200,FALSE
bayestestR,331,55,FALSE
BBmisc,128,52,FALSE
bbmle,53,38,FALSE
bdsmatrix,19,15,FALSE
beanplot,9,7,FALSE
betareg,44,21,FALSE
biglm,25,20,FALSE
bindata,7,5,FALSE
binom,35,22,FALSE
bit,300,160,FALSE
bit64,454,304,FALSE
bitops,7,7,TRUE
blob,90,0,FALSE
bmp,3,0,FALSE
boot,162,126,FALSE
bootstrap,11,0,FALSE
BradleyTerry2,30,0,FALSE
brew,10,6,FALSE
bridgesampling,34,6,FALSE
BSDA,13,7,FALSE
calibrate,13,4,FALSE
caper,64,0,FALSE
capushe,9,0,FALSE
cellranger,128,90,FALSE
checkmate,389,142,FALSE
checkr,99,82,FALSE
chemometrics,40,32,FALSE
CircStats,47,25,FALSE
circular,252,42,FALSE
Ckmeans.1d.dp,20,16,FALSE
class,34,34,TRUE
classInt,17,16,FALSE
cli,488,298,FALSE
cluster,142,72,FALSE
clusterCrit,7,0,FALSE
clv,84,1,FALSE
cmprsk,11,11,TRUE
codetools,156,90,FALSE
coin,211,163,FALSE
colorRamps,13,8,FALSE
combinat,13,7,FALSE
compare,109,72,FALSE
CompQuadForm,4,0,FALSE
coneproj,21,11,FALSE
conf.design,9,8,FALSE
config,4,0,FALSE
contractr,49,0,FALSE
contractR,43,0,FALSE
corpcor,37,0,FALSE
corrplot,13,13,TRUE
countrycode,1,0,FALSE
coxme,35,0,FALSE
crayon,182,92,FALSE
crossdes,18,16,FALSE
CTT,13,8,FALSE
curl,122,64,FALSE
DALEX,103,10,FALSE
data.tree,77,29,FALSE
DBI,194,112,FALSE
dbplyr,996,452,FALSE
dbscan,81,33,FALSE
debugme,21,5,FALSE
deldir,29,21,FALSE
DEoptim,4,3,FALSE
Deriv,46,10,FALSE
desc,432,54,FALSE
dfoptim,4,0,FALSE
diagram,29,29,TRUE
DiceKriging,78,15,FALSE
dichromat,1,1,TRUE
diptest,7,6,FALSE
discretization,23,2,FALSE
distr,173,138,FALSE
DistributionUtils,33,11,FALSE
distrMod,147,67,FALSE
docopt,41,29,FALSE
doRNG,11,8,FALSE
DoseFinding,129,81,FALSE
dplyr,1372,654,FALSE
dtw,28,10,FALSE
dummies,4,0,FALSE
dygraphs,50,31,FALSE
dynutils,68,12,FALSE
e1071,91,15,FALSE
egg,13,7,FALSE
elasticnet,13,6,FALSE
ellipse,12,8,FALSE
ellipsis,12,6,FALSE
emplik,50,29,FALSE
emulator,41,11,FALSE
entropy,33,0,FALSE
Epi,255,0,FALSE
epiR,81,23,FALSE
epitools,48,43,FALSE
eRm,167,44,FALSE
estimability,12,6,FALSE
evaluate,88,16,FALSE
expm,14,14,TRUE
extraDistr,378,294,FALSE
fansi,90,52,FALSE
fastcluster,2,0,FALSE
fasterize,1,1,TRUE
fdrtool,33,6,FALSE
feather,25,10,FALSE
fExtremes,66,26,FALSE
ffbase,164,70,FALSE
fftwtools,11,0,FALSE
fields,267,64,FALSE
filehash,60,44,FALSE
flare,30,7,FALSE
flexclust,127,68,FALSE
FME,68,27,FALSE
fOptions,36,28,FALSE
forcats,102,78,FALSE
foreach,55,46,FALSE
forecast,342,0,FALSE
foreign,25,7,FALSE
forestplot,37,10,FALSE
formatR,30,23,FALSE
formattable,120,71,FALSE
Formula,23,7,FALSE
formula.tools,33,17,FALSE
fpc,134,50,FALSE
fracdiff,16,11,FALSE
fs,270,148,FALSE
FSelector,33,3,FALSE
functional,7,4,FALSE
futile.logger,23,13,FALSE
gargle,124,18,FALSE
gclus,27,22,FALSE
gdata,274,160,FALSE
gee,4,2,FALSE
genalg,4,2,FALSE
htmltools,220,86,FALSE
hutils,79,34,FALSE
ICS,21,10,FALSE
ICSNP,43,18,FALSE
IDPmisc,47,7,FALSE
imputeTS,28,0,FALSE
infotheo,8,8,TRUE
ini,4,4,TRUE
interp,42,34,FALSE
intervals,36,28,FALSE
ipred,85,32,FALSE
irlba,11,8,FALSE
irr,21,0,FALSE
isotone,37,6,FALSE
iterators,34,20,FALSE
JADE,40,21,FALSE
janeaustenr,1,1,TRUE
janitor,69,34,FALSE
jpeg,2,2,TRUE
jqr,119,102,FALSE
jsonlite,166,76,FALSE
Kendall,5,5,TRUE
KernSmooth,28,28,TRUE
KFAS,45,32,FALSE
kinship2,49,22,FALSE
klaR,113,13,FALSE
KMsurv,1,1,TRUE
kohonen,47,27,FALSE
kSamples,24,21,FALSE
label.switching,11,0,FALSE
labelled,115,46,FALSE
LaF,25,7,FALSE
lambda.r,59,45,FALSE
longitudinalData,143,23,FALSE
loo,218,33,FALSE
lsa,28,7,FALSE
ltsa,16,16,TRUE
lubridate,578,266,FALSE
magic,106,12,FALSE
mapproj,2,2,TRUE
MASS,426,222,FALSE
matlab,55,13,FALSE
matrixcalc,60,0,FALSE
matrixStats,106,62,FALSE
maxLik,81,31,FALSE
mc2d,91,2,FALSE
mcclust,13,11,FALSE
