package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"BBmisc", "%btwn%", -1, 0, 0, "logical", 1
"BBmisc", "%btwn%", 0, 0, 0, "double", 1
"BBmisc", "%btwn%", 1, 0, 0, "double[]", 1
"BBmisc", "$", -1, 0, 0, "double", 1
"BBmisc", "$", 0, 0, 0, "double", 1
"BBmisc", "$", 1, 0, 0, "character", 1
"BBmisc", "addClasses", -1, 0, 0, "tuple<>", 1
"BBmisc", "addClasses", 0, 0, 0, "tuple<>", 1
"BBmisc", "addClasses", 0, 0, 1, "struct<`par.set`:struct<`pars`:struct<`p1`:struct<`id`:character, `type`:character, `len`:integer, `lower`:double, `upper`:double, `values`:null, `cnames`:null, `allow.inf`:logical, `has.default`:logical, `default`:null, `trafo`:null, `requires`:null, `tunable`:logical, `special.vals`:tuple<>>, `p2`:struct<`id`:character, `type`:character, `len`:integer, `lower`:null, `upper`:null, `values`:struct<`a`:character, `b`:character>, `cnames`:null, `allow.inf`:logical, `has.default`:logical, `default`:null, `trafo`:null, `requires`:null, `tunable`:logical, `special.vals`:tuple<>>>, `forbidden`:null>, `y.names`:character, `minimize`:logical, `add.transformed.x`:logical, `env`:environment>", 1
"BBmisc", "addClasses", 0, 0, 2, "struct<`par.set`:struct<`pars`:struct<`u`:struct<`id`:character, `type`:character, `len`:integer, `lower`:double, `upper`:double, `values`:null, `cnames`:null, `allow.inf`:logical, `has.default`:logical, `default`:null, `trafo`:any => any, `requires`:null, `tunable`:logical, `special.vals`:tuple<>>, `v`:struct<`id`:character, `type`:character, `len`:double, `lower`:double[], `upper`:double[], `values`:null, `cnames`:null, `allow.inf`:logical, `has.default`:logical, `default`:null, `trafo`:any => any, `requires`:null, `tunable`:logical, `special.vals`:tuple<>>, `w`:struct<`id`:character, `type`:character, `len`:integer, `lower`:null, `upper`:null, `values`:struct<`a`:character, `b`:character>, `cnames`:null, `allow.inf`:logical, `has.default`:logical, `default`:null, `trafo`:null, `requires`:null, `tunable`:logical, `special.vals`:tuple<>>>, `forbidden`:null>, `y.names`:character, `minimize`:logical, `add.transformed.x`:logical, `env`:environment>", 1
"BBmisc", "addClasses", 0, 0, 3, "struct<`par.set`:struct<`pars`:struct<`x`:struct<`id`:character, `type`:character, `len`:integer, `lower`:double, `upper`:double, `values`:null, `cnames`:null, `allow.inf`:logical, `has.default`:logical, `default`:null, `trafo`:null, `requires`:null, `tunable`:logical, `special.vals`:tuple<>>>, `forbidden`:null>, `y.names`:character[], `minimize`:logical[], `add.transformed.x`:logical, `env`:environment>", 1
"BBmisc", "addClasses", 0, 0, 4, "struct<`pars`:struct<`x`:struct<`id`:character, `type`:character, `len`:integer, `lower`:double, `upper`:double, `values`:null, `cnames`:null, `allow.inf`:logical, `has.default`:logical, `default`:null, `trafo`:null, `requires`:null, `tunable`:logical, `special.vals`:tuple<>, `when`:character>, `y`:struct<`id`:character, `type`:character, `len`:integer, `lower`:double, `upper`:expression, `values`:null, `cnames`:null, `allow.inf`:logical, `has.default`:logical, `default`:null, `trafo`:null, `requires`:null, `tunable`:logical, `special.vals`:tuple<>, `when`:character>>, `forbidden`:null>", 1
"BBmisc", "addClasses", 1, 0, 0, "character[]", 1
