package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"CTT", "breakCheck", -1, 0, 0, "tuple<integer[], double[], integer[]>", 1
"CTT", "cttICC", -1, 0, 0, "null", 1
"CTT", "cttICC", 0, 0, 0, "double[]", 1
"CTT", "cttICC", 1, 0, 0, "double[]", 1
"CTT", "cttICC", 2, 0, 0, "null", 1
"CTT", "cttICC", 3, 0, 0, "null", 1
"CTT", "cttICC", 4, 0, 0, "null", 1
"CTT", "cttICC", 5, 0, 0, "null", 1
"CTT", "cttICC", 6, 0, 0, "null", 1
"CTT", "cttICC", 7, 0, 0, "language", 1
"CTT", "cttICC", 8, 0, 0, "character", 1
"CTT", "cttICC", 9, 0, 0, "null", 1
"CTT", "cttICC", 10, 0, 0, "null", 1
"CTT", "cttICC", 11, 0, 0, "double", 1
"CTT", "cutFind", -1, 0, 0, "tuple<integer[], double[], integer[]>", 1
"CTT", "cutFind", 0, 0, 0, "double[]", 1
"CTT", "cutFind", 1, 0, 0, "null", 1
"CTT", "disattenuated.cor", -1, 0, 0, "^double[]", 1
"CTT", "disattenuated.cor", 0, 0, 0, "^double[]", 1
"CTT", "disattenuated.cor", 1, 0, 0, "double[]", 1
"CTT", "disattenuated.cor", 2, 0, 0, "double[]", 1
"CTT", "distractor.analysis", -1, 0, 0, "struct<`i1`:^double[], `i2`:^double[], `i3`:^double[], `i4`:^double[], `i5`:^double[], `i6`:^double[], `i7`:^double[], `i8`:^double[], `i9`:^double[], `i10`:^double[], `i11`:^double[], `i12`:^double[], `i13`:^double[], `i14`:^double[], `i15`:^double[], `i16`:^double[], `i17`:^double[], `i18`:^double[], `i19`:^double[], `i20`:^double[]>", 1
"CTT", "distractor.analysis", 0, 0, 0, "struct<`i1`:character[], `i2`:character[], `i3`:character[], `i4`:character[], `i5`:character[], `i6`:character[], `i7`:character[], `i8`:character[], `i9`:character[], `i10`:character[], `i11`:character[], `i12`:character[], `i13`:character[], `i14`:character[], `i15`:character[], `i16`:character[], `i17`:character[], `i18`:character[], `i19`:character[], `i20`:character[]>", 1
"CTT", "distractor.analysis", 1, 0, 0, "character[]", 1
"CTT", "distractor.analysis", 2, 0, 0, "null", 1
"CTT", "distractor.analysis", 3, 0, 0, "logical", 1
"CTT", "distractor.analysis", 4, 0, 0, "character", 1
"CTT", "distractor.analysis", 4, 0, 1, "null", 1
