package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"CircStats", "A1inv", -1, 0, 0, "double", 1
"CircStats", "A1inv", 0, 0, 0, "double", 1
"CircStats", "circ.cor", -1, 0, 0, "class<`data.frame`>", 1
"CircStats", "circ.cor", 0, 0, 0, "double[]", 1
"CircStats", "circ.cor", 1, 0, 0, "double[]", 1
"CircStats", "circ.cor", 2, 0, 0, "logical", 1
"CircStats", "circ.mean", -1, 0, 0, "double", 1
"CircStats", "circ.mean", 0, 0, 0, "double[]", 1
"CircStats", "circ.plot", -1, 0, 0, "null", 1
"CircStats", "circ.plot", 0, 0, 0, "double[]", 1
"CircStats", "circ.plot", 1, 0, 0, "character", 1
"CircStats", "circ.plot", 2, 0, 0, "double", 1
"CircStats", "circ.plot", 3, 0, 0, "logical", 1
"CircStats", "circ.plot", 4, 0, 0, "double", 1
"CircStats", "circ.plot", 5, 0, 0, "double", 1
"CircStats", "circ.plot", 6, 0, 0, "double", 1
"CircStats", "circ.plot", 7, 0, 0, "double", 1
"CircStats", "circ.range", -1, 0, 0, "class<`data.frame`>", 1
"CircStats", "circ.range", 0, 0, 0, "double[]", 1
"CircStats", "circ.range", 1, 0, 0, "logical", 1
"CircStats", "circ.reg", -1, 0, 0, "list<class<`matrix`> | double[] | character>", 1
"CircStats", "circ.reg", 0, 0, 0, "double[]", 1
"CircStats", "circ.reg", 1, 0, 0, "double[]", 1
"CircStats", "circ.reg", 2, 0, 0, "double", 1
"CircStats", "circ.reg", 3, 0, 0, "double", 1
"CircStats", "circ.summary", -1, 0, 0, "class<`data.frame`>", 1
"CircStats", "circ.summary", 0, 0, 0, "double[]", 1
"CircStats", "dwrpnorm", -1, 0, 0, "double", 1
"CircStats", "dwrpnorm", 0, 0, 0, "double", 1
"CircStats", "dwrpnorm", 1, 0, 0, "double", 1
"CircStats", "dwrpnorm", 2, 0, 0, "double", 1
"CircStats", "dwrpnorm", 3, 0, 0, "double", 1
"CircStats", "dwrpnorm", 4, 0, 0, "double", 1
"CircStats", "dwrpnorm", 5, 0, 0, "double", 1
"CircStats", "est.kappa", -1, 0, 0, "double", 1
"CircStats", "est.kappa", 0, 0, 0, "double[]", 1
"CircStats", "est.kappa", 1, 0, 0, "logical", 1
"CircStats", "est.rho", -1, 0, 0, "double", 1
"CircStats", "est.rho", 0, 0, 0, "double[]", 1
"CircStats", "kuiper", -1, 0, 0, "null", 1
"CircStats", "kuiper", 0, 0, 0, "double[]", 1
"CircStats", "kuiper", 1, 0, 0, "double", 1
"CircStats", "nCk", -1, 0, 0, "double[]", 1
"CircStats", "nCk", 0, 0, 0, "integer", 1
