package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"DALEX", "combine_explainers", -1, 0, 0, "struct<`x`:double[], `y`:double[], `var`:integer[], `type`:integer[], `label`:character[], `name`:integer[]>", 1
"DALEX", "combine_explainers", 0, 0, 0, "struct<`x`:double[], `y`:double[], `var`:integer[], `type`:integer[], `label`:integer[]>", 1
"DALEX", "combine_explainers", 1, 0, 0, "null", 1
"DALEX", "explain", -1, 0, 0, "struct<`model`:struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `contrasts`:struct<`district`:character>, `xlevels`:struct<`district`:character[]>, `call`:language, `terms`:language, `model`:struct<`m2.price`:double[], `construction.year`:double[], `surface`:double[], `floor`:integer[], `no.rooms`:double[], `district`:integer[]>>, `data`:struct<`m2.price`:double[], `construction.year`:double[], `surface`:double[], `floor`:integer[], `no.rooms`:double[], `district`:integer[]>, `y`:double[], `predict_function`:any => any, `y_hat`:double[], `residuals`:double[], `class`:character, `label`:character>", 1
"DALEX", "explain", 0, 0, 0, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `contrasts`:struct<`district`:character>, `xlevels`:struct<`district`:character[]>, `call`:language, `terms`:language, `model`:struct<`m2.price`:double[], `construction.year`:double[], `surface`:double[], `floor`:integer[], `no.rooms`:double[], `district`:integer[]>>", 1
"DALEX", "explain", 0, 0, 1, "struct<`coefficients`:double[], `residuals`:double[], `fitted.values`:double[], `effects`:double[], `R`:^double[], `rank`:integer, `qr`:struct<`qr`:^double[], `rank`:integer, `qraux`:double[], `pivot`:integer[], `tol`:double>, `family`:struct<`family`:character, `link`:character, `linkfun`:any => any, `linkinv`:any => any, `variance`:any => any, `dev.resids`:any => any, `aic`:any => any, `mu.eta`:any => any, `initialize`:expression, `validmu`:any => any, `valideta`:any => any, `simulate`:any => any>, `linear.predictors`:double[], `deviance`:double, `aic`:double, `null.deviance`:double, `iter`:integer, `weights`:double[], `prior.weights`:double[], `df.residual`:integer, `df.null`:integer, `y`:double[], `converged`:logical, `boundary`:logical, `model`:struct<`status == ""fired""`:logical[], `gender`:integer[], `age`:double[], `hours`:double[], `evaluation`:double[], `salary`:double[]>, `call`:language, `formula`:language, `terms`:language, `data`:struct<`gender`:integer[], `age`:double[], `hours`:double[], `evaluation`:double[], `salary`:double[], `status`:integer[]>, `offset`:null, `control`:struct<`epsilon`:double, `maxit`:double, `trace`:logical>, `method`:character, `contrasts`:struct<`gender`:character>, `xlevels`:struct<`gender`:character[]>>", 1
"DALEX", "explain", 0, 0, 2, "struct<`coefficients`:double[], `residuals`:double[], `fitted.values`:double[], `effects`:double[], `R`:^double[], `rank`:integer, `qr`:struct<`qr`:^double[], `rank`:integer, `qraux`:double[], `pivot`:integer[], `tol`:double>, `family`:struct<`family`:character, `link`:character, `linkfun`:any => any, `linkinv`:any => any, `variance`:any => any, `dev.resids`:any => any, `aic`:any => any, `mu.eta`:any => any, `initialize`:expression, `validmu`:any => any, `valideta`:any => any, `simulate`:any => any>, `linear.predictors`:double[], `deviance`:double, `aic`:double, `null.deviance`:double, `iter`:integer, `weights`:double[], `prior.weights`:double[], `df.residual`:integer, `df.null`:integer, `y`:double[], `converged`:logical, `boundary`:logical, `model`:struct<`status == ""fired""`:logical[], `gender`:integer[], `age`:double[], `hours`:double[], `evaluation`:integer[], `salary`:double[]>, `call`:language, `formula`:language, `terms`:language, `data`:struct<`gender`:integer[], `age`:double[], `hours`:double[], `evaluation`:integer[], `salary`:double[], `status`:integer[]>, `offset`:null, `control`:struct<`epsilon`:double, `maxit`:double, `trace`:logical>, `method`:character, `contrasts`:struct<`gender`:character, `evaluation`:character>, `xlevels`:struct<`gender`:character[], `evaluation`:character[]>>", 1
"DALEX", "explain", 0, 0, 3, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `xlevels`:tuple<>, `call`:language, `terms`:language, `model`:struct<`life_length`:double[], `year_of_birth`:double[], `height`:double[], `weight`:double[], `scars`:double[], `number_of_lost_teeth`:double[]>>", 1
"DALEX", "explain", 1, 0, 0, "null", 1
"DALEX", "explain", 1, 0, 1, "struct<`m2.price`:double[], `construction.year`:double[], `surface`:double[], `floor`:integer[], `no.rooms`:double[], `district`:integer[]>", 1
"DALEX", "explain", 2, 0, 0, "null", 1
"DALEX", "explain", 2, 0, 1, "double[]", 1
"DALEX", "explain", 3, 0, 0, "null", 1
"DALEX", "explain", 3, 0, 1, "any => any", 1
"DALEX", "explain", 4, 0, 0, "null", 1
"DALEX", "explain", 5, 0, 0, "null", 1
"DALEX", "explain", 6, 0, 0, "null", 1
"DALEX", "explain", 6, 0, 1, "character", 1
"DALEX", "explain", 7, 0, 0, "logical", 1
"DALEX", "explain", 8, 0, 0, "logical", 1
