package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"DiceKriging", "branin", -1, 0, 0, "class<`data.frame`>", 1
"DiceKriging", "branin", 0, 0, 0, "class<`data.frame`>", 1
"DiceKriging", "checkNames", -1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "checkNames", 0, 0, 0, "class<`matrix`>", 1
"DiceKriging", "checkNames", 1, 0, 0, "class<`data.frame`>", 1
"DiceKriging", "checkNames", 1, 0, 1, "class<`matrix`>", 1
"DiceKriging", "checkNames", 2, 0, 0, "character", 1
"DiceKriging", "checkNames", 3, 0, 0, "character", 1
"DiceKriging", "checkNamesList", -1, 0, 0, "list<double[]>", 1
"DiceKriging", "checkNamesList", 0, 0, 0, "class<`matrix`>", 1
"DiceKriging", "checkNamesList", 1, 0, 0, "list<double[]>", 1
"DiceKriging", "checkNamesList", 2, 0, 0, "character", 1
"DiceKriging", "checkNamesList", 3, 0, 0, "character", 1
"DiceKriging", "computeAuxVariables", -1, 0, 0, "class<`km`>", 1
"DiceKriging", "computeAuxVariables", 0, 0, 0, "class<`km`>", 1
"DiceKriging", "compute.beta.hat", -1, 0, 0, "double[]", 1
"DiceKriging", "compute.beta.hat", 0, 0, 0, "class<`matrix`>", 1
"DiceKriging", "compute.beta.hat", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "compute.sigma2.hat", -1, 0, 0, "double", 1
"DiceKriging", "compute.sigma2.hat", 0, 0, 0, "double[]", 1
"DiceKriging", "compute.z", -1, 0, 0, "double[]", 1
"DiceKriging", "compute.z", 0, 0, 0, "class<`matrix`>", 1
"DiceKriging", "compute.z", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "compute.z", 2, 0, 0, "double[]", 1
"DiceKriging", "compute.z", 2, 0, 1, "null", 1
"DiceKriging", "covMat1Mat2", -1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 0, 0, 0, "class<`covIso`>", 1
"DiceKriging", "covMat1Mat2", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 2, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 3, 0, 0, "logical", 1
"DiceKriging", "covMat1Mat2", -1, 1, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 0, 1, 0, "class<`covIso`>", 1
"DiceKriging", "covMat1Mat2", 0, 1, 1, "class<`covScaling`>", 1
"DiceKriging", "covMat1Mat2", 0, 1, 2, "class<`covTensorProduct`>", 1
"DiceKriging", "covMat1Mat2", 0, 1, 3, "class<`covUser`>", 1
"DiceKriging", "covMat1Mat2", 1, 1, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 2, 1, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 3, 1, 0, "logical", 1
"DiceKriging", "covMat1Mat2", -1, 2, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 0, 2, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covMat1Mat2", 1, 2, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 2, 2, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 3, 2, 0, "logical", 1
"DiceKriging", "covMat1Mat2", -1, 3, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 0, 3, 0, "class<`covScaling`>", 1
"DiceKriging", "covMat1Mat2", 1, 3, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 2, 3, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 3, 3, 0, "logical", 1
"DiceKriging", "covMat1Mat2", -1, 4, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 0, 4, 0, "class<`covUser`>", 1
"DiceKriging", "covMat1Mat2", 1, 4, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 2, 4, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2", 3, 4, 0, "logical", 1
"DiceKriging", "covMat1Mat2.covTensorProduct", -1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2.covTensorProduct", 0, 0, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covMat1Mat2.covTensorProduct", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2.covTensorProduct", 2, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2.covTensorProduct", 3, 0, 0, "logical", 1
"DiceKriging", "covMat1Mat2.covUser", -1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2.covUser", 0, 0, 0, "class<`covUser`>", 1
"DiceKriging", "covMat1Mat2.covUser", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMat1Mat2.covUser", 2, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrix", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"DiceKriging", "covMatrix", 0, 0, 0, "class<`covIso`>", 1
"DiceKriging", "covMatrix", 0, 0, 1, "class<`covScaling`>", 1
"DiceKriging", "covMatrix", 0, 0, 2, "class<`covTensorProduct`>", 1
"DiceKriging", "covMatrix", 0, 0, 3, "class<`covUser`>", 1
"DiceKriging", "covMatrix", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrix", 2, 0, 0, "any", 1
"DiceKriging", "covMatrix", -1, 1, 0, "list<class<`matrix`> | double[]>", 1
"DiceKriging", "covMatrix", 0, 1, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covMatrix", 1, 1, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrix", 2, 1, 0, "any", 1
"DiceKriging", "covMatrix", -1, 2, 0, "list<class<`matrix`> | double[]>", 1
"DiceKriging", "covMatrix", 0, 2, 0, "class<`covIso`>", 1
"DiceKriging", "covMatrix", 1, 2, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrix", 2, 2, 0, "null", 1
"DiceKriging", "covMatrix", -1, 3, 0, "list<class<`matrix`> | double[]>", 1
"DiceKriging", "covMatrix", 0, 3, 0, "class<`covScaling`>", 1
"DiceKriging", "covMatrix", 1, 3, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrix", 2, 3, 0, "null", 1
"DiceKriging", "covMatrix", -1, 4, 0, "list<class<`matrix`> | double[]>", 1
"DiceKriging", "covMatrix", 0, 4, 0, "class<`covUser`>", 1
"DiceKriging", "covMatrix", 1, 4, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrix", 2, 4, 0, "double[]", 1
"DiceKriging", "covMatrix", 2, 4, 1, "null", 1
"DiceKriging", "covMatrix.covTensorProduct", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"DiceKriging", "covMatrix.covTensorProduct", 0, 0, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covMatrix.covTensorProduct", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrix.covTensorProduct", 2, 0, 0, "any", 1
"DiceKriging", "covMatrixcovUser", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"DiceKriging", "covMatrixcovUser", 0, 0, 0, "class<`covUser`>", 1
"DiceKriging", "covMatrixcovUser", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixcovUser", 2, 0, 0, "double[]", 1
"DiceKriging", "covMatrixcovUser", 2, 0, 1, "null", 1
"DiceKriging", "covMatrixDerivative", -1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative", 0, 0, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covMatrixDerivative", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative", 2, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative", 3, 0, 0, "integer", 1
"DiceKriging", "covMatrixDerivative", 4, 0, 0, "...", 1
"DiceKriging", "covMatrixDerivative", -1, 1, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative", 0, 1, 0, "class<`covScaling`>", 1
"DiceKriging", "covMatrixDerivative", 0, 1, 1, "class<`covTensorProduct`>", 1
"DiceKriging", "covMatrixDerivative", 1, 1, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative", 2, 1, 0, "any", 1
"DiceKriging", "covMatrixDerivative", 3, 1, 0, "integer", 1
"DiceKriging", "covMatrixDerivative", 4, 1, 0, "...", 1
"DiceKriging", "covMatrixDerivative", -1, 2, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative", 0, 2, 0, "class<`covScaling`>", 1
"DiceKriging", "covMatrixDerivative", 1, 2, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative", 2, 2, 0, "any", 1
"DiceKriging", "covMatrixDerivative", 3, 2, 0, "integer", 1
"DiceKriging", "covMatrixDerivative", 4, 2, 0, "...", 1
"DiceKriging", "covMatrixDerivative.covTensorProduct", -1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative.covTensorProduct", 0, 0, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covMatrixDerivative.covTensorProduct", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative.covTensorProduct", 2, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative.covTensorProduct", 3, 0, 0, "integer", 1
"DiceKriging", "covMatrixDerivative.dx.covTensorProduct", -1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative.dx.covTensorProduct", 0, 0, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covMatrixDerivative.dx.covTensorProduct", 1, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative.dx.covTensorProduct", 2, 0, 0, "class<`matrix`>", 1
"DiceKriging", "covMatrixDerivative.dx.covTensorProduct", 3, 0, 0, "integer", 1
"DiceKriging", "covparam2vect", -1, 0, 0, "double[]", 1
"DiceKriging", "covparam2vect", 0, 0, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covparam2vect", -1, 1, 0, "double[]", 1
"DiceKriging", "covparam2vect", 0, 1, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covParametersBounds", -1, 0, 0, "list<double[]>", 1
"DiceKriging", "covParametersBounds", 0, 0, 0, "class<`covScaling`>", 1
"DiceKriging", "covParametersBounds", 0, 0, 1, "class<`covTensorProduct`>", 1
"DiceKriging", "covParametersBounds", 1, 0, 0, "class<`data.frame`>", 1
"DiceKriging", "covParametersBounds", -1, 1, 0, "list<double[]>", 1
"DiceKriging", "covParametersBounds", 0, 1, 0, "class<`covScaling`>", 1
"DiceKriging", "covParametersBounds", 1, 1, 0, "class<`data.frame`>", 1
"DiceKriging", "covParametersBounds", -1, 2, 0, "list<double[]>", 1
"DiceKriging", "covParametersBounds", 0, 2, 0, "class<`covTensorProduct`>", 1
"DiceKriging", "covParametersBounds", 1, 2, 0, "class<`data.frame`>", 1
"DiceKriging", "covStruct.create", -1, 0, 0, "class<`covScaling`>", 1
"DiceKriging", "covStruct.create", -1, 0, 1, "class<`covTensorProduct`>", 1
"DiceKriging", "covStruct.create", -1, 0, 2, "class<`covUser`>", 1
"DiceKriging", "covStruct.create", 0, 0, 0, "character", 1
"DiceKriging", "covStruct.create", 1, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 2, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 3, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 4, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 5, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 6, 0, 0, "null", 1
"DiceKriging", "covStruct.create", 6, 0, 1, "double", 1
"DiceKriging", "covStruct.create", 7, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 8, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 9, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 10, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 11, 0, 0, "any", 1
"DiceKriging", "covStruct.create", 12, 0, 0, "any", 1
"DiceKriging", "drop.response", -1, 0, 0, "class<`formula`>", 1
"DiceKriging", "drop.response", 0, 0, 0, "class<`formula`>", 1
"DiceKriging", "drop.response", 1, 0, 0, "class<`data.frame`>", 1
"DiceKriging", "extract.covIso", -1, 0, 0, "class<`covIso`>", 1
"DiceKriging", "extract.covIso", 0, 0, 0, "class<`covScaling`>", 1
"DiceKriging", "km", -1, 0, 0, "class<`km`>", 1
"DiceKriging", "km", 0, 0, 0, "class<`formula`>", 1
"DiceKriging", "km", 1, 0, 0, "class<`data.frame`>", 1
"DiceKriging", "km", 1, 0, 1, "class<`matrix`>", 1
"DiceKriging", "km", 2, 0, 0, "class<`data.frame`>", 1
"DiceKriging", "km", 2, 0, 1, "double[]", 1
"DiceKriging", "km", 2, 0, 2, "class<`matrix`>", 1
"DiceKriging", "km", 3, 0, 0, "character", 1
"DiceKriging", "km", 4, 0, 0, "double[]", 1
"DiceKriging", "km", 4, 0, 1, "null", 1
"DiceKriging", "km", 5, 0, 0, "null", 1
"DiceKriging", "km", 5, 0, 1, "double[]", 1
"DiceKriging", "km", 6, 0, 0, "double", 1
"DiceKriging", "km", 6, 0, 1, "null", 1
"DiceKriging", "km", 7, 0, 0, "null", 1
"DiceKriging", "km", 7, 0, 1, "double", 1
"DiceKriging", "km", 8, 0, 0, "logical", 1
"DiceKriging", "km", 9, 0, 0, "null", 1
"DiceKriging", "km", 9, 0, 1, "double[]", 1
"DiceKriging", "km", 10, 0, 0, "character", 1
"DiceKriging", "km", 11, 0, 0, "null", 1
"DiceKriging", "km", 11, 0, 1, "list<any>", 1
"DiceKriging", "km", 12, 0, 0, "character", 1
"DiceKriging", "km", 13, 0, 0, "null", 1
"DiceKriging", "km", 13, 0, 1, "double[]", 1
"DiceKriging", "km", 14, 0, 0, "null", 1
"DiceKriging", "km", 14, 0, 1, "double[]", 1
"DiceKriging", "km", 15, 0, 0, "null", 1
"DiceKriging", "km", 16, 0, 0, "double", 1
"DiceKriging", "km", 17, 0, 0, "any", 1
"DiceKriging", "km", 18, 0, 0, "logical", 1
"DiceKriging", "km", 19, 0, 0, "logical", 1
"DiceKriging", "kmData", -1, 0, 0, "class<`km`>", 1
"DiceKriging", "kmData", 0, 0, 0, "class<`formula`>", 1
"DiceKriging", "kmData", 1, 0, 0, "class<`data.frame`>", 1
"DiceKriging", "kmData", 2, 0, 0, "character[]", 1
"DiceKriging", "kmData", 2, 0, 1, "null", 1
"DiceKriging", "kmData", 3, 0, 0, "...", 1
"DiceKriging", "kmNoNugget.init", -1, 0, 0, "list<class<`matrix`> | double[] | list<class<`covScaling`>> | class<`matrix`> | double[] | list<class<`covTensorProduct`>> | class<`matrix`> | double | list<class<`covTensorProduct`>>>", 1
"DiceKriging", "kmNoNugget.init", 0, 0, 0, "class<`km`>", 1
"DiceKriging", "kmNoNugget.init", 1, 0, 0, "class<`function`>", 1
"DiceKriging", "kmNoNugget.init", 2, 0, 0, "double", 1
"DiceKriging", "kmNuggets.init", -1, 0, 0, "list<class<`matrix`> | double[] | list<class<`covTensorProduct`>>>", 1
"DiceKriging", "kmNuggets.init", 0, 0, 0, "class<`km`>", 1
