package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"FME", "coef.modFit", -1, 0, 0, "double[]", 1
"FME", "coef.modFit", 0, 0, 0, "struct<`par`:double[], `hessian`:^double[], `residuals`:double[], `info`:integer, `message`:character, `iterations`:integer, `rsstrace`:double[], `ssr`:double, `diag`:double[], `ms`:double, `var_ms`:double, `var_ms_unscaled`:double, `var_ms_unweighted`:double, `rank`:integer, `df.residual`:integer>", 1
"FME", "coef.modFit", 1, 0, 0, "null", 1
"FME", "combin", -1, 0, 0, "^integer[]", 1
"FME", "combin", 0, 0, 0, "double", 1
"FME", "combin", 1, 0, 0, "integer[]", 1
"FME", "cost", -1, 0, 0, "double", 1
"FME", "cost", 0, 0, 0, "double[]", 1
"FME", "diag.panel", -1, 0, 0, "null", 1
"FME", "diag.panel", 0, 0, 0, "double[]", 1
"FME", "diag.panel", 1, 0, 0, "null", 1
"FME", "expanddots", -1, 0, 0, "character[]", 1
"FME", "expanddots", 0, 0, 0, "null", 1
"FME", "expanddots", 0, 0, 1, "character", 1
"FME", "expanddots", 1, 0, 0, "language", 1
"FME", "expanddots", 1, 0, 1, "character[]", 1
"FME", "expanddots", 1, 0, 2, "integer[]", 1
"FME", "expanddots", 2, 0, 0, "integer", 1
