package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"GenOrd", "contord", -1, 0, 0, "class<`matrix`>", 1
"GenOrd", "contord", 0, 0, 0, "list<double[]>", 1
"GenOrd", "contord", 1, 0, 0, "class<`matrix`>", 1
"GenOrd", "contord", 2, 0, 0, "list<any>", 1
"GenOrd", "contord", 3, 0, 0, "logical", 1
"GenOrd", "corrcheck", -1, 0, 0, "list<class<`dsyMatrix`>>", 1
"GenOrd", "corrcheck", 0, 0, 0, "list<double[]>", 1
"GenOrd", "corrcheck", 1, 0, 0, "list<any>", 1
"GenOrd", "corrcheck", 2, 0, 0, "logical", 1
"GenOrd", "ordcont", -1, 0, 0, "list<class<`matrix`> | double>", 1
"GenOrd", "ordcont", 0, 0, 0, "list<double[]>", 1
"GenOrd", "ordcont", 1, 0, 0, "class<`matrix`>", 1
"GenOrd", "ordcont", 2, 0, 0, "list<any>", 1
"GenOrd", "ordcont", 3, 0, 0, "logical", 1
"GenOrd", "ordcont", 4, 0, 0, "double", 1
"GenOrd", "ordcont", 5, 0, 0, "double", 1
"GenOrd", "ordsample", -1, 0, 0, "class<`matrix`>", 1
"GenOrd", "ordsample", 0, 0, 0, "double", 1
"GenOrd", "ordsample", 1, 0, 0, "list<double[]>", 1
"GenOrd", "ordsample", 2, 0, 0, "class<`matrix`>", 1
"GenOrd", "ordsample", 3, 0, 0, "list<any>", 1
"GenOrd", "ordsample", 4, 0, 0, "logical", 1
"GenOrd", "ordsample", 5, 0, 0, "character", 1
