package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"HDInterval", "checkCredMass", -1, 0, 0, "null", 1
"HDInterval", "checkCredMass", 0, 0, 0, "double", 1
"HDInterval", "FUN", -1, 0, 0, "^double[]", 1
"HDInterval", "FUN", 0, 0, 0, "character[]", 1
"HDInterval", "FUN", 0, 0, 1, "double[]", 1
"HDInterval", "FUN", 1, 0, 0, "double", 1
"HDInterval", "FUN", 2, 0, 0, "...", 1
"HDInterval", "hdi", -1, 0, 0, "class<`matrix`>", 1
"HDInterval", "hdi", -1, 0, 1, "double[]", 1
"HDInterval", "hdi", 0, 0, 0, "class<`data.frame`>", 1
"HDInterval", "hdi", 0, 0, 1, "class<`density`>", 1
"HDInterval", "hdi", 0, 0, 2, "class<`function`>", 1
"HDInterval", "hdi", 0, 0, 3, "double[]", 1
"HDInterval", "hdi", 1, 0, 0, "double", 1
"HDInterval", "hdi", 2, 0, 0, "...", 1
"HDInterval", "hdi.data.frame", -1, 0, 0, "class<`matrix`>", 1
"HDInterval", "hdi.data.frame", 0, 0, 0, "class<`data.frame`>", 1
"HDInterval", "hdi.data.frame", 1, 0, 0, "double", 1
"HDInterval", "hdi.data.frame", 2, 0, 0, "...", 1
"HDInterval", "hdi.default", -1, 0, 0, "double[]", 1
"HDInterval", "hdi.default", 0, 0, 0, "double[]", 1
"HDInterval", "hdi.default", 1, 0, 0, "double", 1
"HDInterval", "hdi.default", 2, 0, 0, "...", 1
"HDInterval", "hdi.density", -1, 0, 0, "class<`matrix`>", 1
"HDInterval", "hdi.density", -1, 0, 1, "double[]", 1
"HDInterval", "hdi.density", 0, 0, 0, "class<`density`>", 1
"HDInterval", "hdi.density", 1, 0, 0, "double", 1
"HDInterval", "hdi.density", 2, 0, 0, "logical", 1
"HDInterval", "hdi.density", 3, 0, 0, "...", 1
"HDInterval", "hdi.function", -1, 0, 0, "double[]", 1
"HDInterval", "hdi.function", 0, 0, 0, "class<`function`>", 1
"HDInterval", "hdi.function", 1, 0, 0, "double", 1
"HDInterval", "hdi.function", 2, 0, 0, "any", 1
"HDInterval", "hdi.function", 3, 0, 0, "...", 1
"HDInterval", "hdiVector", -1, 0, 0, "^double[]", 1
"HDInterval", "hdiVector", 0, 0, 0, "character[]", 1
"HDInterval", "hdiVector", 0, 0, 1, "double[]", 1
"HDInterval", "hdiVector", 1, 0, 0, "double", 1
"HDInterval", "hdiVector", 2, 0, 0, "...", 1
"HDInterval", "ICDF", -1, 0, 0, "double[]", 1
"HDInterval", "ICDF", 0, 0, 0, "double[]", 1
"HDInterval", "ICDF", 1, 0, 0, "class<`function`>", 1
"HDInterval", "ICDF", 2, 0, 0, "...", 1
"HDInterval", "inverseCDF", -1, 0, 0, "double[]", 1
"HDInterval", "inverseCDF", 0, 0, 0, "double[]", 1
"HDInterval", "inverseCDF", 1, 0, 0, "class<`function`>", 1
"HDInterval", "inverseCDF", 2, 0, 0, "...", 1
"HDInterval", "object", -1, 0, 0, "double[]", 1
"HDInterval", "object", 0, 0, 0, "double[]", 1
"HDInterval", "object", 1, 0, 0, "class<`function`>", 1
"HDInterval", "object", 2, 0, 0, "...", 1
