package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ICS", ".local", -1, 0, 0, "null", 1
"ICS", ".local", 0, 0, 0, "null", 1
"ICS", ".local", 0, 0, 1, "integer[]", 1
"ICS", ".local", 0, 0, 2, "double", 1
"ICS", ".local", 1, 0, 0, "null", 1
"ICS", ".local", 1, 0, 1, "double[]", 1
"ICS", ".norm.mu.V", -1, 0, 0, "double", 1
"ICS", ".norm.mu.V", 0, 0, 0, "double[]", 1
"ICS", ".norm.mu.V", 1, 0, 0, "^double[]", 1
"ICS", ".norm.mu.V", 2, 0, 0, "^double[]", 1
"ICS", ".W.stat.func", -1, 0, 0, "double", 1
"ICS", ".W.stat.func", 0, 0, 0, "^double[]", 1
"ICS", "asMethod", -1, 0, 0, "character", 1
"ICS", "asMethod", 0, 0, 0, "logical", 1
"ICS", "coef", -1, 0, 0, "^double[]", 1
"ICS", "coef", 0, 0, 0, "null", 1
"ICS", "cov4.wt", -1, 0, 0, "^double[]", 1
"ICS", "cov4.wt", 0, 0, 0, "^double[]", 1
"ICS", "cov4.wt", 1, 0, 0, "double[]", 1
"ICS", "cov4.wt", 2, 0, 0, "logical", 1
"ICS", "cov4.wt", 3, 0, 0, "character", 1
"ICS", "cov4.wt", 4, 0, 0, "any => any", 1
"ICS", "filter", -1, 0, 0, "logical[]", 1
"ICS", "filter", 0, 0, 0, "character[]", 1
"ICS", "fitted", -1, 0, 0, "struct<`V1`:double[], `V2`:double[], `V3`:double[], `V4`:double[], `V5`:double[], `V6`:double[], `V7`:double[], `V8`:double[]>", 1
"ICS", "fitted", 0, 0, 0, "double[]", 1
"ICS", "fitted", 0, 0, 1, "null", 1
"ICS", "frobenius.norm", -1, 0, 0, "double", 1
"ICS", "frobenius.norm", 0, 0, 0, "^double[]", 1
"ICS", "FUN", -1, 0, 0, "double", 1
"ICS", "FUN", 0, 0, 0, "double[]", 1
"ICS", "mean3", -1, 0, 0, "double[]", 1
"ICS", "mean3", 0, 0, 0, "^double[]", 1
"ICS", "mean3", 0, 0, 1, "struct<>", 1
"ICS", "mean3", 1, 0, 0, "any => any", 1
"ICS", "Mean3Cov4", -1, 0, 0, "struct<`location`:double[], `scatter`:^double[]>", 1
"ICS", "Mean3Cov4", 0, 0, 0, "^double[]", 1
"ICS", "MeanCov", -1, 0, 0, "struct<`location`:double[], `scatter`:^double[]>", 1
"ICS", "MeanCov", 0, 0, 0, "^double[]", 1
"ICS", "plot", -1, 0, 0, "null", 1
"ICS", "plot", 0, 0, 0, "null", 1
"ICS", "plot", 1, 0, 0, "double[]", 1
"ICS", "plot", 1, 0, 1, "null", 1
"ICS", "S1", -1, 0, 0, "struct<`location`:double[], `scatter`:^double[]>", 1
"ICS", "S1", 0, 0, 0, "^double[]", 1
"ICS", "S2", -1, 0, 0, "struct<`location`:double[], `scatter`:^double[]>", 1
"ICS", "S2", 0, 0, 0, "^double[]", 1
"ICS", "S2", 1, 0, 0, "double[]", 1
"ICS", "S2", 2, 0, 0, "double", 1
"ICS", "S2", 3, 0, 0, "double", 1
"ICS", "S2", 4, 0, 0, "logical", 1
"ICS", "S2", 5, 0, 0, "double", 1
"ICS", "S2", 6, 0, 0, "character", 1
"ICS", "S2", 7, 0, 0, "any => any", 1
"ICS", "S2", 8, 0, 0, "logical", 1
