package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"IDPmisc", "Arrows", -1, 0, 0, "null", 1
"IDPmisc", "Arrows", 0, 0, 0, "double[]", 1
"IDPmisc", "Arrows", 1, 0, 0, "double[]", 1
"IDPmisc", "Arrows", 2, 0, 0, "double[]", 1
"IDPmisc", "Arrows", 3, 0, 0, "double[]", 1
"IDPmisc", "Arrows", 4, 0, 0, "double", 1
"IDPmisc", "Arrows", 5, 0, 0, "double", 1
"IDPmisc", "Arrows", 6, 0, 0, "logical", 1
"IDPmisc", "Arrows", 7, 0, 0, "double", 1
"IDPmisc", "Arrows", 8, 0, 0, "double", 1
"IDPmisc", "Arrows", 9, 0, 0, "character", 1
"IDPmisc", "Arrows", 10, 0, 0, "double", 1
"IDPmisc", "Arrows", 11, 0, 0, "any", 1
"IDPmisc", "cart2clock", -1, 0, 0, "class<`data.frame`>", 1
"IDPmisc", "cart2clock", 0, 0, 0, "double[]", 1
"IDPmisc", "cart2clock", 1, 0, 0, "double[]", 1
"IDPmisc", "cart2clock", 2, 0, 0, "double", 1
"IDPmisc", "chooseFace", -1, 0, 0, "double", 1
"IDPmisc", "chooseFace", 0, 0, 0, "null", 1
"IDPmisc", "chooseFace", 1, 0, 0, "double", 1
"IDPmisc", "clock2cart", -1, 0, 0, "class<`data.frame`>", 1
"IDPmisc", "clock2cart", 0, 0, 0, "class<`data.frame`>", 1
"IDPmisc", "clock2cart", 0, 0, 1, "double[]", 1
"IDPmisc", "clock2cart", 1, 0, 0, "null", 1
"IDPmisc", "clock2cart", 1, 0, 1, "double[]", 1
"IDPmisc", "clock2cart", 2, 0, 0, "double", 1
"IDPmisc", "col2hsv", -1, 0, 0, "class<`matrix`>", 1
"IDPmisc", "col2hsv", 0, 0, 0, "character[]", 1
"IDPmisc", "data.sheet", -1, 0, 0, "class<`matrix`>", 1
"IDPmisc", "data.sheet", 0, 0, 0, "list<integer[]>", 1
"IDPmisc", "draw.leg", -1, 0, 0, "class<`frame`, `gDesc`, `gTree`, `grob`>", 1
"IDPmisc", "draw.leg", 0, 0, 0, "list<double | character | list<integer[] | double | character[]> | double | character | list<integer[] | double | character[] | integer[]>>", 1
"IDPmisc", "draw.leg", 1, 0, 0, "logical", 1
"IDPmisc", "draw.leg", 2, 0, 0, "null", 1
"IDPmisc", "filter", -1, 0, 0, "logical[]", 1
"IDPmisc", "filter", 0, 0, 0, "character[]", 1
"IDPmisc", "fun", -1, 0, 0, "class<`DLLInfo`>", 1
"IDPmisc", "fun", 0, 0, 0, "character", 1
"IDPmisc", "fun", 1, 0, 0, "character", 1
"IDPmisc", "FUN", -1, 0, 0, "^integer[]", 1
"IDPmisc", "FUN", 0, 0, 0, "integer[]", 1
"IDPmisc", "general.control", -1, 0, 0, "list<any>", 1
"IDPmisc", "general.control", 0, 0, 0, "logical", 1
"IDPmisc", "general.control", 1, 0, 0, "null", 1
"IDPmisc", "general.control", 2, 0, 0, "null", 1
"IDPmisc", "general.control", 3, 0, 0, "null", 1
"IDPmisc", "general.control", 4, 0, 0, "double[]", 1
"IDPmisc", "general.control", 5, 0, 0, "logical", 1
"IDPmisc", "general.control", 6, 0, 0, "double", 1
"IDPmisc", "general.control", 7, 0, 0, "double", 1
"IDPmisc", "general.control", 8, 0, 0, "null", 1
"IDPmisc", "general.control", 9, 0, 0, "integer[]", 1
"IDPmisc", "general.control", 10, 0, 0, "double", 1
"IDPmisc", "general.control", 11, 0, 0, "character", 1
"IDPmisc", "getXY", -1, 0, 0, "class<`data.frame`>", 1
"IDPmisc", "getXY", 0, 0, 0, "class<`data.frame`>", 1
"IDPmisc", "getXY", 0, 0, 1, "class<`matrix`>", 1
"IDPmisc", "getXY", 0, 0, 2, "double[]", 1
"IDPmisc", "getXY", 0, 0, 3, "list<integer[]>", 1
"IDPmisc", "getXY", 1, 0, 0, "null", 1
"IDPmisc", "getXY", 1, 0, 1, "double[]", 1
"IDPmisc", "getXY", 2, 0, 0, "logical", 1
"IDPmisc", "grid.control", -1, 0, 0, "list<list<any>>", 1
"IDPmisc", "grid.control", 0, 0, 0, "double", 1
"IDPmisc", "grid.control", 1, 0, 0, "null", 1
"IDPmisc", "grid.control", 2, 0, 0, "character", 1
"IDPmisc", "grid.control", 3, 0, 0, "double", 1
"IDPmisc", "grid.control", 4, 0, 0, "double", 1
"IDPmisc", "grid.control", 5, 0, 0, "double", 1
"IDPmisc", "grid.control", 6, 0, 0, "double", 1
"IDPmisc", "grid.control", 7, 0, 0, "null", 1
"IDPmisc", "grid.control", 8, 0, 0, "null", 1
"IDPmisc", "grid.control", 9, 0, 0, "character", 1
"IDPmisc", "grid.control", 10, 0, 0, "double", 1
"IDPmisc", "grid.control", 11, 0, 0, "character[]", 1
"IDPmisc", "hr", -1, 0, 0, "double[]", 1
"IDPmisc", "hr", 0, 0, 0, "double[]", 1
"IDPmisc", "hr", 1, 0, 0, "double[]", 1
"IDPmisc", "hr", 2, 0, 0, "logical", 1
"IDPmisc", "IDPcolorRamp", -1, 0, 0, "character[]", 1
"IDPmisc", "IDPcolorRamp", 0, 0, 0, "double", 1
"IDPmisc", "IDPcolorRamp", 1, 0, 0, "class<`data.frame`>", 1
"IDPmisc", "IDPcolorRamp", 2, 0, 0, "double[]", 1
"IDPmisc", "is.characterOrExpression", -1, 0, 0, "logical", 1
"IDPmisc", "is.characterOrExpression", 0, 0, 0, "character[]", 1
"IDPmisc", "process.key", -1, 0, 0, "list<any>", 1
"IDPmisc", "process.key", 0, 0, 0, "double", 1
"IDPmisc", "process.key", 1, 0, 0, "logical", 1
"IDPmisc", "process.key", 2, 0, 0, "character", 1
"IDPmisc", "process.key", 3, 0, 0, "logical", 1
"IDPmisc", "process.key", 4, 0, 0, "character", 1
"IDPmisc", "process.key", 5, 0, 0, "logical", 1
"IDPmisc", "process.key", 6, 0, 0, "logical", 1
"IDPmisc", "process.key", 7, 0, 0, "double", 1
"IDPmisc", "process.key", 8, 0, 0, "double", 1
"IDPmisc", "process.key", 9, 0, 0, "double", 1
"IDPmisc", "process.key", 10, 0, 0, "double", 1
"IDPmisc", "process.key", 11, 0, 0, "double", 1
"IDPmisc", "pw", -1, 0, 0, "double[]", 1
"IDPmisc", "pw", 0, 0, 0, "double[]", 1
"IDPmisc", "pw", 1, 0, 0, "logical", 1
"IDPmisc", "pw.ai", -1, 0, 0, "double[]", 1
"IDPmisc", "pw.ai", 0, 0, 0, "double[]", 1
"IDPmisc", "pw.ai", 1, 0, 0, "logical", 1
"IDPmisc", "pw.aw", -1, 0, 0, "double[]", 1
"IDPmisc", "pw.aw", 0, 0, 0, "double[]", 1
"IDPmisc", "pw.aw", 1, 0, 0, "logical", 1
"IDPmisc", "rearrangeUnit", -1, 0, 0, "class<`unit`, `unit.list`>", 1
"IDPmisc", "rearrangeUnit", 0, 0, 0, "class<`unit`>", 1
"IDPmisc", "rearrangeUnit", 0, 0, 1, "class<`unit`, `unit.list`>", 1
"IDPmisc", "rearrangeUnit", 1, 0, 0, "double", 1
"IDPmisc", "rearrangeUnit", 2, 0, 0, "class<`unit`, `unit.list`>", 1
"IDPmisc", "showColors", -1, 0, 0, "null", 1
"IDPmisc", "showColors", 0, 0, 0, "character[]", 1
"IDPmisc", "showColors", 1, 0, 0, "double", 1
"IDPmisc", "showColors", 2, 0, 0, "logical", 1
"IDPmisc", "showColors", 3, 0, 0, "double[]", 1
"IDPmisc", "Td", -1, 0, 0, "double[]", 1
"IDPmisc", "Td", 0, 0, 0, "double[]", 1
"IDPmisc", "Td", 1, 0, 0, "null", 1
"IDPmisc", "Td", 2, 0, 0, "null", 1
"IDPmisc", "Td", 3, 0, 0, "logical", 1
"IDPmisc", "Td1", -1, 0, 0, "double[]", 1
"IDPmisc", "Td1", 0, 0, 0, "double[]", 1
"IDPmisc", "Td.aw", -1, 0, 0, "double[]", 1
"IDPmisc", "Td.aw", 0, 0, 0, "double[]", 1
"IDPmisc", "Td.aw", 1, 0, 0, "null", 1
"IDPmisc", "Td.aw", 2, 0, 0, "null", 1
"IDPmisc", "Td.aw", 3, 0, 0, "logical", 1
"IDPmisc", "Tf1", -1, 0, 0, "double[]", 1
"IDPmisc", "Tf1", 0, 0, 0, "double[]", 1
"IDPmisc", "Tf.ai", -1, 0, 0, "double[]", 1
"IDPmisc", "Tf.ai", 0, 0, 0, "double[]", 1
"IDPmisc", "Tf.ai", 1, 0, 0, "null", 1
"IDPmisc", "Tf.ai", 2, 0, 0, "null", 1
"IDPmisc", "Tf.ai", 3, 0, 0, "logical", 1
