package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"JADE", "amari.error", -1, 0, 0, "double", 1
"JADE", "amari.error", 0, 0, 0, "class<`matrix`>", 1
"JADE", "amari.error", 1, 0, 0, "class<`matrix`>", 1
"JADE", "amari.error", 2, 0, 0, "logical", 1
"JADE", "AMUSE", -1, 0, 0, "class<`bss`>", 1
"JADE", "AMUSE", 0, 0, 0, "class<`matrix`>", 1
"JADE", "AMUSE", 0, 0, 1, "class<`matrix`, `mts`, `ts`>", 1
"JADE", "AMUSE", 1, 0, 0, "...", 1
"JADE", "AMUSE.default", -1, 0, 0, "class<`bss`>", 1
"JADE", "AMUSE.default", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"JADE", "AMUSE.default", 0, 0, 1, "class<`matrix`>", 1
"JADE", "AMUSE.default", 1, 0, 0, "double", 1
"JADE", "AMUSE.default", 2, 0, 0, "...", 1
"JADE", "AMUSE.ts", -1, 0, 0, "class<`bss`>", 1
"JADE", "AMUSE.ts", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"JADE", "AMUSE.ts", 1, 0, 0, "...", 1
"JADE", "bss.components", -1, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"JADE", "bss.components", 0, 0, 0, "class<`bss`>", 1
"JADE", "cjd", -1, 0, 0, "list<class<`matrix`> | class<`array`> | class<`matrix`>>", 1
"JADE", "cjd", 0, 0, 0, "class<`array`>", 1
"JADE", "cjd", 0, 0, 1, "class<`matrix`>", 1
"JADE", "cjd", 1, 0, 0, "double", 1
"JADE", "cjd", 2, 0, 0, "double", 1
"JADE", "coef.bss", -1, 0, 0, "class<`matrix`>", 1
"JADE", "coef.bss", 0, 0, 0, "class<`bss`>", 1
"JADE", "coef.bss", 1, 0, 0, "...", 1
"JADE", "ComonGAP", -1, 0, 0, "double", 1
"JADE", "ComonGAP", 0, 0, 0, "class<`matrix`>", 1
"JADE", "ComonGAP", 1, 0, 0, "class<`matrix`>", 1
"JADE", "djd", -1, 0, 0, "class<`matrix`>", 1
"JADE", "djd", 0, 0, 0, "class<`array`>", 1
"JADE", "djd", 1, 0, 0, "character", 1
"JADE", "djd", 2, 0, 0, "double", 1
"JADE", "djd", 3, 0, 0, "double", 1
"JADE", "djd", 4, 0, 0, "double", 1
"JADE", "djd.log", -1, 0, 0, "class<`matrix`>", 1
"JADE", "djd.log", 0, 0, 0, "class<`array`>", 1
"JADE", "djd.log", 1, 0, 0, "class<`matrix`>", 1
"JADE", "djd.log", 2, 0, 0, "class<`matrix`>", 1
"JADE", "djd.log", 3, 0, 0, "integer", 1
"JADE", "djd.log", 4, 0, 0, "integer", 1
"JADE", "djd.log", 5, 0, 0, "double", 1
"JADE", "djd.log", 6, 0, 0, "double", 1
"JADE", "djd.max", -1, 0, 0, "class<`matrix`>", 1
"JADE", "djd.max", 0, 0, 0, "class<`array`>", 1
"JADE", "djd.max", 1, 0, 0, "class<`matrix`>", 1
"JADE", "djd.max", 2, 0, 0, "double", 1
"JADE", "djd.max", 3, 0, 0, "integer", 1
"JADE", "djd.max", 4, 0, 0, "integer", 1
"JADE", "djd.max", 5, 0, 0, "double", 1
"JADE", "djd.max", 6, 0, 0, "double", 1
"JADE", "djd.max", 7, 0, 0, "double", 1
"JADE", "FOBI", -1, 0, 0, "class<`bss`>", 1
"JADE", "FOBI", 0, 0, 0, "class<`matrix`>", 1
"JADE", "FOBI", 1, 0, 0, "class<`function`>", 1
"JADE", "frjd", -1, 0, 0, "list<class<`matrix`> | class<`array`> | double | class<`matrix`> | double>", 1
"JADE", "frjd", 0, 0, 0, "class<`array`>", 1
"JADE", "frjd", 0, 0, 1, "class<`matrix`>", 1
"JADE", "frjd", 1, 0, 0, "null", 1
"JADE", "frjd", 2, 0, 0, "double", 1
"JADE", "frjd", 3, 0, 0, "double", 1
"JADE", "frjd", 4, 0, 0, "class<`function`>", 1
"JADE", "frjd.int", -1, 0, 0, "list<class<`matrix`> | class<`array`> | double>", 1
"JADE", "frjd.int", 0, 0, 0, "class<`array`>", 1
"JADE", "frjd.int", 1, 0, 0, "double", 1
"JADE", "frjd.int", 2, 0, 0, "double", 1
"JADE", "JADE", -1, 0, 0, "class<`bss`>", 1
"JADE", "JADE", 0, 0, 0, "class<`matrix`>", 1
"JADE", "JADE", 1, 0, 0, "double", 1
"JADE", "JADE", 1, 0, 1, "null", 1
"JADE", "JADE", 2, 0, 0, "double", 1
"JADE", "JADE", 3, 0, 0, "double", 1
"JADE", "JADE", 4, 0, 0, "class<`function`>", 1
"JADE", "k_JADE", -1, 0, 0, "class<`bss`>", 1
"JADE", "k_JADE", 0, 0, 0, "class<`matrix`>", 1
"JADE", "k_JADE", 1, 0, 0, "double", 1
"JADE", "k_JADE", 2, 0, 0, "double", 1
"JADE", "k_JADE", 3, 0, 0, "double", 1
"JADE", "k_JADE", 4, 0, 0, "class<`function`>", 1
"JADE", "MD", -1, 0, 0, "double", 1
"JADE", "MD", 0, 0, 0, "class<`matrix`>", 1
"JADE", "MD", 1, 0, 0, "class<`matrix`>", 1
"JADE", "multscatter", -1, 0, 0, "class<`array`>", 1
"JADE", "multscatter", 0, 0, 0, "character[]", 1
"JADE", "multscatter", 1, 0, 0, "class<`matrix`>", 1
"JADE", "multscatter", 2, 0, 0, "logical", 1
"JADE", "M.x", -1, 0, 0, "class<`matrix`>", 1
"JADE", "M.x", 0, 0, 0, "class<`matrix`>", 1
"JADE", "M.x", 1, 0, 0, "double", 1
"JADE", "NSS.JD", -1, 0, 0, "class<`bss`>", 1
