package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"KFAS", "[.SSModel", -1, 0, 0, "double[]", 1
"KFAS", "[.SSModel", 0, 0, 0, "struct<`y`:^double[], `Z`:double[], `H`:character, `T`:double[], `R`:double[], `Q`:double, `a1`:^double[], `P1`:^double[], `P1inf`:^double[], `u`:^double[], `distribution`:character[], `tol`:double, `call`:language, `terms`:language>", 1
"KFAS", "[.SSModel", 1, 0, 0, "character", 1
"KFAS", "[.SSModel", 2, 0, 0, "null", 1
"KFAS", "[.SSModel", 3, 0, 0, "null", 1
"KFAS", "[.SSModel", 4, 0, 0, "null", 1
"KFAS", "[.SSModel", 5, 0, 0, "double", 1
"KFAS", "[.SSModel", 6, 0, 0, "logical", 1
"KFAS", "[.SSModel", 7, 0, 0, "null", 1
"KFAS", "[<-.SSModel", -1, 0, 0, "struct<`y`:^double[], `Z`:double[], `H`:double, `T`:double[], `R`:double[], `Q`:double, `a1`:^double[], `P1`:^double[], `P1inf`:^double[], `u`:character, `distribution`:character, `tol`:double, `call`:language, `terms`:language>", 1
"KFAS", "[<-.SSModel", 0, 0, 0, "struct<`y`:^double[], `Z`:double[], `H`:double, `T`:double[], `R`:double[], `Q`:double, `a1`:^double[], `P1`:^double[], `P1inf`:^double[], `u`:character, `distribution`:character, `tol`:double, `call`:language, `terms`:language>", 1
"KFAS", "[<-.SSModel", 1, 0, 0, "character", 1
"KFAS", "[<-.SSModel", 2, 0, 0, "character", 1
"KFAS", "[<-.SSModel", 2, 0, 1, "null", 1
"KFAS", "[<-.SSModel", 3, 0, 0, "null", 1
"KFAS", "[<-.SSModel", 3, 0, 1, "character", 1
"KFAS", "[<-.SSModel", 4, 0, 0, "null", 1
"KFAS", "[<-.SSModel", 5, 0, 0, "null", 1
"KFAS", "[<-.SSModel", 6, 0, 0, "null", 1
"KFAS", "[<-.SSModel", 7, 0, 0, "^double[]", 1
"KFAS", "approxSSM", -1, 0, 0, "struct<`y`:^double[], `Z`:double[], `H`:double[], `T`:double[], `R`:double[], `Q`:double, `a1`:^double[], `P1`:^double[], `P1inf`:^double[], `u`:^double[], `distribution`:character[], `tol`:double, `call`:language, `terms`:language, `thetahat`:^double[], `iterations`:integer, `difference`:double>", 1
"KFAS", "approxSSM", 0, 0, 0, "struct<`y`:^double[], `Z`:double[], `H`:character, `T`:double[], `R`:double[], `Q`:double, `a1`:^double[], `P1`:^double[], `P1inf`:^double[], `u`:^double[], `distribution`:character[], `tol`:double, `call`:language, `terms`:language>", 1
"KFAS", "approxSSM", 1, 0, 0, "null", 1
"KFAS", "approxSSM", 2, 0, 0, "double", 1
"KFAS", "approxSSM", 3, 0, 0, "double", 1
"KFAS", "artransform", -1, 0, 0, "double[]", 1
"KFAS", "artransform", 0, 0, 0, "double[]", 1
"KFAS", "checkfn", -1, 0, 0, "logical", 1
"KFAS", "checkfn", 0, 0, 0, "struct<`y`:^double[], `Z`:double[], `H`:double[], `T`:double, `R`:double, `Q`:double, `a1`:^double[], `P1`:^double[], `P1inf`:^double[], `u`:character, `distribution`:character[], `tol`:double, `call`:language, `terms`:language>", 1
"KFAS", "checkfn", 0, 0, 1, "struct<`y`:^double[], `Z`:double[], `H`:double, `T`:double[], `R`:double[], `Q`:double[], `a1`:^double[], `P1`:^double[], `P1inf`:^double[], `u`:character, `distribution`:character, `tol`:double, `call`:language, `terms`:language>", 1
