package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"Kendall", "Kendall", -1, 0, 0, "class<`Kendall`>", 1
"Kendall", "Kendall", 0, 0, 0, "double[]", 1
"Kendall", "Kendall", 1, 0, 0, "double[]", 1
"Kendall", "Kendall", 1, 0, 1, "class<`ts`>", 1
"Kendall", "MannKendall", -1, 0, 0, "class<`Kendall`>", 1
"Kendall", "MannKendall", 0, 0, 0, "class<`ts`>", 1
"Kendall", "MannKendall", 0, 0, 1, "double[]", 1
"Kendall", "print.Kendall", -1, 0, 0, "null", 1
"Kendall", "print.Kendall", 0, 0, 0, "class<`Kendall`>", 1
"Kendall", "print.Kendall", 1, 0, 0, "...", 1
"Kendall", "SeasonalMannKendall", -1, 0, 0, "class<`Kendall`>", 1
"Kendall", "SeasonalMannKendall", 0, 0, 0, "class<`ts`>", 1
"Kendall", "summary.Kendall", -1, 0, 0, "null", 1
"Kendall", "summary.Kendall", 0, 0, 0, "class<`Kendall`>", 1
"Kendall", "summary.Kendall", 1, 0, 0, "...", 1
