package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"LearnBayes", "bayes.influence", -1, 0, 0, "list<double[] | class<`matrix`>>", 1
"LearnBayes", "bayes.influence", 0, 0, 0, "class<`matrix`>", 1
"LearnBayes", "bayes.influence", 1, 0, 0, "class<`data.frame`>", 1
"LearnBayes", "bayes.model.selection", -1, 0, 0, "list<class<`data.frame`> | logical[]>", 1
"LearnBayes", "bayes.model.selection", 0, 0, 0, "double[]", 1
"LearnBayes", "bayes.model.selection", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "bayes.model.selection", 2, 0, 0, "double", 1
"LearnBayes", "bayes.model.selection", 3, 0, 0, "logical", 1
"LearnBayes", "bayes.probit", -1, 0, 0, "list<class<`matrix`> | double | class<`matrix`> | null>", 1
"LearnBayes", "bayes.probit", 0, 0, 0, "double[]", 1
"LearnBayes", "bayes.probit", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "bayes.probit", 2, 0, 0, "double", 1
"LearnBayes", "bayes.probit", 3, 0, 0, "list<double[] | class<`matrix`> | double>", 1
"LearnBayes", "bayesresiduals", -1, 0, 0, "double[]", 1
"LearnBayes", "bayesresiduals", 0, 0, 0, "class<`lm`>", 1
"LearnBayes", "bayesresiduals", 1, 0, 0, "list<class<`matrix`> | double[]>", 1
"LearnBayes", "bayesresiduals", 2, 0, 0, "double", 1
"LearnBayes", "betabinexch", -1, 0, 0, "double", 1
"LearnBayes", "betabinexch", 0, 0, 0, "double[]", 1
"LearnBayes", "betabinexch", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "betabinexch0", -1, 0, 0, "double", 1
"LearnBayes", "betabinexch0", 0, 0, 0, "double[]", 1
"LearnBayes", "betabinexch0", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "beta.select", -1, 0, 0, "double[]", 1
"LearnBayes", "beta.select", 0, 0, 0, "list<double>", 1
"LearnBayes", "beta.select", 1, 0, 0, "list<double>", 1
"LearnBayes", "bfexch", -1, 0, 0, "double", 1
"LearnBayes", "bfexch", 0, 0, 0, "double", 1
"LearnBayes", "bfexch", 1, 0, 0, "list<class<`matrix`> | double>", 1
"LearnBayes", "bfindep", -1, 0, 0, "list<double>", 1
"LearnBayes", "bfindep", 0, 0, 0, "class<`matrix`>", 1
"LearnBayes", "bfindep", 1, 0, 0, "double", 1
"LearnBayes", "bfindep", 2, 0, 0, "double", 1
"LearnBayes", "binomial.beta.mix", -1, 0, 0, "list<double[] | class<`matrix`>>", 1
"LearnBayes", "binomial.beta.mix", 0, 0, 0, "double[]", 1
"LearnBayes", "binomial.beta.mix", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "binomial.beta.mix", 2, 0, 0, "double[]", 1
"LearnBayes", "blinreg", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"LearnBayes", "blinreg", 0, 0, 0, "double[]", 1
"LearnBayes", "blinreg", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "blinreg", 2, 0, 0, "double", 1
"LearnBayes", "blinreg", 3, 0, 0, "null", 1
"LearnBayes", "blinregexpected", -1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "blinregexpected", 0, 0, 0, "class<`matrix`>", 1
"LearnBayes", "blinregexpected", 1, 0, 0, "list<class<`matrix`> | double[]>", 1
"LearnBayes", "blinregpred", -1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "blinregpred", 0, 0, 0, "class<`matrix`>", 1
"LearnBayes", "blinregpred", 1, 0, 0, "list<class<`matrix`> | double[]>", 1
"LearnBayes", "bprobit.probs", -1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "bprobit.probs", 0, 0, 0, "class<`matrix`>", 1
"LearnBayes", "bprobit.probs", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "bradley.terry.post", -1, 0, 0, "double", 1
"LearnBayes", "bradley.terry.post", 0, 0, 0, "double[]", 1
"LearnBayes", "bradley.terry.post", 1, 0, 0, "class<`data.frame`>", 1
"LearnBayes", "careertraj.setup", -1, 0, 0, "list<character[] | class<`matrix`> | double[]>", 1
"LearnBayes", "careertraj.setup", 0, 0, 0, "class<`data.frame`>", 1
"LearnBayes", "cauchyerrorpost", -1, 0, 0, "double", 1
"LearnBayes", "cauchyerrorpost", 0, 0, 0, "double[]", 1
"LearnBayes", "cauchyerrorpost", 1, 0, 0, "double[]", 1
"LearnBayes", "ctable", -1, 0, 0, "double", 1
"LearnBayes", "ctable", 0, 0, 0, "class<`matrix`>", 1
"LearnBayes", "ctable", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "discint", -1, 0, 0, "list<double[]>", 1
"LearnBayes", "discint", 0, 0, 0, "class<`matrix`>", 1
"LearnBayes", "discint", 1, 0, 0, "double", 1
"LearnBayes", "discrete.bayes", -1, 0, 0, "class<`bayes`>", 1
"LearnBayes", "discrete.bayes", 0, 0, 0, "class<`function`>", 1
"LearnBayes", "discrete.bayes", 1, 0, 0, "double[]", 1
"LearnBayes", "discrete.bayes", 2, 0, 0, "double[]", 1
"LearnBayes", "discrete.bayes", 3, 0, 0, "...", 1
"LearnBayes", "discrete.bayes.2", -1, 0, 0, "class<`bayes2`>", 1
"LearnBayes", "discrete.bayes.2", 0, 0, 0, "any", 1
"LearnBayes", "discrete.bayes.2", 1, 0, 0, "class<`matrix`>", 1
"LearnBayes", "discrete.bayes.2", 2, 0, 0, "null", 1
"LearnBayes", "discrete.bayes.2", 3, 0, 0, "...", 1
"LearnBayes", "dmnorm", -1, 0, 0, "double", 1
"LearnBayes", "dmnorm", 0, 0, 0, "double[]", 1
"LearnBayes", "dmnorm", 1, 0, 0, "double[]", 1
"LearnBayes", "dmnorm", 1, 0, 1, "class<`matrix`>", 1
"LearnBayes", "dmnorm", 2, 0, 0, "class<`matrix`>", 1
"LearnBayes", "dmnorm", 3, 0, 0, "logical", 1
"LearnBayes", "dmt", -1, 0, 0, "double[]", 1
"LearnBayes", "dmt", 0, 0, 0, "class<`matrix`>", 1
"LearnBayes", "dmt", 0, 0, 1, "double[]", 1
"LearnBayes", "dmt", 1, 0, 0, "double[]", 1
"LearnBayes", "dmt", 2, 0, 0, "class<`matrix`>", 1
"LearnBayes", "dmt", 3, 0, 0, "double", 1
