package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"MASS", "addterm", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"MASS", "addterm", 0, 0, 0, "class<`aov`, `lm`>", 1
"MASS", "addterm", 0, 0, 1, "class<`glm`, `lm`>", 1
"MASS", "addterm", 0, 0, 2, "class<`lme`>", 1
"MASS", "addterm", 0, 0, 3, "class<`polr`>", 1
"MASS", "addterm", 1, 0, 0, "...", 1
"MASS", "addterm.default", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"MASS", "addterm.default", 0, 0, 0, "class<`lme`>", 1
"MASS", "addterm.default", 0, 0, 1, "class<`polr`>", 1
"MASS", "addterm.default", 1, 0, 0, "character[]", 1
"MASS", "addterm.default", 1, 0, 1, "class<`formula`>", 1
"MASS", "addterm.default", 2, 0, 0, "double", 1
"MASS", "addterm.default", 3, 0, 0, "character[]", 1
"MASS", "addterm.default", 4, 0, 0, "double", 1
"MASS", "addterm.default", 5, 0, 0, "logical", 1
"MASS", "addterm.default", 6, 0, 0, "double", 1
"MASS", "addterm.default", 7, 0, 0, "...", 1
"MASS", "addterm.glm", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"MASS", "addterm.glm", 0, 0, 0, "class<`glm`, `lm`>", 1
"MASS", "addterm.glm", 1, 0, 0, "character[]", 1
"MASS", "addterm.glm", 1, 0, 1, "class<`formula`>", 1
"MASS", "addterm.glm", 2, 0, 0, "double", 1
"MASS", "addterm.glm", 3, 0, 0, "character[]", 1
"MASS", "addterm.glm", 4, 0, 0, "double", 1
"MASS", "addterm.glm", 5, 0, 0, "logical", 1
"MASS", "addterm.glm", 6, 0, 0, "double", 1
"MASS", "addterm.glm", 7, 0, 0, "...", 1
"MASS", "addterm.lm", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"MASS", "addterm.lm", 0, 0, 0, "class<`aov`, `lm`>", 1
"MASS", "addterm.lm", 1, 0, 0, "character[]", 1
"MASS", "addterm.lm", 1, 0, 1, "class<`aov`, `lm`>", 1
"MASS", "addterm.lm", 2, 0, 0, "double", 1
"MASS", "addterm.lm", 3, 0, 0, "character[]", 1
"MASS", "addterm.lm", 4, 0, 0, "double", 1
"MASS", "addterm.lm", 5, 0, 0, "logical", 1
"MASS", "addterm.lm", 6, 0, 0, "...", 1
"MASS", "anova.loglm", -1, 0, 0, "class<`anova.loglm`>", 1
"MASS", "anova.loglm", 0, 0, 0, "class<`loglm`>", 1
"MASS", "anova.loglm", 1, 0, 0, "...", 1
"MASS", "anova.loglm", 2, 0, 0, "character[]", 1
"MASS", "anova.negbin", -1, 0, 0, "(class<`anova`, `data.frame`> | class<`Anova`, `data.frame`>)", 1
"MASS", "anova.negbin", 0, 0, 0, "class<`glm`, `lm`, `negbin`>", 1
"MASS", "anova.negbin", 1, 0, 0, "...", 1
"MASS", "anova.negbin", 2, 0, 0, "character", 1
"MASS", "anova.polr", -1, 0, 0, "class<`Anova`, `data.frame`>", 1
"MASS", "anova.polr", 0, 0, 0, "class<`polr`>", 1
"MASS", "anova.polr", 1, 0, 0, "...", 1
"MASS", "anova.polr", 2, 0, 0, "character[]", 1
"MASS", "area", -1, 0, 0, "double", 1
"MASS", "area", 0, 0, 0, "class<`function`>", 1
"MASS", "area", 1, 0, 0, "double", 1
"MASS", "area", 2, 0, 0, "double", 1
"MASS", "area", 3, 0, 0, "...", 1
"MASS", "area", 4, 0, 0, "double", 1
"MASS", "area", 5, 0, 0, "double", 1
"MASS", "area", 6, 0, 0, "any", 1
"MASS", "area", 7, 0, 0, "double", 1
"MASS", "bandwidth.nrd", -1, 0, 0, "double", 1
"MASS", "bandwidth.nrd", 0, 0, 0, "double[]", 1
"MASS", "bcv", -1, 0, 0, "double", 1
"MASS", "bcv", 0, 0, 0, "double[]", 1
"MASS", "bcv", 1, 0, 0, "double", 1
"MASS", "bcv", 2, 0, 0, "double", 1
"MASS", "bcv", 3, 0, 0, "double", 1
"MASS", "biplot.bdr", -1, 0, 0, "null", 1
"MASS", "biplot.bdr", 0, 0, 0, "class<`matrix`>", 1
"MASS", "biplot.bdr", 1, 0, 0, "class<`matrix`>", 1
"MASS", "biplot.bdr", 2, 0, 0, "any", 1
"MASS", "biplot.bdr", 3, 0, 0, "double[]", 1
"MASS", "biplot.bdr", 4, 0, 0, "null", 1
"MASS", "biplot.bdr", 5, 0, 0, "null", 1
"MASS", "biplot.bdr", 6, 0, 0, "null", 1
"MASS", "biplot.bdr", 7, 0, 0, "null", 1
"MASS", "biplot.bdr", 8, 0, 0, "...", 1
"MASS", "biplot.correspondence", -1, 0, 0, "null", 1
"MASS", "biplot.correspondence", 0, 0, 0, "class<`correspondence`>", 1
"MASS", "biplot.correspondence", 1, 0, 0, "character[]", 1
"MASS", "biplot.correspondence", 2, 0, 0, "...", 1
"MASS", "boxcox", -1, 0, 0, "list<double[]>", 1
"MASS", "boxcox", 0, 0, 0, "class<`formula`>", 1
"MASS", "boxcox", 1, 0, 0, "...", 1
"MASS", "boxcox.default", -1, 0, 0, "list<double[]>", 1
"MASS", "boxcox.default", 0, 0, 0, "class<`lm`>", 1
"MASS", "boxcox.default", 1, 0, 0, "double[]", 1
"MASS", "boxcox.default", 2, 0, 0, "logical", 1
"MASS", "boxcox.default", 3, 0, 0, "logical", 1
"MASS", "boxcox.default", 4, 0, 0, "double", 1
"MASS", "boxcox.default", 5, 0, 0, "expression", 1
"MASS", "boxcox.default", 6, 0, 0, "character", 1
"MASS", "boxcox.default", 7, 0, 0, "...", 1
"MASS", "boxcox.formula", -1, 0, 0, "list<double[]>", 1
"MASS", "boxcox.formula", 0, 0, 0, "class<`formula`>", 1
"MASS", "boxcox.formula", 1, 0, 0, "double[]", 1
"MASS", "boxcox.formula", 2, 0, 0, "logical", 1
"MASS", "boxcox.formula", 3, 0, 0, "any", 1
"MASS", "boxcox.formula", 4, 0, 0, "any", 1
"MASS", "boxcox.formula", 5, 0, 0, "any", 1
"MASS", "boxcox.formula", 6, 0, 0, "character", 1
"MASS", "boxcox.formula", 7, 0, 0, "...", 1
"MASS", "confint.glm", -1, 0, 0, "(class<`matrix`> | double[])", 1
"MASS", "confint.glm", 0, 0, 0, "class<`glm`, `lm`>", 1
"MASS", "confint.glm", 1, 0, 0, "any", 1
"MASS", "confint.glm", 2, 0, 0, "double", 1
"MASS", "confint.glm", 3, 0, 0, "logical", 1
"MASS", "confint.glm", 4, 0, 0, "...", 1
"MASS", "confint.nls", -1, 0, 0, "double[]", 1
"MASS", "confint.nls", 0, 0, 0, "class<`nls`>", 1
"MASS", "confint.nls", 1, 0, 0, "character", 1
"MASS", "confint.nls", 2, 0, 0, "double", 1
"MASS", "confint.nls", 3, 0, 0, "...", 1
