package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"MHadaptive", "BCI", -1, 0, 0, "class<`matrix`>", 1
"MHadaptive", "BCI", 0, 0, 0, "list<class<`matrix`> | character[] | double>", 1
"MHadaptive", "BCI", 1, 0, 0, "double[]", 1
"MHadaptive", ".is.positive.definite", -1, 0, 0, "logical", 1
"MHadaptive", ".is.positive.definite", 0, 0, 0, "class<`matrix`>", 1
"MHadaptive", ".is.positive.definite", 1, 0, 0, "any", 1
"MHadaptive", ".is.positive.definite", 2, 0, 0, "character[]", 1
"MHadaptive", "isPositiveDefinite", -1, 0, 0, "logical", 1
"MHadaptive", "isPositiveDefinite", 0, 0, 0, "class<`matrix`>", 1
"MHadaptive", "mcmc_thin", -1, 0, 0, "list<class<`matrix`> | character[] | double>", 1
"MHadaptive", "mcmc_thin", 0, 0, 0, "list<class<`matrix`> | character[] | double>", 1
"MHadaptive", "mcmc_thin", 1, 0, 0, "double", 1
"MHadaptive", "plotMH", -1, 0, 0, "list<logical>", 1
"MHadaptive", "plotMH", 0, 0, 0, "list<class<`matrix`> | character[] | double>", 1
"MHadaptive", "plotMH", 1, 0, 0, "logical", 1
