package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"Metrics", "accuracy", -1, 0, 0, "double", 1
"Metrics", "accuracy", 0, 0, 0, "character[]", 1
"Metrics", "accuracy", 1, 0, 0, "character[]", 1
"Metrics", "ae", -1, 0, 0, "double[]", 1
"Metrics", "ae", 0, 0, 0, "double[]", 1
"Metrics", "ae", 1, 0, 0, "double[]", 1
"Metrics", "ape", -1, 0, 0, "double[]", 1
"Metrics", "ape", 0, 0, 0, "double[]", 1
"Metrics", "ape", 1, 0, 0, "double[]", 1
"Metrics", "apk", -1, 0, 0, "double", 1
"Metrics", "apk", 0, 0, 0, "double", 1
"Metrics", "apk", 1, 0, 0, "character[]", 1
"Metrics", "apk", 1, 0, 1, "double[]", 1
"Metrics", "apk", 2, 0, 0, "character[]", 1
"Metrics", "apk", 2, 0, 1, "double[]", 1
"Metrics", "auc", -1, 0, 0, "double", 1
"Metrics", "auc", 0, 0, 0, "double[]", 1
"Metrics", "auc", 1, 0, 0, "double[]", 1
"Metrics", "bias", -1, 0, 0, "double", 1
"Metrics", "bias", 0, 0, 0, "double[]", 1
"Metrics", "bias", 1, 0, 0, "double[]", 1
"Metrics", "ce", -1, 0, 0, "double", 1
"Metrics", "ce", 0, 0, 0, "character[]", 1
"Metrics", "ce", 1, 0, 0, "character[]", 1
"Metrics", "f1", -1, 0, 0, "double", 1
"Metrics", "f1", 0, 0, 0, "character[]", 1
"Metrics", "f1", 1, 0, 0, "character[]", 1
"Metrics", "ll", -1, 0, 0, "double[]", 1
"Metrics", "ll", 0, 0, 0, "double[]", 1
"Metrics", "ll", 1, 0, 0, "double[]", 1
"Metrics", "logLoss", -1, 0, 0, "double", 1
"Metrics", "logLoss", 0, 0, 0, "double[]", 1
"Metrics", "logLoss", 1, 0, 0, "double[]", 1
"Metrics", "mae", -1, 0, 0, "double", 1
"Metrics", "mae", 0, 0, 0, "double[]", 1
"Metrics", "mae", 1, 0, 0, "double[]", 1
"Metrics", "mape", -1, 0, 0, "double", 1
"Metrics", "mape", 0, 0, 0, "double[]", 1
"Metrics", "mape", 1, 0, 0, "double[]", 1
"Metrics", "mapk", -1, 0, 0, "double", 1
"Metrics", "mapk", 0, 0, 0, "double", 1
"Metrics", "mapk", 1, 0, 0, "list<character[]>", 1
"Metrics", "mapk", 1, 0, 1, "list<double[]>", 1
"Metrics", "mapk", 2, 0, 0, "list<character[]>", 1
"Metrics", "mapk", 2, 0, 1, "list<double[]>", 1
"Metrics", "mase", -1, 0, 0, "double", 1
"Metrics", "mase", 0, 0, 0, "double[]", 1
"Metrics", "mase", 1, 0, 0, "double[]", 1
"Metrics", "mase", 2, 0, 0, "double", 1
"Metrics", "mdae", -1, 0, 0, "double", 1
"Metrics", "mdae", 0, 0, 0, "double[]", 1
"Metrics", "mdae", 1, 0, 0, "double[]", 1
"Metrics", "MeanQuadraticWeightedKappa", -1, 0, 0, "double", 1
"Metrics", "MeanQuadraticWeightedKappa", 0, 0, 0, "double[]", 1
"Metrics", "MeanQuadraticWeightedKappa", 1, 0, 0, "double[]", 1
"Metrics", "mse", -1, 0, 0, "double", 1
"Metrics", "mse", 0, 0, 0, "double[]", 1
"Metrics", "mse", 1, 0, 0, "double[]", 1
"Metrics", "msle", -1, 0, 0, "double", 1
"Metrics", "msle", 0, 0, 0, "double[]", 1
"Metrics", "msle", 1, 0, 0, "double[]", 1
