package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"PolynomF", ".accumulate", -1, 0, 0, "any => any", 1
"PolynomF", ".accumulate", 0, 0, 0, "any => any", 1
"PolynomF", ".accumulate", 0, 0, 1, "character", 1
"PolynomF", ".accumulate", 1, 0, 0, "any => any", 1
"PolynomF", ".accumulate", 2, 0, 0, "tuple<any => any>", 1
"PolynomF", ".accumulate", 2, 0, 1, "tuple<any => any, any => any>", 1
"PolynomF", ".accumulate", 2, 0, 2, "tuple<any => any, any => any, any => any>", 1
"PolynomF", ".accumulate", 2, 0, 3, "tuple<any => any, any => any, any => any, any => any>", 1
"PolynomF", ".accumulate", 2, 0, 4, "tuple<any => any, any => any, any => any, any => any, any => any>", 1
"PolynomF", ".accumulate", 2, 0, 5, "struct<`T_1`:any => any, `T_2`:any => any, `T_3`:any => any, `T_4`:any => any, `T_5`:any => any, `T_6`:any => any, `T_7`:any => any, `T_8`:any => any, `T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 6, "struct<`T_2`:any => any, `T_3`:any => any, `T_4`:any => any, `T_5`:any => any, `T_6`:any => any, `T_7`:any => any, `T_8`:any => any, `T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 7, "struct<`T_3`:any => any, `T_4`:any => any, `T_5`:any => any, `T_6`:any => any, `T_7`:any => any, `T_8`:any => any, `T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 8, "struct<`T_4`:any => any, `T_5`:any => any, `T_6`:any => any, `T_7`:any => any, `T_8`:any => any, `T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 9, "struct<`T_5`:any => any, `T_6`:any => any, `T_7`:any => any, `T_8`:any => any, `T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 10, "struct<`T_6`:any => any, `T_7`:any => any, `T_8`:any => any, `T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 11, "struct<`T_7`:any => any, `T_8`:any => any, `T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 12, "struct<`T_8`:any => any, `T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 13, "struct<`T_9`:any => any, `T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 14, "struct<`T10`:any => any, `T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 15, "struct<`T11`:any => any, `T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 16, "struct<`T12`:any => any, `T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 17, "struct<`T13`:any => any, `T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 18, "struct<`T14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 19, "struct<`U_1`:any => any, `U_2`:any => any, `U_3`:any => any, `U_4`:any => any, `U_5`:any => any, `U_6`:any => any, `U_7`:any => any, `U_8`:any => any, `U_9`:any => any, `U10`:any => any, `U11`:any => any, `U12`:any => any, `U13`:any => any, `U14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 20, "struct<`U_2`:any => any, `U_3`:any => any, `U_4`:any => any, `U_5`:any => any, `U_6`:any => any, `U_7`:any => any, `U_8`:any => any, `U_9`:any => any, `U10`:any => any, `U11`:any => any, `U12`:any => any, `U13`:any => any, `U14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 21, "struct<`U_3`:any => any, `U_4`:any => any, `U_5`:any => any, `U_6`:any => any, `U_7`:any => any, `U_8`:any => any, `U_9`:any => any, `U10`:any => any, `U11`:any => any, `U12`:any => any, `U13`:any => any, `U14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 22, "struct<`U_4`:any => any, `U_5`:any => any, `U_6`:any => any, `U_7`:any => any, `U_8`:any => any, `U_9`:any => any, `U10`:any => any, `U11`:any => any, `U12`:any => any, `U13`:any => any, `U14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 23, "struct<`U_5`:any => any, `U_6`:any => any, `U_7`:any => any, `U_8`:any => any, `U_9`:any => any, `U10`:any => any, `U11`:any => any, `U12`:any => any, `U13`:any => any, `U14`:any => any>", 1
"PolynomF", ".accumulate", 2, 0, 24, "struct<`U_6`:any => any, `U_7`:any => any, `U_8`:any => any, `U_9`:any => any, `U10`:any => any, `U11`:any => any, `U12`:any => any, `U13`:any => any, `U14`:any => any>", 1
