package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"PresenceAbsence", "auc.roc.plot", -1, 0, 0, "struct<`pty`:character>", 1
"PresenceAbsence", "auc.roc.plot", 0, 0, 0, "struct<`plotID`:integer[], `Observed`:double[], `Predicted1`:double[]>", 1
"PresenceAbsence", "auc.roc.plot", 1, 0, 0, "double", 1
"PresenceAbsence", "auc.roc.plot", 2, 0, 0, "logical", 1
"PresenceAbsence", "auc.roc.plot", 3, 0, 0, "integer[]", 1
"PresenceAbsence", "auc.roc.plot", 4, 0, 0, "logical", 1
"PresenceAbsence", "auc.roc.plot", 5, 0, 0, "character", 1
"PresenceAbsence", "auc.roc.plot", 6, 0, 0, "character", 1
"PresenceAbsence", "auc.roc.plot", 7, 0, 0, "character", 1
"PresenceAbsence", "auc.roc.plot", 8, 0, 0, "null", 1
"PresenceAbsence", "auc.roc.plot", 8, 0, 1, "character", 1
"PresenceAbsence", "auc.roc.plot", 8, 0, 2, "^double[]", 1
"PresenceAbsence", "auc.roc.plot", 9, 0, 0, "null", 1
"PresenceAbsence", "auc.roc.plot", 10, 0, 0, "^double[]", 1
"PresenceAbsence", "auc.roc.plot", 11, 0, 0, "double", 1
"PresenceAbsence", "auc.roc.plot", 12, 0, 0, "null", 1
"PresenceAbsence", "auc.roc.plot", 12, 0, 1, "null", 1
"PresenceAbsence", "auc.roc.plot", 13, 0, 0, "logical", 1
"PresenceAbsence", "auc.roc.plot", 14, 0, 0, "null", 1
"PresenceAbsence", "auc.roc.plot", 15, 0, 0, "^double[]", 1
"PresenceAbsence", "auc.roc.plot", 15, 0, 1, "symbol", 1
"PresenceAbsence", "auc.roc.plot", 16, 0, 0, "character[]", 1
"PresenceAbsence", "auc.roc.plot", 16, 0, 1, "^double[]", 1
"PresenceAbsence", "auc.roc.plot", 16, 0, 2, "symbol", 1
"PresenceAbsence", "auc.roc.plot", 17, 0, 0, "symbol", 1
"PresenceAbsence", "auc.roc.plot", 17, 0, 1, "null", 1
"PresenceAbsence", "auc.roc.plot", 18, 0, 0, "symbol", 1
"PresenceAbsence", "auc.roc.plot", 18, 0, 1, "null", 1
"PresenceAbsence", "error.threshold.plot", -1, 0, 0, "struct<`rect`:struct<`w`:double, `h`:double, `left`:double, `top`:double>, `text`:struct<`x`:double[], `y`:double[]>>", 1
"PresenceAbsence", "error.threshold.plot", 0, 0, 0, "struct<`plotID`:integer[], `Observed`:double[], `Predicted1`:double[]>", 1
