package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"QCA", "[[", -1, 0, 0, "class<`condition`, `error`, `simpleError`>", 1
"QCA", "[[", 0, 0, 0, "class<`condition`, `error`, `simpleError`>", 1
"QCA", "allExpressions", -1, 0, 0, "class<`aE`, `matrix`>", 1
"QCA", "allExpressions", 0, 0, 0, "double[]", 1
"QCA", "allExpressions", 1, 0, 0, "logical", 1
"QCA", "allExpressions", 2, 0, 0, "double", 1
"QCA", "allExpressions", 2, 0, 1, "null", 1
"QCA", "allExpressions", 3, 0, 0, "logical", 1
"QCA", "allExpressions", 4, 0, 0, "...", 1
"QCA", "calibrate", -1, 0, 0, "double[]", 1
"QCA", "calibrate", 0, 0, 0, "double[]", 1
"QCA", "calibrate", 1, 0, 0, "character", 1
"QCA", "calibrate", 2, 0, 0, "character", 1
"QCA", "calibrate", 3, 0, 0, "character", 1
"QCA", "calibrate", 3, 0, 1, "null", 1
"QCA", "calibrate", 3, 0, 2, "double[]", 1
"QCA", "calibrate", 4, 0, 0, "logical", 1
"QCA", "calibrate", 5, 0, 0, "double", 1
"QCA", "calibrate", 6, 0, 0, "logical", 1
"QCA", "calibrate", 7, 0, 0, "double", 1
"QCA", "calibrate", 8, 0, 0, "double", 1
"QCA", "calibrate", 9, 0, 0, "...", 1
"QCA", "causalChain", -1, 0, 0, "class<`chain`>", 1
"QCA", "causalChain", 0, 0, 0, "class<`data.frame`>", 1
"QCA", "causalChain", 1, 0, 0, "character", 1
"QCA", "causalChain", 1, 0, 1, "null", 1
"QCA", "causalChain", 2, 0, 0, "logical", 1
"QCA", "causalChain", 3, 0, 0, "...", 1
"QCA", "check.equal", -1, 0, 0, "logical", 1
"QCA", "check.equal", 0, 0, 0, "double", 1
"QCA", "check.equal", 1, 0, 0, "double", 1
"QCA", "checkpos", -1, 0, 0, "integer[]", 1
"QCA", "checkpos", 0, 0, 0, "any", 1
"QCA", "checkpos", 1, 0, 0, "character", 1
"QCA", "createMatrix", -1, 0, 0, "class<`matrix`>", 1
"QCA", "createMatrix", 0, 0, 0, "double[]", 1
"QCA", "createMatrix", 1, 0, 0, "...", 1
"QCA", "extract", -1, 0, 0, "list<any>", 1
"QCA", "extract", 0, 0, 0, "character", 1
"QCA", "extract", 1, 0, 0, "character", 1
"QCA", "extract", 2, 0, 0, "class<`data.frame`>", 1
"QCA", "filter", -1, 0, 0, "logical[]", 1
"QCA", "filter", 0, 0, 0, "character[]", 1
"QCA", "findmin", -1, 0, 0, "integer", 1
"QCA", "findmin", 0, 0, 0, "class<`matrix`>", 1
"QCA", "findmin", 0, 0, 1, "class<`matrix`, `pic`>", 1
"QCA", "findRows", -1, 0, 0, "double[]", 1
"QCA", "findRows", 0, 0, 0, "character", 1
"QCA", "findRows", 1, 0, 0, "class<`tt`>", 1
"QCA", "findRows", 2, 0, 0, "logical", 1
"QCA", "findRows", 3, 0, 0, "double", 1
"QCA", "findRows", 4, 0, 0, "...", 1
"QCA", "findTh", -1, 0, 0, "double[]", 1
"QCA", "findTh", 0, 0, 0, "double[]", 1
"QCA", "findTh", 1, 0, 0, "double", 1
"QCA", "findTh", 2, 0, 0, "character", 1
"QCA", "findTh", 3, 0, 0, "character", 1
"QCA", "findTh", 4, 0, 0, "...", 1
"QCA", "fun", -1, 0, 0, "null", 1
"QCA", "fun", 0, 0, 0, "...", 1
"QCA", "FUN", -1, 0, 0, "logical", 1
"QCA", "FUN", 0, 0, 0, "double[]", 1
"QCA", "FUN", -1, 1, 0, "double[]", 1
"QCA", "FUN", 0, 1, 0, "double[]", 1
"QCA", "FUN", -1, 2, 0, "logical", 1
"QCA", "FUN", 0, 2, 0, "double[]", 1
"QCA", "FUN", -1, 3, 0, "double[]", 1
"QCA", "FUN", 0, 3, 0, "double[]", 1
"QCA", "FUN", -1, 4, 0, "logical", 1
"QCA", "FUN", 0, 4, 0, "double[]", 1
"QCA", "FUN", -1, 5, 0, "logical[]", 1
"QCA", "FUN", 0, 5, 0, "integer", 1
"QCA", "FUN", -1, 6, 0, "double[]", 1
"QCA", "FUN", 0, 6, 0, "double[]", 1
"QCA", "FUN", -1, 7, 0, "character", 1
"QCA", "FUN", 0, 7, 0, "double", 1
"QCA", "FUN", -1, 8, 0, "double[]", 1
"QCA", "FUN", 0, 8, 0, "double[]", 1
"QCA", "FUN", -1, 9, 0, "character[]", 1
"QCA", "FUN", 0, 9, 0, "character[]", 1
"QCA", "FUN", -1, 10, 0, "logical", 1
"QCA", "FUN", 0, 10, 0, "double[]", 1
