package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"R.matlab", ".onAttach", -1, 0, 0, "null", 1
"R.matlab", ".onAttach", 0, 0, 0, "symbol", 1
"R.matlab", ".onAttach", 1, 0, 0, "character", 1
"R.matlab", ".onUnload", -1, 0, 0, "^double[]", 1
"R.matlab", ".onUnload", 0, 0, 0, "symbol", 1
"R.matlab", "[[", -1, 0, 0, "double", 1
"R.matlab", "[[", 0, 0, 0, "symbol", 1
"R.matlab", "as.character.Matlab", -1, 0, 0, "character", 1
"R.matlab", "as.character.Matlab", 0, 0, 0, "null", 1
"R.matlab", "as.character.Matlab", 1, 0, 0, "null", 1
"R.matlab", "asSafeMatlabName", -1, 0, 0, "character", 1
"R.matlab", "asSafeMatlabName", 0, 0, 0, "character", 1
"R.matlab", "asSafeRName", -1, 0, 0, "character", 1
"R.matlab", "asSafeRName", 0, 0, 0, "character", 1
"R.matlab", "charConverter", -1, 0, 0, "any => any", 1
"R.matlab", "charConverter", 0, 0, 0, "character", 1
"R.matlab", "charToInt", -1, 0, 0, "double[]", 1
"R.matlab", "charToInt", 0, 0, 0, "character[]", 1
"R.matlab", "close.Matlab", -1, 0, 0, "null", 1
"R.matlab", "close.Matlab", 0, 0, 0, "null", 1
"R.matlab", "close.Matlab", 1, 0, 0, "null", 1
"R.matlab", "constructor", -1, 0, 0, "null", 1
"R.matlab", "constructor", 0, 0, 0, "character", 1
"R.matlab", "constructor", 1, 0, 0, "double", 1
"R.matlab", "constructor", 2, 0, 0, "logical", 1
"R.matlab", "convertUTF8", -1, 0, 0, "character", 1
"R.matlab", "convertUTF8", 0, 0, 0, "integer[]", 1
"R.matlab", "crc", -1, 0, 0, "raw[]", 1
"R.matlab", "crc", 0, 0, 0, "raw[]", 1
"R.matlab", "eatRawBuffer", -1, 0, 0, "null", 1
"R.matlab", "eatRawBuffer", 0, 0, 0, "double", 1
"R.matlab", "fillRawBuffer", -1, 0, 0, "null", 1
"R.matlab", "fillRawBuffer", 0, 0, 0, "integer", 1
"R.matlab", "filter", -1, 0, 0, "logical[]", 1
"R.matlab", "filter", 0, 0, 0, "character[]", 1
"R.matlab", "finalize.Matlab", -1, 0, 0, "null", 1
"R.matlab", "finalize.Matlab", 0, 0, 0, "null", 1
"R.matlab", "finalize.Matlab", 1, 0, 0, "null", 1
"R.matlab", "fun", -1, 0, 0, "null", 1
"R.matlab", "fun", 0, 0, 0, "symbol", 1
"R.matlab", "fun", 1, 0, 0, "character", 1
"R.matlab", "FUN", -1, 0, 0, "character", 1
"R.matlab", "FUN", 0, 0, 0, "integer", 1
"R.matlab", "getCommandByte", -1, 0, 0, "integer", 1
"R.matlab", "getCommandByte", 0, 0, 0, "symbol", 1
"R.matlab", "getCommandByte", 1, 0, 0, "character", 1
"R.matlab", "getMOPT", -1, 0, 0, "double[]", 1
"R.matlab", "getMOPT", 0, 0, 0, "integer[]", 1
"R.matlab", "getOption.Matlab", -1, 0, 0, "null", 1
"R.matlab", "getOption.Matlab", 0, 0, 0, "null", 1
"R.matlab", "getOption.Matlab", 1, 0, 0, "character", 1
