package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"R.methodsS3", "filter", -1, 0, 0, "logical[]", 1
"R.methodsS3", "filter", 0, 0, 0, "character[]", 1
"R.methodsS3", "pkgStartupMessage.default", -1, 0, 0, "null", 1
"R.methodsS3", "pkgStartupMessage.default", 0, 0, 0, "character", 1
"R.methodsS3", "pkgStartupMessage.default", 1, 0, 0, "null", 1
"R.methodsS3", "pkgStartupMessage.default", 1, 0, 1, "logical", 1
"R.methodsS3", "appendVarArgs.function", -1, 0, 0, "any => any", 1
"R.methodsS3", "appendVarArgs.function", 0, 0, 0, "any => any", 1
"R.methodsS3", "appendVarArgs.function", 1, 0, 0, "null", 1
"R.methodsS3", "fun", -1, 0, 0, "null", 1
"R.methodsS3", "fun", 0, 0, 0, "symbol", 1
"R.methodsS3", "fun", 1, 0, 0, "character", 1
"R.methodsS3", "hasVarArgs.function", -1, 0, 0, "logical", 1
"R.methodsS3", "hasVarArgs.function", 0, 0, 0, "any => any", 1
"R.methodsS3", "hasVarArgs.function", 1, 0, 0, "null", 1
"R.methodsS3", ":::", -1, 0, 0, "any => any", 1
"R.methodsS3", ":::", 0, 0, 0, "any => any", 1
"R.methodsS3", ":::", 1, 0, 0, "logical", 1
"R.methodsS3", ".findFunction", -1, 0, 0, "struct<`fcn`:any => any, `pkg`:character>", 1
"R.methodsS3", ".findFunction", 0, 0, 0, "character", 1
"R.methodsS3", ".findFunction", 1, 0, 0, "environment", 1
"R.methodsS3", ".findFunction", 1, 0, 1, "list<environment>", 1
"R.methodsS3", ".findFunction", 2, 0, 0, "logical[]", 1
