package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"R6", "is.R6", -1, 0, 0, "logical", 1
"R6", "is.R6", 0, 0, 0, "class<`R6`>", 1
"R6", "is.R6", 0, 0, 1, "class<`R6ClassGenerator`>", 1
"R6", "is.R6Class", -1, 0, 0, "logical", 1
"R6", "is.R6Class", 0, 0, 0, "class<`R6`>", 1
"R6", "is.R6Class", 0, 0, 1, "class<`R6ClassGenerator`>", 1
"R6", "R6Class", -1, 0, 0, "class<`R6ClassGenerator`>", 1
"R6", "R6Class", 0, 0, 0, "character", 1
"R6", "R6Class", 0, 0, 1, "null", 1
"R6", "R6Class", 1, 0, 0, "list<any>", 1
"R6", "R6Class", 2, 0, 0, "list<double>", 1
"R6", "R6Class", 2, 0, 1, "list<class<`function`>>", 1
"R6", "R6Class", 2, 0, 2, "list<class<`function`> | list<any>>", 1
"R6", "R6Class", 2, 0, 3, "null", 1
"R6", "R6Class", 2, 0, 4, "list<double | class<`function`>>", 1
"R6", "R6Class", 3, 0, 0, "null", 1
"R6", "R6Class", 3, 0, 1, "list<class<`function`>>", 1
"R6", "R6Class", 4, 0, 0, "any", 1
"R6", "R6Class", 5, 0, 0, "logical", 1
"R6", "R6Class", 6, 0, 0, "logical", 1
"R6", "R6Class", 7, 0, 0, "logical", 1
