package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"RNetCDF", "att.copy.nc", -1, 0, 0, "null", 1
"RNetCDF", "att.copy.nc", 0, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "att.copy.nc", 1, 0, 0, "character", 1
"RNetCDF", "att.copy.nc", 1, 0, 1, "double", 1
"RNetCDF", "att.copy.nc", 2, 0, 0, "character", 1
"RNetCDF", "att.copy.nc", 2, 0, 1, "double", 1
"RNetCDF", "att.copy.nc", 3, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "att.copy.nc", 4, 0, 0, "character", 1
"RNetCDF", "att.copy.nc", 4, 0, 1, "double", 1
"RNetCDF", "att.delete.nc", -1, 0, 0, "null", 1
"RNetCDF", "att.delete.nc", 0, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "att.delete.nc", 1, 0, 0, "character", 1
"RNetCDF", "att.delete.nc", 2, 0, 0, "character", 1
"RNetCDF", "att.get.nc", -1, 0, 0, "(character | double)", 1
"RNetCDF", "att.get.nc", 0, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "att.get.nc", 1, 0, 0, "character", 1
"RNetCDF", "att.get.nc", 1, 0, 1, "integer", 1
"RNetCDF", "att.get.nc", 2, 0, 0, "character", 1
"RNetCDF", "att.get.nc", 2, 0, 1, "integer", 1
"RNetCDF", "att.get.nc", 3, 0, 0, "logical", 1
"RNetCDF", "att.get.nc", 4, 0, 0, "logical", 1
"RNetCDF", "att.inq.nc", -1, 0, 0, "list<character | double>", 1
"RNetCDF", "att.inq.nc", 0, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "att.inq.nc", 1, 0, 0, "character", 1
"RNetCDF", "att.inq.nc", 1, 0, 1, "integer", 1
"RNetCDF", "att.inq.nc", 2, 0, 0, "character", 1
"RNetCDF", "att.inq.nc", 2, 0, 1, "integer", 1
"RNetCDF", "att.put.nc", -1, 0, 0, "null", 1
"RNetCDF", "att.put.nc", 0, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "att.put.nc", 1, 0, 0, "character", 1
"RNetCDF", "att.put.nc", 2, 0, 0, "character", 1
"RNetCDF", "att.put.nc", 3, 0, 0, "character", 1
"RNetCDF", "att.put.nc", 4, 0, 0, "character", 1
"RNetCDF", "att.put.nc", 4, 0, 1, "double", 1
"RNetCDF", "att.rename.nc", -1, 0, 0, "null", 1
"RNetCDF", "att.rename.nc", 0, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "att.rename.nc", 1, 0, 0, "character", 1
"RNetCDF", "att.rename.nc", 2, 0, 0, "character", 1
"RNetCDF", "att.rename.nc", 3, 0, 0, "character", 1
"RNetCDF", "close.nc", -1, 0, 0, "null", 1
"RNetCDF", "close.nc", 0, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "close.nc", 1, 0, 0, "...", 1
"RNetCDF", "create.nc", -1, 0, 0, "class<`NetCDF`>", 1
"RNetCDF", "create.nc", 0, 0, 0, "character", 1
"RNetCDF", "create.nc", 1, 0, 0, "logical", 1
"RNetCDF", "create.nc", 2, 0, 0, "logical", 1
"RNetCDF", "create.nc", 3, 0, 0, "logical", 1
"RNetCDF", "create.nc", 4, 0, 0, "character", 1
