package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"RcppEigen", "fastLm", -1, 0, 0, "class<`fastLm`>", 1
"RcppEigen", "fastLm", 0, 0, 0, "class<`formula`>", 1
"RcppEigen", "fastLm", 1, 0, 0, "...", 1
"RcppEigen", "fastLm.default", -1, 0, 0, "class<`fastLm`>", 1
"RcppEigen", "fastLm.default", 0, 0, 0, "class<`matrix`>", 1
"RcppEigen", "fastLm.default", 1, 0, 0, "double[]", 1
"RcppEigen", "fastLm.default", 2, 0, 0, "integer", 1
"RcppEigen", "fastLm.default", 3, 0, 0, "...", 1
"RcppEigen", "fastLm.formula", -1, 0, 0, "class<`fastLm`>", 1
"RcppEigen", "fastLm.formula", 0, 0, 0, "class<`formula`>", 1
"RcppEigen", "fastLm.formula", 1, 0, 0, "class<`data.frame`>", 1
"RcppEigen", "fastLm.formula", 2, 0, 0, "integer", 1
"RcppEigen", "fastLm.formula", 3, 0, 0, "...", 1
"RcppEigen", "fastLmPure", -1, 0, 0, "list<^double[]>", 1
"RcppEigen", "fastLmPure", 0, 0, 0, "class<`matrix`>", 1
"RcppEigen", "fastLmPure", 1, 0, 0, "double[]", 1
"RcppEigen", "fastLmPure", 2, 0, 0, "integer", 1
"RcppEigen", "summary.fastLm", -1, 0, 0, "class<`summary.fastLm`>", 1
"RcppEigen", "summary.fastLm", 0, 0, 0, "class<`fastLm`>", 1
"RcppEigen", "summary.fastLm", 1, 0, 0, "...", 1
