package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"RcppGSL", "fastLm.default", -1, 0, 0, "struct<`coefficients`:double[], `stderr`:double[], `df.residual`:integer, `fitted.values`:double[], `residuals`:double[], `call`:language, `intercept`:logical>", 1
"RcppGSL", "fastLm.default", 0, 0, 0, "^double[]", 1
"RcppGSL", "fastLm.default", 1, 0, 0, "double[]", 1
"RcppGSL", "fastLm.default", 2, 0, 0, "null", 1
"RcppGSL", "fastLm.formula", -1, 0, 0, "struct<`coefficients`:double[], `stderr`:double[], `df.residual`:integer, `fitted.values`:double[], `residuals`:double[], `call`:language, `intercept`:integer, `formula`:language>", 1
"RcppGSL", "fastLm.formula", 0, 0, 0, "language", 1
"RcppGSL", "fastLm.formula", 1, 0, 0, "struct<`Girth`:double[], `Height`:double[], `Volume`:double[]>", 1
"RcppGSL", "fastLm.formula", 2, 0, 0, "null", 1
"RcppGSL", "fastLmPure", -1, 0, 0, "struct<`coefficients`:double[], `stderr`:double[], `df.residual`:integer>", 1
"RcppGSL", "fastLmPure", 0, 0, 0, "^double[]", 1
"RcppGSL", "fastLmPure", 1, 0, 0, "double[]", 1
"RcppGSL", "filter", -1, 0, 0, "logical[]", 1
"RcppGSL", "filter", 0, 0, 0, "character[]", 1
"RcppGSL", "fun", -1, 0, 0, "character", 1
"RcppGSL", "fun", 0, 0, 0, "symbol", 1
"RcppGSL", "fun", 1, 0, 0, "symbol", 1
