package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ResourceSelection", ".mep", -1, 0, 0, "struct<`x`:character[], `y`:^double[], `link`:character>", 1
"ResourceSelection", ".mep", 0, 0, 0, "double[]", 1
"ResourceSelection", ".mep", 1, 0, 0, "double[]", 1
"ResourceSelection", ".mep", 2, 0, 0, "double", 1
"ResourceSelection", ".mep", 3, 0, 0, "character", 1
"ResourceSelection", ".mep", 4, 0, 0, "character", 1
"ResourceSelection", ".mep", 5, 0, 0, "symbol", 1
"ResourceSelection", ".mep", 5, 0, 1, "double", 1
"ResourceSelection", ".mep", 6, 0, 0, "double", 1
"ResourceSelection", ".mep", 7, 0, 0, "symbol", 1
"ResourceSelection", ".mep", 7, 0, 1, "double", 1
"ResourceSelection", ".mep", 8, 0, 0, "double", 1
"ResourceSelection", ".mep", 9, 0, 0, "double", 1
"ResourceSelection", ".mep", 10, 0, 0, "symbol", 1
"ResourceSelection", ".mep", 11, 0, 0, "double[]", 1
"ResourceSelection", ".mep", 12, 0, 0, "double", 1
"ResourceSelection", ".mep", 13, 0, 0, "double[]", 1
"ResourceSelection", ".mep", 14, 0, 0, "double[]", 1
"ResourceSelection", ".mep", 15, 0, 0, "logical", 1
"ResourceSelection", ".mep", 16, 0, 0, "character", 1
