package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"Rfit", "cellx", -1, 0, 0, "class<`matrix`>", 1
"Rfit", "cellx", 0, 0, 0, "class<`data.frame`>", 1
"Rfit", "disp", -1, 0, 0, "class<`matrix`>", 1
"Rfit", "disp", 0, 0, 0, "double[]", 1
"Rfit", "disp", 1, 0, 0, "class<`matrix`>", 1
"Rfit", "disp", 2, 0, 0, "double[]", 1
"Rfit", "disp", 3, 0, 0, "class<`scores`>", 1
"Rfit", "drop.test", -1, 0, 0, "class<`drop.test`>", 1
"Rfit", "drop.test", 0, 0, 0, "class<`rfit`>", 1
"Rfit", "drop.test", 1, 0, 0, "class<`rfit`>", 1
"Rfit", "drop.test", 1, 0, 1, "null", 1
"Rfit", "getScores", -1, 0, 0, "double[]", 1
"Rfit", "getScores", 0, 0, 0, "class<`scores`>", 1
"Rfit", "getScores", 1, 0, 0, "double[]", 1
"Rfit", "getScores", -1, 1, 0, "double[]", 1
"Rfit", "getScores", 0, 1, 0, "class<`scores`>", 1
"Rfit", "getScores", 1, 1, 0, "double[]", 1
"Rfit", "getScoresDeriv", -1, 0, 0, "double[]", 1
"Rfit", "getScoresDeriv", 0, 0, 0, "class<`scores`>", 1
"Rfit", "getScoresDeriv", 1, 0, 0, "double[]", 1
"Rfit", "getScoresDeriv", -1, 1, 0, "double[]", 1
"Rfit", "getScoresDeriv", 0, 1, 0, "class<`scores`>", 1
"Rfit", "getScoresDeriv", 1, 1, 0, "double[]", 1
"Rfit", "jaeckel", -1, 0, 0, "list<double[] | null | double | integer[] | null>", 1
"Rfit", "jaeckel", 0, 0, 0, "class<`matrix`>", 1
"Rfit", "jaeckel", 1, 0, 0, "double[]", 1
"Rfit", "jaeckel", 2, 0, 0, "double[]", 1
"Rfit", "jaeckel", 3, 0, 0, "class<`scores`>", 1
"Rfit", "jaeckel", 4, 0, 0, "null", 1
"Rfit", "jaeckel", 5, 0, 0, "...", 1
"Rfit", "khmat", -1, 0, 0, "class<`matrix`>", 1
"Rfit", "khmat", 0, 0, 0, "class<`data.frame`>", 1
"Rfit", "khmat", 1, 0, 0, "class<`data.frame`>", 1
"Rfit", "kwayr", -1, 0, 0, "list<class<`matrix`> | class<`rfit`>>", 1
"Rfit", "kwayr", 0, 0, 0, "integer[]", 1
"Rfit", "kwayr", 1, 0, 0, "class<`data.frame`>", 1
"Rfit", "oneway.rfit", -1, 0, 0, "class<`oneway.rfit`>", 1
"Rfit", "oneway.rfit", 0, 0, 0, "integer[]", 1
"Rfit", "oneway.rfit", 1, 0, 0, "class<`factor`>", 1
"Rfit", "oneway.rfit", 2, 0, 0, "any", 1
"Rfit", "oneway.rfit", 3, 0, 0, "character", 1
"Rfit", "pasteColsRfit", -1, 0, 0, "character[]", 1
"Rfit", "pasteColsRfit", 0, 0, 0, "class<`matrix`>", 1
"Rfit", "pasteColsRfit", 1, 0, 0, "character", 1
"Rfit", "raov", -1, 0, 0, "class<`raov`>", 1
"Rfit", "raov", 0, 0, 0, "class<`formula`>", 1
"Rfit", "raov", 1, 0, 0, "class<`data.frame`>", 1
"Rfit", "raov", 2, 0, 0, "...", 1
"Rfit", "redmod", -1, 0, 0, "class<`matrix`>", 1
"Rfit", "redmod", 0, 0, 0, "class<`matrix`>", 1
"Rfit", "redmod", 1, 0, 0, "class<`matrix`>", 1
"Rfit", "rfit", -1, 0, 0, "class<`rfit`>", 1
"Rfit", "rfit", 0, 0, 0, "class<`formula`>", 1
"Rfit", "rfit", 1, 0, 0, "any", 1
"Rfit", "rfit", 2, 0, 0, "...", 1
"Rfit", "rfit.default", -1, 0, 0, "class<`rfit`>", 1
"Rfit", "rfit.default", 0, 0, 0, "class<`formula`>", 1
"Rfit", "rfit.default", 1, 0, 0, "any", 1
"Rfit", "rfit.default", 2, 0, 0, "any", 1
"Rfit", "rfit.default", 3, 0, 0, "null", 1
"Rfit", "rfit.default", 3, 0, 1, "class<`matrix`>", 1
"Rfit", "rfit.default", 4, 0, 0, "class<`scores`>", 1
"Rfit", "rfit.default", 5, 0, 0, "logical", 1
"Rfit", "rfit.default", 6, 0, 0, "character", 1
"Rfit", "rfit.default", 7, 0, 0, "...", 1
"Rfit", "rstudent.rfit", -1, 0, 0, "class<`matrix`>", 1
"Rfit", "rstudent.rfit", 0, 0, 0, "class<`rfit`>", 1
"Rfit", "rstudent.rfit", 1, 0, 0, "...", 1
"Rfit", "subsets", -1, 0, 0, "class<`data.frame`>", 1
"Rfit", "subsets", 0, 0, 0, "integer", 1
"Rfit", "summary.rfit", -1, 0, 0, "class<`summary.rfit`>", 1
"Rfit", "summary.rfit", 0, 0, 0, "class<`rfit`>", 1
"Rfit", "summary.rfit", 1, 0, 0, "character", 1
"Rfit", "summary.rfit", 2, 0, 0, "...", 1
"Rfit", "taustar", -1, 0, 0, "double", 1
"Rfit", "taustar", 0, 0, 0, "class<`matrix`>", 1
"Rfit", "taustar", 1, 0, 0, "integer", 1
"Rfit", "taustar", 2, 0, 0, "double", 1
"Rfit", "vcov.rfit", -1, 0, 0, "class<`matrix`>", 1
"Rfit", "vcov.rfit", 0, 0, 0, "class<`rfit`>", 1
"Rfit", "vcov.rfit", 1, 0, 0, "null", 1
"Rfit", "vcov.rfit", 2, 0, 0, "...", 1
"Rfit", "wald.test.overall", -1, 0, 0, "list<class<`matrix`> | double>", 1
"Rfit", "wald.test.overall", 0, 0, 0, "class<`rfit`>", 1
"Rfit", "walsh", -1, 0, 0, "double[]", 1
"Rfit", "walsh", 0, 0, 0, "double[]", 1
