package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"Rmpfr", ":::", -1, 0, 0, "class<`mpfr`>", 1
"Rmpfr", ":::", -1, 0, 1, "class<`mpfrMatrix`>", 1
"Rmpfr", ":::", 0, 0, 0, "class<`Ncharacter`, `character`>", 1
"Rmpfr", ":::", 1, 0, 0, "double", 1
"Rmpfr", ":::", 2, 0, 0, "...", 1
"Rmpfr", ":::", -1, 1, 0, "double[]", 1
"Rmpfr", ":::", 0, 1, 0, "class<`matrix`>", 1
"Rmpfr", ":::", 1, 1, 0, "integer[]", 1
"Rmpfr", ":::", 2, 1, 0, "any", 1
"Rmpfr", "Ai", -1, 0, 0, "class<`mpfr`>", 1
"Rmpfr", "Ai", 0, 0, 0, "double[]", 1
"Rmpfr", "all.equal", -1, 0, 0, "logical", 1
"Rmpfr", "all.equal", 0, 0, 0, "double[]", 1
"Rmpfr", "all.equal", 1, 0, 0, "class<`mpfr`>", 1
"Rmpfr", "all.equal", 2, 0, 0, "...", 1
"Rmpfr", "all.equal", -1, 1, 0, "character", 1
"Rmpfr", "all.equal", -1, 1, 1, "logical", 1
"Rmpfr", "all.equal", 0, 1, 0, "class<`mpfr`>", 1
"Rmpfr", "all.equal", 1, 1, 0, "class<`mpfr`>", 1
"Rmpfr", "all.equal", 2, 1, 0, "...", 1
"Rmpfr", "all.equal", -1, 2, 0, "logical", 1
"Rmpfr", "all.equal", 0, 2, 0, "class<`mpfrMatrix`>", 1
"Rmpfr", "all.equal", 1, 2, 0, "class<`matrix`>", 1
"Rmpfr", "all.equal", 2, 2, 0, "...", 1
"Rmpfr", "all.equal", -1, 3, 0, "character", 1
"Rmpfr", "all.equal", -1, 3, 1, "logical", 1
"Rmpfr", "all.equal", 0, 3, 0, "class<`mpfr`>", 1
"Rmpfr", "all.equal", 1, 3, 0, "double[]", 1
"Rmpfr", "all.equal", 2, 3, 0, "...", 1
"Rmpfr", "all.equal", -1, 4, 0, "logical", 1
"Rmpfr", "all.equal", 0, 4, 0, "class<`mpfrMatrix`>", 1
"Rmpfr", "all.equal", 1, 4, 0, "class<`mpfrMatrix`>", 1
"Rmpfr", "all.equal", 2, 4, 0, "...", 1
"Rmpfr", "all.equal", -1, 5, 0, "logical", 1
"Rmpfr", "all.equal", 0, 5, 0, "class<`mpfrArray`>", 1
"Rmpfr", "all.equal", 1, 5, 0, "class<`mpfrArray`>", 1
"Rmpfr", "all.equal", 2, 5, 0, "...", 1
