package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"SQUAREM", "cyclem1", -1, 0, 0, "list<double[]>", 1
"SQUAREM", "cyclem1", 0, 0, 0, "double[]", 1
"SQUAREM", "cyclem1", 1, 0, 0, "class<`function`>", 1
"SQUAREM", "cyclem1", 2, 0, 0, "class<`function`>", 1
"SQUAREM", "cyclem1", 3, 0, 0, "list<double | character>", 1
"SQUAREM", "cyclem1", 4, 0, 0, "...", 1
"SQUAREM", "cyclem2", -1, 0, 0, "list<double[] | null>", 1
"SQUAREM", "cyclem2", 0, 0, 0, "double[]", 1
"SQUAREM", "cyclem2", 1, 0, 0, "class<`function`>", 1
"SQUAREM", "cyclem2", 2, 0, 0, "list<double | character>", 1
"SQUAREM", "cyclem2", 3, 0, 0, "...", 1
"SQUAREM", "fpiter", -1, 0, 0, "list<double[]>", 1
"SQUAREM", "fpiter", -1, 0, 1, "list<double[] | null>", 1
"SQUAREM", "fpiter", 0, 0, 0, "double[]", 1
"SQUAREM", "fpiter", 1, 0, 0, "class<`function`>", 1
"SQUAREM", "fpiter", 2, 0, 0, "class<`function`>", 1
"SQUAREM", "fpiter", 2, 0, 1, "null", 1
"SQUAREM", "fpiter", 3, 0, 0, "list<any>", 1
"SQUAREM", "fpiter", 4, 0, 0, "...", 1
"SQUAREM", "squarem", -1, 0, 0, "list<double[]>", 1
"SQUAREM", "squarem", -1, 0, 1, "list<double[] | null>", 1
"SQUAREM", "squarem", 0, 0, 0, "double[]", 1
"SQUAREM", "squarem", 1, 0, 0, "class<`function`>", 1
"SQUAREM", "squarem", 2, 0, 0, "any", 1
"SQUAREM", "squarem", 3, 0, 0, "...", 1
"SQUAREM", "squarem", 4, 0, 0, "list<any>", 1
"SQUAREM", "squarem1", -1, 0, 0, "list<double[]>", 1
"SQUAREM", "squarem1", 0, 0, 0, "double[]", 1
"SQUAREM", "squarem1", 1, 0, 0, "class<`function`>", 1
"SQUAREM", "squarem1", 2, 0, 0, "class<`function`>", 1
"SQUAREM", "squarem1", 3, 0, 0, "...", 1
"SQUAREM", "squarem1", 4, 0, 0, "list<double>", 1
"SQUAREM", "squarem2", -1, 0, 0, "list<double[] | null>", 1
"SQUAREM", "squarem2", 0, 0, 0, "double[]", 1
"SQUAREM", "squarem2", 1, 0, 0, "class<`function`>", 1
"SQUAREM", "squarem2", 2, 0, 0, "...", 1
"SQUAREM", "squarem2", 3, 0, 0, "list<double>", 1
