package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"StatMatch", "cohen.ef", -1, 0, 0, "double", 1
"StatMatch", "cohen.ef", 0, 0, 0, "^double[]", 1
"StatMatch", "comb.samples", -1, 0, 0, "struct<`yz.CIA`:^double[], `call`:language>", 1
"StatMatch", "comb.samples", 0, 0, 0, "struct<`cluster`:struct<`id`:integer[]>, `strata`:struct<`V1`:double[]>, `has.strata`:logical, `prob`:double[], `allprob`:struct<`f`:double[]>, `call`:language, `variables`:struct<`Eth`:integer[], `Sex`:integer[], `Age`:integer[], `Lrn`:integer[], `f`:double[]>, `fpc`:struct<`popsize`:^double[], `sampsize`:^integer[]>, `pps`:logical, `postStrata`:tuple<struct<`qr`:struct<`qr`:^double[], `rank`:integer, `qraux`:double[], `pivot`:integer[]>, `w`:double[], `stage`:double, `index`:null>>>", 1
"StatMatch", "comb.samples", 1, 0, 0, "struct<`cluster`:struct<`id`:integer[]>, `strata`:struct<`V1`:double[]>, `has.strata`:logical, `prob`:double[], `allprob`:struct<`f`:double[]>, `call`:language, `variables`:struct<`Eth`:integer[], `Sex`:integer[], `Age`:integer[], `c.Days`:integer[], `f`:double[]>, `fpc`:struct<`popsize`:^double[], `sampsize`:^integer[]>, `pps`:logical, `postStrata`:tuple<struct<`qr`:struct<`qr`:^double[], `rank`:integer, `qraux`:double[], `pivot`:integer[]>, `w`:double[], `stage`:double, `index`:null>>>", 1
"StatMatch", "comb.samples", 2, 0, 0, "null", 1
"StatMatch", "comb.samples", 2, 0, 1, "struct<`cluster`:struct<`id`:integer[]>, `strata`:struct<`V1`:double[]>, `has.strata`:logical, `prob`:double[], `allprob`:struct<`f`:double[]>, `call`:language, `variables`:struct<`Lrn`:integer[], `c.Days`:integer[], `f`:double[]>, `fpc`:struct<`popsize`:^double[], `sampsize`:^integer[]>, `pps`:logical>", 1
"StatMatch", "comb.samples", 3, 0, 0, "character", 1
"StatMatch", "comb.samples", 4, 0, 0, "character", 1
"StatMatch", "comb.samples", 5, 0, 0, "language", 1
"StatMatch", "comb.samples", 6, 0, 0, "null", 1
"StatMatch", "comb.samples", 6, 0, 1, "character", 1
"StatMatch", "comb.samples", 7, 0, 0, "logical", 1
"StatMatch", "comb.samples", 8, 0, 0, "character", 1
"StatMatch", "comb.samples", 8, 0, 1, "null", 1
"StatMatch", "comp.prop", -1, 0, 0, "struct<`meas`:double[], `chi.sq`:double[], `p.exp`:^double[]>", 1
"StatMatch", "comp.prop", 0, 0, 0, "^integer[]", 1
"StatMatch", "comp.prop", 1, 0, 0, "^integer[]", 1
"StatMatch", "comp.prop", 2, 0, 0, "integer", 1
"StatMatch", "comp.prop", 3, 0, 0, "null", 1
"StatMatch", "comp.prop", 3, 0, 1, "language", 1
"StatMatch", "comp.prop", 3, 0, 2, "integer", 1
"StatMatch", "comp.prop", 4, 0, 0, "logical", 1
"StatMatch", "create.fused", -1, 0, 0, "struct<`HH.P.id`:character[], `area5`:integer[], `urb`:integer[], `hsize`:integer[], `hsize5`:integer[], `age`:double[], `c.age`:integer[], `sex`:integer[], `marital`:integer[], `edu7`:integer[], `n.income`:double[], `c.neti`:integer[], `ww`:double[], `labour5`:^integer[]>", 1
"StatMatch", "create.fused", 0, 0, 0, "struct<`HH.P.id`:character[], `area5`:integer[], `urb`:integer[], `hsize`:integer[], `hsize5`:integer[], `age`:double[], `c.age`:integer[], `sex`:integer[], `marital`:integer[], `edu7`:integer[], `n.income`:double[], `c.neti`:integer[], `ww`:double[]>", 1
"StatMatch", "create.fused", 1, 0, 0, "struct<`HH.P.id`:character[], `area5`:integer[], `urb`:integer[], `hsize`:integer[], `hsize5`:integer[], `age`:double[], `c.age`:integer[], `sex`:integer[], `marital`:integer[], `edu7`:integer[], `labour5`:integer[], `ww`:double[]>", 1
"StatMatch", "create.fused", 2, 0, 0, "^character[]", 1
"StatMatch", "create.fused", 3, 0, 0, "character", 1
"StatMatch", "create.fused", 4, 0, 0, "logical", 1
"StatMatch", "create.fused", 5, 0, 0, "null", 1
"StatMatch", "create.fused", 5, 0, 1, "character[]", 1
"StatMatch", "dum.fcn", -1, 0, 0, "^double[]", 1
"StatMatch", "dum.fcn", 0, 0, 0, "integer[]", 1
"StatMatch", "dum.fcn", 1, 0, 0, "logical", 1
"StatMatch", "fact2dummy", -1, 0, 0, "^double[]", 1
"StatMatch", "fact2dummy", 0, 0, 0, "struct<`Petal.Length`:double[], `Petal.Width`:double[]>", 1
"StatMatch", "fact2dummy", 1, 0, 0, "logical", 1
"StatMatch", "fact2dummy", 2, 0, 0, "character", 1
"StatMatch", "fb.yz", -1, 0, 0, "struct<`low.u`:^double[], `up.u`:^double[], `IA`:^double[], `H`:double[], `uncertainty`:double>", 1
"StatMatch", "fb.yz", 0, 0, 0, "integer[]", 1
"StatMatch", "fb.yz", 1, 0, 0, "integer[]", 1
"StatMatch", "fb.yz", 2, 0, 0, "character", 1
