package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"WriteXLS", "testPerl", -1, 0, 0, "logical", 1
"WriteXLS", "testPerl", 0, 0, 0, "character", 1
"WriteXLS", "testPerl", 1, 0, 0, "logical", 1
"WriteXLS", "WriteXLS", -1, 0, 0, "logical", 1
"WriteXLS", "WriteXLS", 0, 0, 0, "character[]", 1
"WriteXLS", "WriteXLS", 0, 0, 1, "class<`data.frame`>", 1
"WriteXLS", "WriteXLS", 0, 0, 2, "list<class<`data.frame`>>", 1
"WriteXLS", "WriteXLS", 1, 0, 0, "character", 1
"WriteXLS", "WriteXLS", 2, 0, 0, "null", 1
"WriteXLS", "WriteXLS", 3, 0, 0, "character", 1
"WriteXLS", "WriteXLS", 4, 0, 0, "logical", 1
"WriteXLS", "WriteXLS", 5, 0, 0, "character[]", 1
"WriteXLS", "WriteXLS", 6, 0, 0, "logical", 1
"WriteXLS", "WriteXLS", 7, 0, 0, "logical", 1
"WriteXLS", "WriteXLS", 8, 0, 0, "logical", 1
"WriteXLS", "WriteXLS", 9, 0, 0, "logical", 1
"WriteXLS", "WriteXLS", 10, 0, 0, "logical", 1
"WriteXLS", "WriteXLS", 11, 0, 0, "character", 1
"WriteXLS", "WriteXLS", 12, 0, 0, "double", 1
"WriteXLS", "WriteXLS", 13, 0, 0, "double", 1
"WriteXLS", "WriteXLS", 14, 0, 0, "any", 1
