package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"abind", "abind", -1, 0, 0, "class<`array`>", 1
"abind", "abind", -1, 0, 1, "class<`matrix`>", 1
"abind", "abind", -1, 0, 2, "null", 1
"abind", "abind", 0, 0, 0, "...", 1
"abind", "abind", 1, 0, 0, "any", 1
"abind", "abind", 2, 0, 0, "double", 1
"abind", "abind", 2, 0, 1, "null", 1
"abind", "abind", 3, 0, 0, "null", 1
"abind", "abind", 4, 0, 0, "logical", 1
"abind", "abind", 5, 0, 0, "any", 1
"abind", "abind", 6, 0, 0, "logical", 1
"abind", "abind", 7, 0, 0, "logical", 1
"abind", "abind", 8, 0, 0, "logical", 1
"abind", "abind", 8, 0, 1, "character", 1
"abind", "abind", 9, 0, 0, "logical", 1
"abind", "acorn", -1, 0, 0, "class<`array`>", 1
"abind", "acorn", 0, 0, 0, "class<`array`>", 1
"abind", "acorn", 1, 0, 0, "double", 1
"abind", "acorn", 2, 0, 0, "double", 1
"abind", "acorn", 3, 0, 0, "double", 1
"abind", "acorn", 4, 0, 0, "...", 1
"abind", "acorn.default", -1, 0, 0, "class<`array`>", 1
"abind", "acorn.default", 0, 0, 0, "class<`array`>", 1
"abind", "acorn.default", 1, 0, 0, "double", 1
"abind", "acorn.default", 2, 0, 0, "double", 1
"abind", "acorn.default", 3, 0, 0, "double", 1
"abind", "acorn.default", 4, 0, 0, "...", 1
"abind", "acorn.default", 5, 0, 0, "logical", 1
"abind", "adrop", -1, 0, 0, "any", 1
"abind", "adrop", 0, 0, 0, "class<`array`>", 1
"abind", "adrop", 1, 0, 0, "integer[]", 1
"abind", "adrop", 1, 0, 1, "double", 1
"abind", "adrop", 2, 0, 0, "logical", 1
"abind", "adrop", 3, 0, 0, "logical", 1
"abind", "adrop", 4, 0, 0, "...", 1
"abind", "adrop.default", -1, 0, 0, "any", 1
"abind", "adrop.default", 0, 0, 0, "class<`array`>", 1
"abind", "adrop.default", 1, 0, 0, "integer[]", 1
"abind", "adrop.default", 1, 0, 1, "double", 1
"abind", "adrop.default", 2, 0, 0, "logical", 1
"abind", "adrop.default", 3, 0, 0, "logical", 1
"abind", "adrop.default", 4, 0, 0, "...", 1
"abind", "afill<-", -1, 0, 0, "any", 1
"abind", "afill<-", 0, 0, 0, "class<`array`>", 1
"abind", "afill<-", 0, 0, 1, "class<`matrix`>", 1
"abind", "afill<-", 1, 0, 0, "...", 1
"abind", "afill<-", 2, 0, 0, "logical", 1
"abind", "afill<-", 3, 0, 0, "logical", 1
"abind", "afill<-", 4, 0, 0, "class<`matrix`>", 1
"abind", "afill<-.default", -1, 0, 0, "any", 1
"abind", "afill<-.default", 0, 0, 0, "class<`array`>", 1
"abind", "afill<-.default", 0, 0, 1, "class<`matrix`>", 1
"abind", "afill<-.default", 1, 0, 0, "...", 1
"abind", "afill<-.default", 2, 0, 0, "logical", 1
"abind", "afill<-.default", 3, 0, 0, "logical", 1
"abind", "afill<-.default", 4, 0, 0, "class<`matrix`>", 1
"abind", "asub", -1, 0, 0, "class<`array`>", 1
"abind", "asub", -1, 0, 1, "class<`matrix`>", 1
"abind", "asub", -1, 0, 2, "integer[]", 1
"abind", "asub", 0, 0, 0, "class<`array`>", 1
"abind", "asub", 0, 0, 1, "class<`matrix`>", 1
"abind", "asub", 0, 0, 2, "integer[]", 1
"abind", "asub", 1, 0, 0, "double", 1
"abind", "asub", 1, 0, 1, "integer[]", 1
"abind", "asub", 1, 0, 2, "list<double[]>", 1
"abind", "asub", 1, 0, 3, "list<integer[] | double>", 1
"abind", "asub", 1, 0, 4, "list<integer[] | null>", 1
"abind", "asub", 1, 0, 5, "list<null | double>", 1
"abind", "asub", 1, 0, 6, "list<double | character[]>", 1
"abind", "asub", 1, 0, 7, "list<character[]>", 1
"abind", "asub", 2, 0, 0, "any", 1
"abind", "asub", 3, 0, 0, "logical", 1
"abind", "asub", 3, 0, 1, "null", 1
"abind", "asub", 4, 0, 0, "...", 1
"abind", "asub.default", -1, 0, 0, "class<`array`>", 1
"abind", "asub.default", -1, 0, 1, "class<`matrix`>", 1
"abind", "asub.default", -1, 0, 2, "integer[]", 1
"abind", "asub.default", 0, 0, 0, "class<`array`>", 1
"abind", "asub.default", 0, 0, 1, "class<`matrix`>", 1
"abind", "asub.default", 0, 0, 2, "integer[]", 1
"abind", "asub.default", 1, 0, 0, "double", 1
"abind", "asub.default", 1, 0, 1, "integer[]", 1
"abind", "asub.default", 1, 0, 2, "list<double[]>", 1
"abind", "asub.default", 1, 0, 3, "list<integer[] | double>", 1
"abind", "asub.default", 1, 0, 4, "list<integer[] | null>", 1
"abind", "asub.default", 1, 0, 5, "list<null | double>", 1
"abind", "asub.default", 1, 0, 6, "list<double | character[]>", 1
"abind", "asub.default", 1, 0, 7, "list<character[]>", 1
"abind", "asub.default", 2, 0, 0, "double[]", 1
"abind", "asub.default", 3, 0, 0, "logical", 1
"abind", "asub.default", 3, 0, 1, "null", 1
"abind", "asub.default", 4, 0, 0, "...", 1
