package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"actuar", "adjCoef", -1, 0, 0, "(class<`adjCoef`, `function`> | double)", 1
"actuar", "adjCoef", 0, 0, 0, "any", 1
"actuar", "adjCoef", 1, 0, 0, "any", 1
"actuar", "adjCoef", 2, 0, 0, "any", 1
"actuar", "adjCoef", 3, 0, 0, "double", 1
"actuar", "adjCoef", 4, 0, 0, "any", 1
"actuar", "adjCoef", 5, 0, 0, "character[]", 1
"actuar", "adjCoef", 6, 0, 0, "any", 1
"actuar", "adjCoef", 7, 0, 0, "any", 1
"actuar", "adjCoef", 8, 0, 0, "double", 1
"actuar", "aggregateDist", -1, 0, 0, "(class<`aggregateDist`, `ecdf`, `function`, `stepfun`> | class<`aggregateDist`, `function`>)", 1
"actuar", "aggregateDist", 0, 0, 0, "character", 1
"actuar", "aggregateDist", 1, 0, 0, "character", 1
"actuar", "aggregateDist", 1, 0, 1, "double[]", 1
"actuar", "aggregateDist", 1, 0, 2, "expression", 1
"actuar", "aggregateDist", 1, 0, 3, "null", 1
"actuar", "aggregateDist", 2, 0, 0, "double[]", 1
"actuar", "aggregateDist", 2, 0, 1, "expression", 1
"actuar", "aggregateDist", 2, 0, 2, "null", 1
"actuar", "aggregateDist", 3, 0, 0, "double", 1
"actuar", "aggregateDist", 3, 0, 1, "null", 1
"actuar", "aggregateDist", 4, 0, 0, "double", 1
"actuar", "aggregateDist", 5, 0, 0, "double", 1
"actuar", "aggregateDist", 6, 0, 0, "any", 1
"actuar", "aggregateDist", 7, 0, 0, "any", 1
"actuar", "aggregateDist", 8, 0, 0, "...", 1
"actuar", "aggregateDist", 9, 0, 0, "double", 1
"actuar", "aggregateDist", 10, 0, 0, "double", 1
"actuar", "aggregateDist", 11, 0, 0, "logical", 1
"actuar", "aggregate.portfolio", -1, 0, 0, "(class<`matrix`> | double[])", 1
"actuar", "aggregate.portfolio", 0, 0, 0, "class<`portfolio`>", 1
"actuar", "aggregate.portfolio", 1, 0, 0, "character[]", 1
"actuar", "aggregate.portfolio", 2, 0, 0, "class<`function`>", 1
"actuar", "aggregate.portfolio", 3, 0, 0, "logical", 1
"actuar", "aggregate.portfolio", 4, 0, 0, "null", 1
"actuar", "aggregate.portfolio", 4, 0, 1, "character", 1
"actuar", "aggregate.portfolio", 5, 0, 0, "...", 1
"actuar", "bayes", -1, 0, 0, "class<`bayes`>", 1
"actuar", "bayes", 0, 0, 0, "double[]", 1
"actuar", "bayes", 1, 0, 0, "character", 1
"actuar", "bayes", 2, 0, 0, "any", 1
"actuar", "bayes", 3, 0, 0, "double", 1
"actuar", "bayes", 4, 0, 0, "any", 1
"actuar", "bayes", 5, 0, 0, "any", 1
"actuar", "bayes", 6, 0, 0, "any", 1
"actuar", "bayes", 7, 0, 0, "double", 1
"actuar", "bayes", 8, 0, 0, "double", 1
"actuar", "bayes", 9, 0, 0, "any", 1
"actuar", "bayes", 10, 0, 0, "any", 1
"actuar", "bayes", 11, 0, 0, "any", 1
"actuar", "bayes", 12, 0, 0, "any", 1
"actuar", "bstraub", -1, 0, 0, "class<`bstraub`>", 1
"actuar", "bstraub", 0, 0, 0, "class<`matrix`>", 1
"actuar", "bstraub", 1, 0, 0, "class<`matrix`>", 1
"actuar", "bstraub", 2, 0, 0, "character", 1
"actuar", "bstraub", 3, 0, 0, "any", 1
"actuar", "bstraub", 4, 0, 0, "any", 1
"actuar", "bstraub", 5, 0, 0, "any", 1
"actuar", "bvar.unbiased", -1, 0, 0, "double", 1
"actuar", "bvar.unbiased", 0, 0, 0, "double[]", 1
"actuar", "bvar.unbiased", 1, 0, 0, "double[]", 1
"actuar", "bvar.unbiased", 2, 0, 0, "double", 1
"actuar", "bvar.unbiased", 3, 0, 0, "integer", 1
"actuar", "cm", -1, 0, 0, "(class<`bayes`, `cm`> | class<`bstraub`, `cm`> | class<`cm`, `hache`> | class<`cm`, `hierarc`>)", 1
"actuar", "cm", 0, 0, 0, "character", 1
"actuar", "cm", 0, 0, 1, "class<`formula`>", 1
"actuar", "cm", 1, 0, 0, "any", 1
"actuar", "cm", 2, 0, 0, "any", 1
"actuar", "cm", 3, 0, 0, "any", 1
"actuar", "cm", 4, 0, 0, "any", 1
"actuar", "cm", 5, 0, 0, "null", 1
"actuar", "cm", 5, 0, 1, "class<`formula`>", 1
"actuar", "cm", 6, 0, 0, "any", 1
"actuar", "cm", 7, 0, 0, "logical", 1
"actuar", "cm", 8, 0, 0, "any", 1
"actuar", "cm", 9, 0, 0, "any", 1
"actuar", "cm", 10, 0, 0, "...", 1
"actuar", "cm", 11, 0, 0, "any", 1
"actuar", "cm", 12, 0, 0, "double", 1
"actuar", "cm", 13, 0, 0, "logical", 1
"actuar", "coverage", -1, 0, 0, "class<`function`>", 1
"actuar", "coverage", 0, 0, 0, "any", 1
"actuar", "coverage", 1, 0, 0, "any", 1
"actuar", "coverage", 2, 0, 0, "double", 1
"actuar", "coverage", 3, 0, 0, "logical", 1
"actuar", "coverage", 4, 0, 0, "double", 1
"actuar", "coverage", 5, 0, 0, "double", 1
"actuar", "coverage", 6, 0, 0, "double", 1
"actuar", "coverage", 7, 0, 0, "logical", 1
"actuar", "CTE", -1, 0, 0, "double[]", 1
"actuar", "CTE", 0, 0, 0, "class<`aggregateDist`, `ecdf`, `function`, `stepfun`>", 1
"actuar", "CTE", 1, 0, 0, "...", 1
"actuar", "CTE.aggregateDist", -1, 0, 0, "double[]", 1
"actuar", "CTE.aggregateDist", 0, 0, 0, "class<`aggregateDist`, `ecdf`, `function`, `stepfun`>", 1
"actuar", "CTE.aggregateDist", 1, 0, 0, "double[]", 1
"actuar", "CTE.aggregateDist", 2, 0, 0, "logical", 1
"actuar", "CTE.aggregateDist", 3, 0, 0, "...", 1
"actuar", "dburr", -1, 0, 0, "double", 1
"actuar", "dburr", 0, 0, 0, "double", 1
"actuar", "dburr", 1, 0, 0, "double", 1
"actuar", "dburr", 2, 0, 0, "double", 1
"actuar", "dburr", 3, 0, 0, "double", 1
"actuar", "dburr", 4, 0, 0, "double", 1
"actuar", "dburr", 5, 0, 0, "logical", 1
"actuar", "dgenbeta", -1, 0, 0, "double", 1
"actuar", "dgenbeta", 0, 0, 0, "double", 1
"actuar", "dgenbeta", 1, 0, 0, "double", 1
"actuar", "dgenbeta", 2, 0, 0, "double", 1
"actuar", "dgenbeta", 3, 0, 0, "double", 1
"actuar", "dgenbeta", 4, 0, 0, "double", 1
"actuar", "dgenbeta", 5, 0, 0, "double", 1
"actuar", "dgenbeta", 6, 0, 0, "logical", 1
"actuar", "dgenpareto", -1, 0, 0, "double", 1
"actuar", "dgenpareto", 0, 0, 0, "double", 1
"actuar", "dgenpareto", 1, 0, 0, "double", 1
"actuar", "dgenpareto", 2, 0, 0, "double", 1
"actuar", "dgenpareto", 3, 0, 0, "double", 1
"actuar", "dgenpareto", 4, 0, 0, "double", 1
"actuar", "dgenpareto", 5, 0, 0, "logical", 1
"actuar", "dgumbel", -1, 0, 0, "double[]", 1
"actuar", "dgumbel", 0, 0, 0, "double[]", 1
"actuar", "dgumbel", 1, 0, 0, "double", 1
"actuar", "dgumbel", 2, 0, 0, "double", 1
"actuar", "dgumbel", 3, 0, 0, "logical", 1
"actuar", "diff.aggregateDist", -1, 0, 0, "double[]", 1
"actuar", "diff.aggregateDist", 0, 0, 0, "class<`aggregateDist`, `ecdf`, `function`, `stepfun`>", 1
"actuar", "diff.aggregateDist", 1, 0, 0, "...", 1
"actuar", "dinvburr", -1, 0, 0, "double", 1
"actuar", "dinvburr", 0, 0, 0, "double", 1
"actuar", "dinvburr", 1, 0, 0, "double", 1
"actuar", "dinvburr", 2, 0, 0, "double", 1
"actuar", "dinvburr", 3, 0, 0, "double", 1
"actuar", "dinvburr", 4, 0, 0, "double", 1
"actuar", "dinvburr", 5, 0, 0, "logical", 1
"actuar", "dinvexp", -1, 0, 0, "double", 1
"actuar", "dinvexp", 0, 0, 0, "double", 1
"actuar", "dinvexp", 1, 0, 0, "double", 1
"actuar", "dinvexp", 2, 0, 0, "double", 1
"actuar", "dinvexp", 3, 0, 0, "logical", 1
"actuar", "dinvgamma", -1, 0, 0, "double", 1
"actuar", "dinvgamma", 0, 0, 0, "double", 1
"actuar", "dinvgamma", 1, 0, 0, "double", 1
"actuar", "dinvgamma", 2, 0, 0, "double", 1
"actuar", "dinvgamma", 3, 0, 0, "double", 1
"actuar", "dinvgamma", 4, 0, 0, "logical", 1
"actuar", "dinvgauss", -1, 0, 0, "double[]", 1
"actuar", "dinvgauss", 0, 0, 0, "double[]", 1
"actuar", "dinvgauss", 1, 0, 0, "double", 1
"actuar", "dinvgauss", 2, 0, 0, "double", 1
"actuar", "dinvgauss", 3, 0, 0, "double", 1
"actuar", "dinvgauss", 4, 0, 0, "logical", 1
"actuar", "dinvparalogis", -1, 0, 0, "double", 1
"actuar", "dinvparalogis", 0, 0, 0, "double", 1
"actuar", "dinvparalogis", 1, 0, 0, "double", 1
"actuar", "dinvparalogis", 2, 0, 0, "double", 1
"actuar", "dinvparalogis", 3, 0, 0, "double", 1
"actuar", "dinvparalogis", 4, 0, 0, "logical", 1
"actuar", "dinvpareto", -1, 0, 0, "double", 1
"actuar", "dinvpareto", 0, 0, 0, "double", 1
"actuar", "dinvpareto", 1, 0, 0, "double", 1
"actuar", "dinvpareto", 2, 0, 0, "double", 1
"actuar", "dinvpareto", 3, 0, 0, "logical", 1
"actuar", "dinvtrgamma", -1, 0, 0, "double", 1
"actuar", "dinvtrgamma", 0, 0, 0, "double", 1
"actuar", "dinvtrgamma", 1, 0, 0, "double", 1
"actuar", "dinvtrgamma", 2, 0, 0, "double", 1
"actuar", "dinvtrgamma", 3, 0, 0, "double", 1
"actuar", "dinvtrgamma", 4, 0, 0, "double", 1
"actuar", "dinvtrgamma", 5, 0, 0, "logical", 1
"actuar", "dinvweibull", -1, 0, 0, "double", 1
"actuar", "dinvweibull", 0, 0, 0, "double", 1
"actuar", "dinvweibull", 1, 0, 0, "double", 1
"actuar", "dinvweibull", 2, 0, 0, "double", 1
"actuar", "dinvweibull", 3, 0, 0, "double", 1
"actuar", "dinvweibull", 4, 0, 0, "logical", 1
"actuar", "discretize", -1, 0, 0, "double[]", 1
"actuar", "discretize", 0, 0, 0, "any", 1
"actuar", "discretize", 1, 0, 0, "double", 1
"actuar", "discretize", 2, 0, 0, "double", 1
"actuar", "discretize", 3, 0, 0, "double", 1
"actuar", "discretize", 4, 0, 0, "character", 1
"actuar", "discretize", 5, 0, 0, "any", 1
"actuar", "discretize", 6, 0, 0, "double", 1
"actuar", "discretize", 7, 0, 0, "null", 1
"actuar", "dlgamma", -1, 0, 0, "double", 1
"actuar", "dlgamma", 0, 0, 0, "double", 1
"actuar", "dlgamma", 1, 0, 0, "double", 1
"actuar", "dlgamma", 2, 0, 0, "double", 1
"actuar", "dlgamma", 3, 0, 0, "logical", 1
"actuar", "dllogis", -1, 0, 0, "double", 1
"actuar", "dllogis", 0, 0, 0, "double", 1
"actuar", "dllogis", 1, 0, 0, "double", 1
"actuar", "dllogis", 2, 0, 0, "double", 1
"actuar", "dllogis", 3, 0, 0, "double", 1
"actuar", "dllogis", 4, 0, 0, "logical", 1
"actuar", "dlogarithmic", -1, 0, 0, "double[]", 1
"actuar", "dlogarithmic", 0, 0, 0, "double", 1
"actuar", "dlogarithmic", 0, 0, 1, "integer[]", 1
"actuar", "dlogarithmic", 1, 0, 0, "double[]", 1
"actuar", "dlogarithmic", 2, 0, 0, "logical", 1
"actuar", "dparalogis", -1, 0, 0, "double", 1
"actuar", "dparalogis", 0, 0, 0, "double", 1
"actuar", "dparalogis", 1, 0, 0, "double", 1
"actuar", "dparalogis", 2, 0, 0, "double", 1
"actuar", "dparalogis", 3, 0, 0, "double", 1
"actuar", "dparalogis", 4, 0, 0, "logical", 1
"actuar", "dpareto", -1, 0, 0, "double", 1
"actuar", "dpareto", 0, 0, 0, "double", 1
"actuar", "dpareto", 1, 0, 0, "double", 1
"actuar", "dpareto", 2, 0, 0, "double", 1
"actuar", "dpareto", 3, 0, 0, "logical", 1
"actuar", "dpareto1", -1, 0, 0, "double", 1
"actuar", "dpareto1", 0, 0, 0, "double", 1
"actuar", "dpareto1", 1, 0, 0, "double", 1
"actuar", "dpareto1", 2, 0, 0, "double", 1
"actuar", "dpareto1", 3, 0, 0, "logical", 1
"actuar", "dphtype", -1, 0, 0, "double[]", 1
"actuar", "dphtype", 0, 0, 0, "integer[]", 1
"actuar", "dphtype", 1, 0, 0, "double[]", 1
"actuar", "dphtype", 2, 0, 0, "class<`matrix`>", 1
"actuar", "dphtype", 3, 0, 0, "logical", 1
"actuar", "dpoisinvgauss", -1, 0, 0, "double[]", 1
"actuar", "dpoisinvgauss", 0, 0, 0, "integer[]", 1
"actuar", "dpoisinvgauss", 1, 0, 0, "double", 1
"actuar", "dpoisinvgauss", 2, 0, 0, "double", 1
"actuar", "dpoisinvgauss", 3, 0, 0, "double", 1
"actuar", "dpoisinvgauss", 4, 0, 0, "logical", 1
"actuar", "dtrbeta", -1, 0, 0, "double", 1
"actuar", "dtrbeta", 0, 0, 0, "double", 1
"actuar", "dtrbeta", 1, 0, 0, "double", 1
"actuar", "dtrbeta", 2, 0, 0, "double", 1
"actuar", "dtrbeta", 3, 0, 0, "double", 1
"actuar", "dtrbeta", 4, 0, 0, "double", 1
"actuar", "dtrbeta", 5, 0, 0, "double", 1
"actuar", "dtrbeta", 6, 0, 0, "logical", 1
"actuar", "dtrgamma", -1, 0, 0, "double", 1
"actuar", "dtrgamma", 0, 0, 0, "double", 1
"actuar", "dtrgamma", 1, 0, 0, "double", 1
"actuar", "dtrgamma", 2, 0, 0, "double", 1
"actuar", "dtrgamma", 3, 0, 0, "double", 1
"actuar", "dtrgamma", 4, 0, 0, "double", 1
"actuar", "dtrgamma", 5, 0, 0, "logical", 1
"actuar", "dzmbinom", -1, 0, 0, "double[]", 1
"actuar", "dzmbinom", 0, 0, 0, "integer[]", 1
"actuar", "dzmbinom", 1, 0, 0, "double", 1
"actuar", "dzmbinom", 2, 0, 0, "double", 1
"actuar", "dzmbinom", 3, 0, 0, "double", 1
"actuar", "dzmbinom", 4, 0, 0, "logical", 1
