package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"agricolae", "AMMI", -1, 0, 0, "class<`AMMI`>", 1
"agricolae", "AMMI", 0, 0, 0, "class<`factor`>", 1
"agricolae", "AMMI", 1, 0, 0, "class<`factor`>", 1
"agricolae", "AMMI", 1, 0, 1, "double[]", 1
"agricolae", "AMMI", 2, 0, 0, "double[]", 1
"agricolae", "AMMI", 3, 0, 0, "double[]", 1
"agricolae", "AMMI", 4, 0, 0, "double", 1
"agricolae", "AMMI", 5, 0, 0, "logical", 1
"agricolae", "AMMI", 6, 0, 0, "logical", 1
"agricolae", "AMMI.contour", -1, 0, 0, "list<character[] | class<`data.frame`>>", 1
"agricolae", "AMMI.contour", 0, 0, 0, "class<`AMMI`>", 1
"agricolae", "AMMI.contour", 1, 0, 0, "double", 1
"agricolae", "AMMI.contour", 2, 0, 0, "double", 1
"agricolae", "AMMI.contour", 3, 0, 0, "...", 1
"agricolae", "audpc", -1, 0, 0, "(double[] | null)", 1
"agricolae", "audpc", 0, 0, 0, "class<`data.frame`>", 1
"agricolae", "audpc", 0, 0, 1, "double[]", 1
"agricolae", "audpc", 1, 0, 0, "double[]", 1
"agricolae", "audpc", 2, 0, 0, "character", 1
"agricolae", "audps", -1, 0, 0, "double", 1
"agricolae", "audps", 0, 0, 0, "double[]", 1
"agricolae", "audps", 1, 0, 0, "double[]", 1
"agricolae", "audps", 2, 0, 0, "character", 1
"agricolae", "bar.err", -1, 0, 0, "list<class<`matrix`> | class<`array`> | class<`matrix`> | double[]>", 1
"agricolae", "bar.err", 0, 0, 0, "class<`data.frame`>", 1
"agricolae", "bar.err", 1, 0, 0, "character", 1
"agricolae", "bar.err", 2, 0, 0, "logical", 1
"agricolae", "bar.err", 3, 0, 0, "logical", 1
"agricolae", "bar.err", 4, 0, 0, "...", 1
"agricolae", "bar.group", -1, 0, 0, "list<class<`matrix`> | double[] | class<`matrix`> | integer[]>", 1
"agricolae", "bar.group", 0, 0, 0, "class<`data.frame`>", 1
"agricolae", "bar.group", 1, 0, 0, "logical", 1
"agricolae", "bar.group", 2, 0, 0, "...", 1
"agricolae", "BIB.test", -1, 0, 0, "class<`group`>", 1
"agricolae", "BIB.test", 0, 0, 0, "class<`factor`>", 1
"agricolae", "BIB.test", 0, 0, 1, "double[]", 1
"agricolae", "BIB.test", 1, 0, 0, "double[]", 1
"agricolae", "BIB.test", 1, 0, 1, "class<`factor`>", 1
"agricolae", "BIB.test", 2, 0, 0, "double[]", 1
"agricolae", "BIB.test", 3, 0, 0, "character[]", 1
"agricolae", "BIB.test", 4, 0, 0, "double", 1
"agricolae", "BIB.test", 5, 0, 0, "logical", 1
"agricolae", "BIB.test", 6, 0, 0, "logical", 1
"agricolae", "carolina", -1, 0, 0, "list<class<`lm`> | double>", 1
"agricolae", "carolina", 0, 0, 0, "double", 1
"agricolae", "carolina", 1, 0, 0, "class<`data.frame`>", 1
"agricolae", "consensus", -1, 0, 0, "list<class<`data.frame`> | class<`hclust`> | class<`data.frame`> | class<`hclust`> | null>", 1
"agricolae", "consensus", 0, 0, 0, "class<`data.frame`>", 1
"agricolae", "consensus", 1, 0, 0, "character[]", 1
"agricolae", "consensus", 2, 0, 0, "character[]", 1
"agricolae", "consensus", 3, 0, 0, "double", 1
"agricolae", "consensus", 4, 0, 0, "logical", 1
"agricolae", "consensus", 5, 0, 0, "double", 1
"agricolae", "consensus", 6, 0, 0, "character", 1
"agricolae", "consensus", 7, 0, 0, "...", 1
"agricolae", "correl", -1, 0, 0, "list<double>", 1
"agricolae", "correl", 0, 0, 0, "double[]", 1
"agricolae", "correl", 1, 0, 0, "double[]", 1
"agricolae", "correl", 2, 0, 0, "character", 1
"agricolae", "correl", 3, 0, 0, "character", 1
"agricolae", "correlation", -1, 0, 0, "(null | list<class<`matrix`> | double>)", 1
"agricolae", "correlation", 0, 0, 0, "double[]", 1
"agricolae", "correlation", 0, 0, 1, "class<`data.frame`>", 1
"agricolae", "correlation", 1, 0, 0, "double[]", 1
"agricolae", "correlation", 1, 0, 1, "null", 1
"agricolae", "correlation", 1, 0, 2, "class<`data.frame`>", 1
"agricolae", "correlation", 2, 0, 0, "character[]", 1
"agricolae", "correlation", 3, 0, 0, "character", 1
"agricolae", "cv.model", -1, 0, 0, "double", 1
"agricolae", "cv.model", 0, 0, 0, "class<`aov`, `lm`>", 1
"agricolae", "cv.model", 0, 0, 1, "class<`lm`>", 1
"agricolae", "cv.similarity", -1, 0, 0, "double", 1
"agricolae", "cv.similarity", 0, 0, 0, "class<`data.frame`>", 1
"agricolae", "DAU.test", -1, 0, 0, "class<`group`>", 1
"agricolae", "DAU.test", 0, 0, 0, "character[]", 1
"agricolae", "DAU.test", 1, 0, 0, "character[]", 1
"agricolae", "DAU.test", 2, 0, 0, "double[]", 1
"agricolae", "DAU.test", 3, 0, 0, "character", 1
"agricolae", "DAU.test", 4, 0, 0, "double", 1
"agricolae", "DAU.test", 5, 0, 0, "logical", 1
"agricolae", "DAU.test", 6, 0, 0, "logical", 1
"agricolae", "delete.na", -1, 0, 0, "(class<`data.frame`> | class<`matrix`>)", 1
"agricolae", "delete.na", 0, 0, 0, "class<`data.frame`>", 1
"agricolae", "delete.na", 0, 0, 1, "class<`matrix`>", 1
"agricolae", "delete.na", 1, 0, 0, "character", 1
"agricolae", "design.ab", -1, 0, 0, "list<class<`data.frame`> | list<character[] | double[]> | class<`data.frame`> | list<character[] | double>>", 1
"agricolae", "design.ab", 0, 0, 0, "double[]", 1
"agricolae", "design.ab", 1, 0, 0, "double", 1
"agricolae", "design.ab", 1, 0, 1, "null", 1
"agricolae", "design.ab", 2, 0, 0, "double", 1
"agricolae", "design.ab", 3, 0, 0, "character[]", 1
"agricolae", "design.ab", 4, 0, 0, "double", 1
"agricolae", "design.ab", 5, 0, 0, "character", 1
"agricolae", "design.ab", 6, 0, 0, "logical", 1
"agricolae", "design.ab", 7, 0, 0, "logical", 1
"agricolae", "design.alpha", -1, 0, 0, "list<class<`data.frame`> | list<character[] | double | class<`matrix`>> | class<`data.frame`> | list<character | integer[] | double | class<`matrix`>>>", 1
"agricolae", "design.alpha", 0, 0, 0, "character[]", 1
"agricolae", "design.alpha", 0, 0, 1, "integer[]", 1
"agricolae", "design.alpha", 1, 0, 0, "double", 1
"agricolae", "design.alpha", 2, 0, 0, "double", 1
"agricolae", "design.alpha", 3, 0, 0, "double", 1
"agricolae", "design.alpha", 4, 0, 0, "double", 1
"agricolae", "design.alpha", 5, 0, 0, "character", 1
"agricolae", "design.alpha", 6, 0, 0, "logical", 1
"agricolae", "design.bib", -1, 0, 0, "list<class<`data.frame`> | class<`matrix`> | list<character[] | double>>", 1
"agricolae", "design.bib", 0, 0, 0, "character[]", 1
"agricolae", "design.bib", 1, 0, 0, "double", 1
"agricolae", "design.bib", 2, 0, 0, "null", 1
"agricolae", "design.bib", 3, 0, 0, "double", 1
"agricolae", "design.bib", 4, 0, 0, "double", 1
"agricolae", "design.bib", 5, 0, 0, "character", 1
"agricolae", "design.bib", 6, 0, 0, "double", 1
"agricolae", "design.bib", 7, 0, 0, "logical", 1
"agricolae", "design.crd", -1, 0, 0, "list<class<`data.frame`> | list<character[] | double[]>>", 1
"agricolae", "design.crd", 0, 0, 0, "character[]", 1
"agricolae", "design.crd", 1, 0, 0, "double[]", 1
"agricolae", "design.crd", 2, 0, 0, "double", 1
"agricolae", "design.crd", 3, 0, 0, "double", 1
"agricolae", "design.crd", 4, 0, 0, "character", 1
"agricolae", "design.crd", 5, 0, 0, "logical", 1
"agricolae", "design.cyclic", -1, 0, 0, "list<class<`matrix`> | class<`data.frame`> | list<character[] | double>>", 1
"agricolae", "design.cyclic", 0, 0, 0, "character[]", 1
"agricolae", "design.cyclic", 1, 0, 0, "double", 1
"agricolae", "design.cyclic", 2, 0, 0, "double", 1
"agricolae", "design.cyclic", 3, 0, 0, "double", 1
"agricolae", "design.cyclic", 4, 0, 0, "logical", 1
"agricolae", "design.cyclic", 5, 0, 0, "double", 1
"agricolae", "design.cyclic", 6, 0, 0, "character", 1
"agricolae", "design.cyclic", 7, 0, 0, "logical", 1
"agricolae", "design.dau", -1, 0, 0, "list<class<`data.frame`> | list<character[] | double>>", 1
"agricolae", "design.dau", 0, 0, 0, "character[]", 1
"agricolae", "design.dau", 1, 0, 0, "character[]", 1
"agricolae", "design.dau", 2, 0, 0, "double", 1
"agricolae", "design.dau", 3, 0, 0, "double", 1
"agricolae", "design.dau", 4, 0, 0, "double", 1
"agricolae", "design.dau", 5, 0, 0, "character", 1
"agricolae", "design.dau", 6, 0, 0, "character", 1
"agricolae", "design.dau", 7, 0, 0, "logical", 1
"agricolae", "design.graeco", -1, 0, 0, "list<class<`matrix`> | class<`data.frame`> | list<character[] | double> | class<`matrix`> | class<`data.frame`> | list<character[] | integer[] | double>>", 1
"agricolae", "design.graeco", 0, 0, 0, "character[]", 1
"agricolae", "design.graeco", 1, 0, 0, "character[]", 1
