package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"arules", ".aremtypes", -1, 0, 0, "character[]", 1
"arules", ".barplot_horiz", -1, 0, 0, "^double[]", 1
"arules", ".barplot_horiz", 0, 0, 0, "double[]", 1
"arules", ".barplot_horiz", 1, 0, 0, "double", 1
"arules", ".barplot_horiz", 2, 0, 0, "double", 1
"arules", ".barplot_horiz", 3, 0, 0, "character", 1
"arules", ".barplot_horiz", 4, 0, 0, "null", 1
"arules", ".barplot_horiz", 5, 0, 0, "null", 1
"arules", ".barplot_vert", -1, 0, 0, "^double[]", 1
"arules", ".barplot_vert", 0, 0, 0, "double[]", 1
"arules", ".barplot_vert", 1, 0, 0, "double", 1
"arules", ".barplot_vert", 2, 0, 0, "double", 1
"arules", ".barplot_vert", 3, 0, 0, "null", 1
"arules", ".barplot_vert", 4, 0, 0, "character", 1
"arules", ".barplot_vert", 5, 0, 0, "null", 1
"arules", ".combineMeta", -1, 0, 0, "struct<`support`:double[], `confidence`:double[], `lift`:double[], `count`:integer[]>", 1
"arules", ".combineMeta", 0, 0, 0, "character", 1
"arules", ".combineMeta", 1, 0, 0, "null", 1
"arules", ".density_Matrix", -1, 0, 0, "double", 1
"arules", ".getCounts", -1, 0, 0, "struct<`f11`:double[], `f1x`:double[], `fx1`:double[], `f0x`:double[], `fx0`:double[], `f10`:double[], `f01`:double[], `f00`:double[], `N`:integer>", 1
"arules", ".getCounts", 0, 0, 0, "logical", 1
"arules", ".hyperConfidence", -1, 0, 0, "double[]", 1
"arules", ".hyperConfidence", 0, 0, 0, "logical", 1
"arules", ".hyperConfidence", 1, 0, 0, "logical", 1
"arules", ".hyperConfidence", 2, 0, 0, "logical", 1
"arules", ".hyperConfidence", 3, 0, 0, "null", 1
"arules", ".hyperLift", -1, 0, 0, "double[]", 1
"arules", ".hyperLift", 0, 0, 0, "logical", 1
"arules", ".hyperLift", 1, 0, 0, "double", 1
"arules", ".hyperLift", 2, 0, 0, "null", 1
"arules", ".imbalance", -1, 0, 0, "double[]", 1
"arules", ".imbalance", 0, 0, 0, "logical", 1
"arules", ".improvement", -1, 0, 0, "double[]", 1
"arules", ".improvement", 0, 0, 0, "symbol", 1
"arules", ".improvement", 1, 0, 0, "logical", 1
"arules", ".improvement", 2, 0, 0, "character", 1
"arules", ".is.subset_sparse", -1, 0, 0, "logical", 1
"arules", ".joinedList", -1, 0, 0, "list<double[]>", 1
"arules", ".kulc", -1, 0, 0, "double[]", 1
"arules", ".kulc", 0, 0, 0, "logical", 1
"arules", ".list2object", -1, 0, 0, "struct<`support`:double>", 1
"arules", ".list2object", 0, 0, 0, "character", 1
