package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"batchtools", ":::", -1, 0, 0, "null", 1
"batchtools", ":::", 0, 0, 0, "double", 1
"batchtools", ".findDone", -1, 0, 0, "struct<`job.id`:integer[]>", 1
"batchtools", ".findDone", 0, 0, 0, "environment", 1
"batchtools", ".findDone", 1, 0, 0, "null", 1
"batchtools", ".findDone", 1, 0, 1, "struct<>", 1
"batchtools", ".findErrors", -1, 0, 0, "struct<`job.id`:integer[]>", 1
"batchtools", ".findErrors", 0, 0, 0, "environment", 1
"batchtools", ".findErrors", 1, 0, 0, "null", 1
"batchtools", ".findErrors", 1, 0, 1, "struct<>", 1
"batchtools", ".findNotDone", -1, 0, 0, "struct<`job.id`:integer[]>", 1
"batchtools", ".findNotDone", 0, 0, 0, "environment", 1
"batchtools", ".findNotDone", 1, 0, 0, "null", 1
"batchtools", ".findNotDone", 1, 0, 1, "struct<>", 1
"batchtools", ".findNotSubmitted", -1, 0, 0, "struct<`job.id`:integer[]>", 1
"batchtools", ".findNotSubmitted", 0, 0, 0, "environment", 1
"batchtools", ".findNotSubmitted", 1, 0, 0, "null", 1
"batchtools", ".findNotSubmitted", 1, 0, 1, "struct<>", 1
"batchtools", ".findOnSystem", -1, 0, 0, "struct<`job.id`:integer[]>", 1
"batchtools", ".findOnSystem", 0, 0, 0, "environment", 1
"batchtools", ".findOnSystem", 1, 0, 0, "null", 1
"batchtools", ".findOnSystem", 2, 0, 0, "character[]", 1
"batchtools", ".findOnSystem", 3, 0, 0, "struct<`batch.id`:character[], `status`:character[]>", 1
"batchtools", ".findStarted", -1, 0, 0, "struct<`job.id`:integer[]>", 1
"batchtools", ".findStarted", 0, 0, 0, "environment", 1
"batchtools", ".findStarted", 1, 0, 0, "null", 1
"batchtools", ".findStarted", 2, 0, 0, "struct<`batch.id`:character[], `status`:character[]>", 1
"batchtools", ".findSubmitted", -1, 0, 0, "struct<`job.id`:integer[]>", 1
"batchtools", ".findSubmitted", 0, 0, 0, "environment", 1
"batchtools", ".findSubmitted", 1, 0, 0, "null", 1
"batchtools", ".findTerminated", -1, 0, 0, "struct<`job.id`:integer[]>", 1
"batchtools", ".findTerminated", 0, 0, 0, "environment", 1
"batchtools", ".findTerminated", 1, 0, 0, "struct<`job.id`:integer[], `terminated`:logical[], `on.sys`:logical[], `expire.counter`:integer[]>", 1
"batchtools", ".subset2", -1, 0, 0, "null", 1
"batchtools", ".subset2", 0, 0, 0, "character", 1
"batchtools", ".subset2", 0, 0, 1, "integer[]", 1
"batchtools", ".subset2", 0, 0, 2, "double", 1
"batchtools", ".subset2", 1, 0, 0, "environment", 1
"batchtools", ".subset2", 2, 0, 0, "integer", 1
"batchtools", ".subset2", 3, 0, 0, "tuple<double>", 1
"batchtools", ".subset2", 3, 0, 1, "tuple<integer[]>", 1
"batchtools", ".subset2", 3, 0, 2, "struct<`.id`:integer>", 1
"batchtools", ".subset2", 3, 0, 3, "struct<``:integer, `fn`:character>", 1
"batchtools", ".subset2", 3, 0, 4, "struct<`a`:integer, `b`:integer>", 1
"batchtools", ".subset2", 3, 0, 5, "struct<`i`:integer>", 1
"batchtools", ".subset2", 3, 0, 6, "struct<`x`:character, `y`:integer>", 1
"batchtools", ".subset2", 3, 0, 7, "struct<`x`:double>", 1
"batchtools", ".subset2", 3, 0, 8, "struct<`n`:double>", 1
"batchtools", ".subset2", 3, 0, 9, "struct<`ratio`:double>", 1
"batchtools", ".subset2", 3, 0, 10, "tuple<>", 1
"batchtools", ".subset2", 4, 0, 0, "integer", 1
"batchtools", ".subset2", 4, 0, 1, "tuple<>", 1
"batchtools", ".subset2", 4, 0, 2, "struct<`kernel`:character, `epsilon`:double>", 1
"batchtools", ".subset2", 4, 0, 3, "struct<`method`:character>", 1
"batchtools", ".subset2", 4, 0, 4, "struct<`ntree`:double>", 1
"batchtools", ".subset2", 4, 0, 5, "struct<`x`:integer, `y`:character>", 1
"batchtools", ".subset2", 5, 0, 0, "tuple<>", 1
"batchtools", ".subset2", 5, 0, 1, "struct<`foo`:character>", 1
"batchtools", ".subset2", 5, 0, 2, "struct<`measure.memory`:logical>", 1
"batchtools", ".subset2", 5, 0, 3, "struct<`memory`:double, `walltime`:double>", 1
"batchtools", ".subset2", 5, 0, 4, "integer", 1
"batchtools", ".subset2", 6, 0, 0, "integer", 1
"batchtools", ".subset2", 7, 0, 0, "tuple<>", 1
"batchtools", ".subset2", 8, 0, 0, "character", 1
"batchtools", ".subset2", 9, 0, 0, "character", 1
