package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"bayesplot", "%||%", -1, 0, 0, "^character[]", 1
"bayesplot", "%||%", -1, 0, 1, "class<`formula`>", 1
"bayesplot", "%||%", -1, 0, 2, "class<`function`>", 1
"bayesplot", "%||%", -1, 0, 3, "double", 1
"bayesplot", "%||%", -1, 0, 4, "expression", 1
"bayesplot", "%||%", 0, 0, 0, "^character[]", 1
"bayesplot", "%||%", 0, 0, 1, "null", 1
"bayesplot", "%||%", 0, 0, 2, "double", 1
"bayesplot", "%||%", 1, 0, 0, "any", 1
"bayesplot", "abline_01", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"bayesplot", "abline_01", 0, 0, 0, "...", 1
"bayesplot", "abline_01", 1, 0, 0, "logical", 1
"bayesplot", "acf_data", -1, 0, 0, "class<`data.frame`>", 1
"bayesplot", "acf_data", 0, 0, 0, "class<`array`, `mcmc_array`>", 1
"bayesplot", "acf_data", 1, 0, 0, "double", 1
"bayesplot", "all_counts", -1, 0, 0, "logical", 1
"bayesplot", "all_counts", 0, 0, 0, "class<`matrix`>", 1
"bayesplot", "all_counts", 0, 0, 1, "integer[]", 1
"bayesplot", "all_counts", 1, 0, 0, "...", 1
"bayesplot", "all_ggplot", -1, 0, 0, "logical", 1
"bayesplot", "all_ggplot", 0, 0, 0, "list<class<`gg`, `ggplot`>>", 1
"bayesplot", "all_whole_number", -1, 0, 0, "logical", 1
"bayesplot", "all_whole_number", 0, 0, 0, "class<`matrix`>", 1
"bayesplot", "all_whole_number", 0, 0, 1, "integer[]", 1
"bayesplot", "all_whole_number", 1, 0, 0, "...", 1
"bayesplot", "apply_transformations", -1, 0, 0, "class<`array`>", 1
"bayesplot", "apply_transformations", 0, 0, 0, "class<`array`>", 1
"bayesplot", "apply_transformations", 1, 0, 0, "list<character>", 1
"bayesplot", "apply_transformations", 1, 0, 1, "list<character | class<`function`>>", 1
"bayesplot", "apply_transformations", 1, 0, 2, "list<class<`function`>>", 1
"bayesplot", "apply_transformations", 2, 0, 0, "...", 1
"bayesplot", "apply_transformations.array", -1, 0, 0, "class<`array`>", 1
"bayesplot", "apply_transformations.array", 0, 0, 0, "class<`array`>", 1
"bayesplot", "apply_transformations.array", 1, 0, 0, "list<character>", 1
"bayesplot", "apply_transformations.array", 1, 0, 1, "list<character | class<`function`>>", 1
"bayesplot", "apply_transformations.array", 1, 0, 2, "list<class<`function`>>", 1
"bayesplot", "as_bayesplot_grid", -1, 0, 0, "class<`bayesplot_grid`, `gDesc`, `gTree`, `grob`, `gtable`>", 1
"bayesplot", "as_bayesplot_grid", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"bayesplot", "as_neff_ratio", -1, 0, 0, "class<`neff_ratio`, `numeric`>", 1
"bayesplot", "as_neff_ratio", 0, 0, 0, "double[]", 1
"bayesplot", "as_rhat", -1, 0, 0, "class<`numeric`, `rhat`>", 1
"bayesplot", "as_rhat", 0, 0, 0, "double[]", 1
"bayesplot", "as_rhat", 0, 0, 1, "class<`numeric`, `rhat`>", 1
"bayesplot", "auto_name", -1, 0, 0, "class<`neff_ratio`, `numeric`>", 1
"bayesplot", "auto_name", -1, 0, 1, "class<`numeric`, `rhat`>", 1
"bayesplot", "auto_name", 0, 0, 0, "class<`neff_ratio`, `numeric`>", 1
"bayesplot", "auto_name", 0, 0, 1, "class<`numeric`, `rhat`>", 1
"bayesplot", "available_mcmc", -1, 0, 0, "class<`bayesplot_function_list`, `character`>", 1
"bayesplot", "available_mcmc", 0, 0, 0, "any", 1
"bayesplot", "available_mcmc", 1, 0, 0, "logical", 1
"bayesplot", "available_mcmc", 2, 0, 0, "logical", 1
"bayesplot", "available_ppc", -1, 0, 0, "class<`bayesplot_function_list`, `character`>", 1
"bayesplot", "available_ppc", 0, 0, 0, "any", 1
"bayesplot", "available_ppc", 1, 0, 0, "logical", 1
"bayesplot", "available_ppc", 2, 0, 0, "logical", 1
"bayesplot", "bayesplot_grid", -1, 0, 0, "class<`bayesplot_grid`, `gDesc`, `gTree`, `grob`, `gtable`>", 1
"bayesplot", "bayesplot_grid", 0, 0, 0, "...", 1
"bayesplot", "bayesplot_grid", 1, 0, 0, "list<class<`gg`, `ggplot`>>", 1
"bayesplot", "bayesplot_grid", 2, 0, 0, "null", 1
"bayesplot", "bayesplot_grid", 3, 0, 0, "null", 1
"bayesplot", "bayesplot_grid", 4, 0, 0, "list<double>", 1
"bayesplot", "bayesplot_grid", 5, 0, 0, "character[]", 1
"bayesplot", "bayesplot_grid", 6, 0, 0, "character[]", 1
"bayesplot", "bayesplot_grid", 7, 0, 0, "logical", 1
"bayesplot", "bayesplot_theme_get", -1, 0, 0, "class<`gg`, `theme`>", 1
"bayesplot", "bayesplot_theme_set", -1, 0, 0, "class<`gg`, `theme`>", 1
"bayesplot", "bayesplot_theme_set", 0, 0, 0, "class<`gg`, `theme`>", 1
"bayesplot", "bayesplot_theme_update", -1, 0, 0, "class<`gg`, `theme`>", 1
"bayesplot", "bayesplot_theme_update", 0, 0, 0, "...", 1
"bayesplot", "calc_intervals", -1, 0, 0, "double[]", 1
"bayesplot", "calc_intervals", 0, 0, 0, "double[]", 1
"bayesplot", "calc_intervals", 1, 0, 0, "double", 1
"bayesplot", "calc_intervals", 2, 0, 0, "logical", 1
"bayesplot", "calc_intervals", 3, 0, 0, "...", 1
"bayesplot", "calc_v", -1, 0, 0, "double[]", 1
"bayesplot", "calc_v", 0, 0, 0, "double[]", 1
"bayesplot", "calc_v", 0, 0, 1, "class<`matrix`>", 1
"bayesplot", "calc_v", 1, 0, 0, "any", 1
"bayesplot", "calc_v", 2, 0, 0, "any", 1
"bayesplot", "calc_v", 3, 0, 0, "...", 1
"bayesplot", "chain_colors", -1, 0, 0, "character[]", 1
"bayesplot", "chain_colors", 0, 0, 0, "integer", 1
"bayesplot", "check_ignored_arguments", -1, 0, 0, "null", 1
"bayesplot", "check_ignored_arguments", 0, 0, 0, "...", 1
"bayesplot", "check_ignored_arguments", 1, 0, 0, "any", 1
"bayesplot", "check_interval_widths", -1, 0, 0, "double[]", 1
"bayesplot", "check_interval_widths", 0, 0, 0, "double", 1
"bayesplot", "check_interval_widths", 1, 0, 0, "double", 1
"bayesplot", "color_scheme_get", -1, 0, 0, "class<`bayesplot_scheme`, `list`>", 1
"bayesplot", "color_scheme_get", -1, 0, 1, "list<character>", 1
"bayesplot", "color_scheme_get", 0, 0, 0, "character", 1
"bayesplot", "color_scheme_get", 0, 0, 1, "null", 1
"bayesplot", "color_scheme_get", 1, 0, 0, "null", 1
"bayesplot", "color_scheme_get", 1, 0, 1, "double[]", 1
"bayesplot", "color_scheme_set", -1, 0, 0, "list<character>", 1
"bayesplot", "color_scheme_set", 0, 0, 0, "character[]", 1
"bayesplot", "color_scheme_view", -1, 0, 0, "class<`bayesplot_grid`, `gDesc`, `gTree`, `grob`, `gtable`>", 1
"bayesplot", "color_scheme_view", -1, 0, 1, "class<`gg`, `ggplot`>", 1
"bayesplot", "color_scheme_view", 0, 0, 0, "character[]", 1
"bayesplot", "color_scheme_view", 0, 0, 1, "null", 1
"bayesplot", "compute_column_density", -1, 0, 0, "class<`data.frame`>", 1
"bayesplot", "compute_column_density", -1, 0, 1, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"bayesplot", "compute_column_density", 0, 0, 0, "class<`data.frame`>", 1
"bayesplot", "compute_column_density", 0, 0, 1, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"bayesplot", "compute_column_density", 1, 0, 0, "any", 1
"bayesplot", "compute_column_density", 2, 0, 0, "any", 1
"bayesplot", "compute_column_density", 3, 0, 0, "...", 1
"bayesplot", "compute_errors", -1, 0, 0, "class<`matrix`>", 1
"bayesplot", "compute_errors", 0, 0, 0, "integer[]", 1
"bayesplot", "compute_errors", 1, 0, 0, "class<`matrix`>", 1
"bayesplot", "create_yrep_ids", -1, 0, 0, "character[]", 1
"bayesplot", "create_yrep_ids", 0, 0, 0, "integer[]", 1
"bayesplot", "diagnostic_colors", -1, 0, 0, "list<character[] | expression>", 1
"bayesplot", "diagnostic_colors", 0, 0, 0, "character", 1
"bayesplot", "diagnostic_colors", 1, 0, 0, "character", 1
"bayesplot", "diagnostic_color_scale", -1, 0, 0, "class<`Scale`, `ScaleDiscrete`, `gg`, `ggproto`>", 1
"bayesplot", "diagnostic_color_scale", 0, 0, 0, "character", 1
"bayesplot", "diagnostic_color_scale", 1, 0, 0, "character", 1
"bayesplot", "diagnostic_data_frame", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
