package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"bayestestR", ".add_effects_component_column", -1, 0, 0, "struct<`Parameter`:character[], `BF`:double[], `Effects`:^logical[], `Component`:^logical[]>", 1
"bayestestR", ".add_effects_component_column", 0, 0, 0, "struct<`Parameter`:character[], `BF`:double[]>", 1
"bayestestR", ".check_ci_argument", -1, 0, 0, "null", 1
"bayestestR", ".check_ci_argument", 0, 0, 0, "double[]", 1
"bayestestR", ".check_ci_argument", 1, 0, 0, "double", 1
"bayestestR", ".check_ci_argument", 2, 0, 0, "symbol", 1
"bayestestR", ".check_test_values", -1, 0, 0, "character[]", 1
"bayestestR", ".check_test_values", 0, 0, 0, "character[]", 1
"bayestestR", ".compact_list", -1, 0, 0, "struct<`Difference`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>>", 1
"bayestestR", ".compact_list", 0, 0, 0, "struct<`Difference`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>>", 1
"bayestestR", ".compact_list", 0, 0, 1, "struct<`X1`:struct<`CI`:double[], `CI_low`:double[], `CI_high`:double[]>, `X2`:struct<`CI`:double[], `CI_low`:double[], `CI_high`:double[]>, `X3`:struct<`CI`:double[], `CI_low`:double[], `CI_high`:double[]>, `X4`:struct<`CI`:double[], `CI_low`:double[], `CI_high`:double[]>>", 1
"bayestestR", ".compact_list", 0, 0, 2, "struct<`X1`:struct<`CI`:double, `ROPE_low`:double, `ROPE_high`:double, `ROPE_Percentage`:double, `ROPE_Equivalence`:character, `HDI_low`:double, `HDI_high`:double>, `X2`:struct<`CI`:double, `ROPE_low`:double, `ROPE_high`:double, `ROPE_Percentage`:double, `ROPE_Equivalence`:character, `HDI_low`:double, `HDI_high`:double>, `X3`:struct<`CI`:double, `ROPE_low`:double, `ROPE_high`:double, `ROPE_Percentage`:double, `ROPE_Equivalence`:character, `HDI_low`:double, `HDI_high`:double>, `X4`:struct<`CI`:double, `ROPE_low`:double, `ROPE_high`:double, `ROPE_Percentage`:double, `ROPE_Equivalence`:character, `HDI_low`:double, `HDI_high`:double>>", 1
"bayestestR", ".compact_list", 0, 0, 3, "struct<`(Intercept)`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>, `Speciesversicolor`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>, `Speciesvirginica`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>, `Petal.Width`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>, `Speciesversicolor:Petal.Width`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>, `Speciesvirginica:Petal.Width`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>>", 1
"bayestestR", ".compact_list", 0, 0, 4, "struct<`(Intercept)`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>, `wt`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>, `cyl`:struct<`CI`:double, `CI_low`:double, `CI_high`:double>>", 1
