package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"bbmle", "AICc", -1, 0, 0, "double", 1
"bbmle", "AICc", 0, 0, 0, "class<`logLik`>", 1
"bbmle", "AICc", 0, 0, 1, "class<`glm`, `lm`>", 1
"bbmle", "AICc", 0, 0, 2, "class<`mle2`>", 1
"bbmle", "AICc", 1, 0, 0, "...", 1
"bbmle", "AICc", 2, 0, 0, "integer", 1
"bbmle", "AICc", 3, 0, 0, "double", 1
"bbmle", "AICc", -1, 1, 0, "double", 1
"bbmle", "AICc", 0, 1, 0, "class<`logLik`>", 1
"bbmle", "AICc", 1, 1, 0, "...", 1
"bbmle", "AICc", 2, 1, 0, "integer", 1
"bbmle", "AICc", 3, 1, 0, "double", 1
"bbmle", "AICctab", -1, 0, 0, "class<`ICtab`>", 1
"bbmle", "AICctab", 0, 0, 0, "...", 1
"bbmle", "AICctab", 1, 0, 0, "any", 1
"bbmle", "AICtab", -1, 0, 0, "class<`ICtab`>", 1
"bbmle", "AICtab", 0, 0, 0, "...", 1
"bbmle", "AICtab", 1, 0, 0, "any", 1
"bbmle", "anova", -1, 0, 0, "class<`anova`>", 1
"bbmle", "anova", 0, 0, 0, "class<`mle2`>", 1
"bbmle", "anova", 1, 0, 0, "...", 1
"bbmle", "as.data.frame.profile.mle2", -1, 0, 0, "class<`data.frame`>", 1
"bbmle", "as.data.frame.profile.mle2", 0, 0, 0, "class<`profile.mle2`>", 1
"bbmle", "as.data.frame.profile.mle2", 1, 0, 0, "null", 1
"bbmle", "as.data.frame.profile.mle2", 2, 0, 0, "logical", 1
"bbmle", "as.data.frame.profile.mle2", 3, 0, 0, "...", 1
"bbmle", "calc_mle2_function", -1, 0, 0, "list<any>", 1
"bbmle", "calc_mle2_function", 0, 0, 0, "class<`formula`>", 1
"bbmle", "calc_mle2_function", 1, 0, 0, "null", 1
"bbmle", "calc_mle2_function", 1, 0, 1, "list<class<`formula`>>", 1
"bbmle", "calc_mle2_function", 2, 0, 0, "any", 1
"bbmle", "calc_mle2_function", 3, 0, 0, "list<double[] | double | null>", 1
"bbmle", "calc_mle2_function", 4, 0, 0, "null", 1
"bbmle", "calc_mle2_function", 5, 0, 0, "logical", 1
"bbmle", "calc_mle2_function", 6, 0, 0, "class<`data.frame`>", 1
