package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"bdsmatrix", "as.matrix.bdsmatrix", -1, 0, 0, "class<`matrix`>", 1
"bdsmatrix", "as.matrix.bdsmatrix", 0, 0, 0, "class<`bdsmatrix`>", 1
"bdsmatrix", "as.matrix.bdsmatrix", 1, 0, 0, "...", 1
"bdsmatrix", "as.matrix.gchol", -1, 0, 0, "class<`matrix`>", 1
"bdsmatrix", "as.matrix.gchol", 0, 0, 0, "class<`gchol`>", 1
"bdsmatrix", "as.matrix.gchol", 1, 0, 0, "logical", 1
"bdsmatrix", "as.matrix.gchol", 2, 0, 0, "...", 1
"bdsmatrix", "as.matrix.gchol.bdsmatrix", -1, 0, 0, "class<`matrix`>", 1
"bdsmatrix", "as.matrix.gchol.bdsmatrix", 0, 0, 0, "class<`gchol.bdsmatrix`>", 1
"bdsmatrix", "as.matrix.gchol.bdsmatrix", 1, 0, 0, "logical", 1
"bdsmatrix", "as.matrix.gchol.bdsmatrix", 2, 0, 0, "...", 1
"bdsmatrix", "backsolve", -1, 0, 0, "class<`matrix`>", 1
"bdsmatrix", "backsolve", 0, 0, 0, "class<`gchol`>", 1
"bdsmatrix", "backsolve", 0, 0, 1, "class<`gchol.bdsmatrix`>", 1
"bdsmatrix", "backsolve", 0, 0, 2, "class<`matrix`>", 1
"bdsmatrix", "backsolve", 1, 0, 0, "...", 1
"bdsmatrix", "backsolve", -1, 1, 0, "class<`matrix`>", 1
"bdsmatrix", "backsolve", 0, 1, 0, "class<`gchol`>", 1
"bdsmatrix", "backsolve", 1, 1, 0, "...", 1
"bdsmatrix", "backsolve", -1, 2, 0, "class<`matrix`>", 1
"bdsmatrix", "backsolve", 0, 2, 0, "class<`gchol.bdsmatrix`>", 1
"bdsmatrix", "backsolve", 1, 2, 0, "...", 1
"bdsmatrix", "backsolve", -1, 3, 0, "class<`matrix`>", 1
"bdsmatrix", "backsolve", 0, 3, 0, "class<`matrix`>", 1
"bdsmatrix", "backsolve", 1, 3, 0, "...", 1
"bdsmatrix", "bdsBlock", -1, 0, 0, "class<`bdsmatrix`>", 1
