package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"beanplot", ":::", -1, 0, 0, "struct<`all`:double[], `OJ`:double[], `VC`:double[], `0.5`:double[], `1`:double[], `2`:double[]>", 1
"beanplot", ":::", 0, 0, 0, "language", 1
"beanplot", ":::", 1, 0, 0, "environment", 1
"beanplot", "beanplot", -1, 0, 0, "struct<`bw`:double, `wd`:double, `names`:character[], `stats`:character, `overall`:double, `log`:character>", 1
"beanplot", "beanplot", 0, 0, 0, "language", 1
"beanplot", "beanplot", 0, 0, 1, "symbol", 1
"beanplot", "beanplot", 1, 0, 0, "character", 1
"beanplot", "beanplot", 1, 0, 1, "double", 1
"beanplot", "beanplot", 2, 0, 0, "character", 1
"beanplot", "beanplot", 3, 0, 0, "double", 1
"beanplot", "beanplot", 4, 0, 0, "double", 1
"beanplot", "beanplot", 5, 0, 0, "double", 1
"beanplot", "beanplot", 6, 0, 0, "double", 1
"beanplot", "beanplot", 7, 0, 0, "logical[]", 1
"beanplot", "beanplot", 8, 0, 0, "logical", 1
"beanplot", "beanplot", 9, 0, 0, "null", 1
"beanplot", "beanplot", 9, 0, 1, "tuple<character, character[]>", 1
"beanplot", "beanplot", 9, 0, 2, "character[]", 1
"beanplot", "beanplot", 10, 0, 0, "logical", 1
"beanplot", "beanplot", 11, 0, 0, "character", 1
"beanplot", "beanplot", 12, 0, 0, "null", 1
"beanplot", "beanplot", 13, 0, 0, "double", 1
"beanplot", "beanplot", 14, 0, 0, "null", 1
"beanplot", "beanplot", 14, 0, 1, "double", 1
"beanplot", "beanplot", 15, 0, 0, "double", 1
"beanplot", "beanplot", 16, 0, 0, "double", 1
"beanplot", "beanplot", 17, 0, 0, "character", 1
"beanplot", "beanplot", 18, 0, 0, "null", 1
