package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"beeswarm", "beeswarm", -1, 0, 0, "class<`data.frame`>", 1
"beeswarm", "beeswarm", 0, 0, 0, "class<`formula`>", 1
"beeswarm", "beeswarm", 0, 0, 1, "list<double[]>", 1
"beeswarm", "beeswarm", 1, 0, 0, "...", 1
"beeswarm", "beeswarm.default", -1, 0, 0, "class<`data.frame`>", 1
"beeswarm", "beeswarm.default", 0, 0, 0, "list<double[]>", 1
"beeswarm", "beeswarm.default", 1, 0, 0, "character[]", 1
"beeswarm", "beeswarm.default", 2, 0, 0, "logical", 1
"beeswarm", "beeswarm.default", 3, 0, 0, "logical", 1
"beeswarm", "beeswarm.default", 4, 0, 0, "double", 1
"beeswarm", "beeswarm.default", 5, 0, 0, "double", 1
"beeswarm", "beeswarm.default", 6, 0, 0, "null", 1
"beeswarm", "beeswarm.default", 7, 0, 0, "any", 1
"beeswarm", "beeswarm.default", 8, 0, 0, "null", 1
"beeswarm", "beeswarm.default", 9, 0, 0, "character[]", 1
"beeswarm", "beeswarm.default", 10, 0, 0, "any", 1
"beeswarm", "beeswarm.default", 11, 0, 0, "double", 1
"beeswarm", "beeswarm.formula", -1, 0, 0, "class<`data.frame`>", 1
"beeswarm", "beeswarm.formula", 0, 0, 0, "class<`formula`>", 1
"beeswarm", "beeswarm.formula", 1, 0, 0, "any", 1
"beeswarm", "beeswarm.formula", 2, 0, 0, "any", 1
"beeswarm", "beeswarm.formula", 3, 0, 0, "null", 1
"beeswarm", "beeswarm.formula", 4, 0, 0, "null", 1
"beeswarm", "beeswarm.formula", 5, 0, 0, "any", 1
"beeswarm", "beeswarm.formula", 6, 0, 0, "null", 1
"beeswarm", "beeswarm.formula", 7, 0, 0, "any", 1
"beeswarm", "beeswarm.formula", 8, 0, 0, "any", 1
"beeswarm", "beeswarm.formula", 9, 0, 0, "...", 1
"beeswarm", "bxplot", -1, 0, 0, "null", 1
"beeswarm", "bxplot", 0, 0, 0, "class<`formula`>", 1
"beeswarm", "bxplot", 0, 0, 1, "list<double[]>", 1
"beeswarm", "bxplot", 1, 0, 0, "...", 1
"beeswarm", "bxplot.default", -1, 0, 0, "null", 1
"beeswarm", "bxplot.default", 0, 0, 0, "list<double[]>", 1
"beeswarm", "bxplot.default", 1, 0, 0, "double[]", 1
"beeswarm", "bxplot.default", 2, 0, 0, "logical", 1
