package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"betareg", "betamix", -1, 0, 0, "class<`betamix`>", 1
"betareg", "betamix", 0, 0, 0, "class<`formula`>", 1
"betareg", "betamix", 1, 0, 0, "any", 1
"betareg", "betamix", 2, 0, 0, "any", 1
"betareg", "betamix", 3, 0, 0, "any", 1
"betareg", "betamix", 4, 0, 0, "any", 1
"betareg", "betamix", 5, 0, 0, "any", 1
"betareg", "betamix", 6, 0, 0, "any", 1
"betareg", "betamix", 7, 0, 0, "character[]", 1
"betareg", "betamix", 8, 0, 0, "character", 1
"betareg", "betamix", 9, 0, 0, "list<character | double | null>", 1
"betareg", "betamix", 10, 0, 0, "null", 1
"betareg", "betamix", 10, 0, 1, "class<`matrix`>", 1
"betareg", "betamix", 11, 0, 0, "class<`FLXPmultinom`>", 1
"betareg", "betamix", 11, 0, 1, "null", 1
"betareg", "betamix", 12, 0, 0, "list<any>", 1
"betareg", "betamix", 13, 0, 0, "logical", 1
"betareg", "betamix", 14, 0, 0, "double", 1
"betareg", "betamix", 15, 0, 0, "character", 1
"betareg", "betamix", 16, 0, 0, "any", 1
"betareg", "betamix", 17, 0, 0, "any", 1
"betareg", "betamix", 18, 0, 0, "class<`extraComponent`>", 1
"betareg", "betamix", 18, 0, 1, "list<class<`extraComponent`>>", 1
"betareg", "betamix", 19, 0, 0, "...", 1
"betareg", "betareg", -1, 0, 0, "class<`betareg`>", 1
"betareg", "betareg", 0, 0, 0, "class<`formula`>", 1
"betareg", "betareg", 1, 0, 0, "class<`data.frame`>", 1
"betareg", "betareg", 1, 0, 1, "list<any>", 1
"betareg", "betareg", 2, 0, 0, "any", 1
"betareg", "betareg", 3, 0, 0, "any", 1
"betareg", "betareg", 4, 0, 0, "any", 1
"betareg", "betareg", 5, 0, 0, "any", 1
"betareg", "betareg", 6, 0, 0, "character[]", 1
"betareg", "betareg", 7, 0, 0, "null", 1
"betareg", "betareg", 7, 0, 1, "character", 1
"betareg", "betareg", 8, 0, 0, "character[]", 1
"betareg", "betareg", 9, 0, 0, "list<character | double | null>", 1
"betareg", "betareg", 10, 0, 0, "logical", 1
"betareg", "betareg", 11, 0, 0, "logical", 1
"betareg", "betareg", 12, 0, 0, "logical", 1
"betareg", "betareg", 13, 0, 0, "...", 1
"betareg", "betareg.control", -1, 0, 0, "list<character | double | null>", 1
"betareg", "betareg.control", 0, 0, 0, "logical", 1
"betareg", "betareg.control", 1, 0, 0, "character", 1
"betareg", "betareg.control", 2, 0, 0, "double", 1
"betareg", "betareg.control", 3, 0, 0, "logical", 1
"betareg", "betareg.control", 4, 0, 0, "logical", 1
"betareg", "betareg.control", 5, 0, 0, "null", 1
"betareg", "betareg.control", 6, 0, 0, "double", 1
"betareg", "betareg.control", 7, 0, 0, "double", 1
"betareg", "betareg.control", 8, 0, 0, "...", 1
"betareg", "betareg.fit", -1, 0, 0, "list<any>", 1
"betareg", "betareg.fit", 0, 0, 0, "class<`matrix`>", 1
"betareg", "betareg.fit", 1, 0, 0, "double[]", 1
"betareg", "betareg.fit", 1, 0, 1, "class<`AsIs`>", 1
"betareg", "betareg.fit", 2, 0, 0, "class<`matrix`>", 1
"betareg", "betareg.fit", 3, 0, 0, "double[]", 1
"betareg", "betareg.fit", 3, 0, 1, "null", 1
"betareg", "betareg.fit", 4, 0, 0, "null", 1
"betareg", "betareg.fit", 4, 0, 1, "list<double[]>", 1
"betareg", "betareg.fit", 5, 0, 0, "character", 1
"betareg", "betareg.fit", 6, 0, 0, "character", 1
"betareg", "betareg.fit", 7, 0, 0, "character", 1
"betareg", "betareg.fit", 8, 0, 0, "list<character | double | null | character | double | list<double[]>>", 1
"betareg", "betatree", -1, 0, 0, "class<`betatree`, `modelparty`, `party`>", 1
"betareg", "betatree", 0, 0, 0, "class<`formula`>", 1
"betareg", "betatree", 1, 0, 0, "class<`formula`>", 1
"betareg", "betatree", 2, 0, 0, "class<`data.frame`>", 1
"betareg", "betatree", 3, 0, 0, "null", 1
"betareg", "betatree", 4, 0, 0, "any", 1
"betareg", "betatree", 5, 0, 0, "any", 1
"betareg", "betatree", 6, 0, 0, "any", 1
"betareg", "betatree", 7, 0, 0, "any", 1
"betareg", "betatree", 8, 0, 0, "character", 1
"betareg", "betatree", 9, 0, 0, "character", 1
"betareg", "betatree", 10, 0, 0, "any", 1
"betareg", "betatree", 11, 0, 0, "...", 1
"betareg", "coef.betamix", -1, 0, 0, "class<`matrix`>", 1
"betareg", "coef.betamix", 0, 0, 0, "class<`betamix`>", 1
"betareg", "coef.betamix", 1, 0, 0, "character[]", 1
"betareg", "coef.betamix", 2, 0, 0, "...", 1
"betareg", "coef.betareg", -1, 0, 0, "double[]", 1
"betareg", "coef.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "coef.betareg", 0, 0, 1, "list<any>", 1
"betareg", "coef.betareg", 1, 0, 0, "any", 1
"betareg", "coef.betareg", 2, 0, 0, "null", 1
"betareg", "coef.betareg", 2, 0, 1, "logical", 1
"betareg", "coef.betareg", 3, 0, 0, "...", 1
"betareg", "coeftest.betareg", -1, 0, 0, "class<`coeftest`>", 1
"betareg", "coeftest.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "coeftest.betareg", 1, 0, 0, "null", 1
"betareg", "coeftest.betareg", 2, 0, 0, "double", 1
"betareg", "coeftest.betareg", 3, 0, 0, "...", 1
"betareg", "cooks.distance.betareg", -1, 0, 0, "double[]", 1
"betareg", "cooks.distance.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "cooks.distance.betareg", 1, 0, 0, "...", 1
"betareg", "estfun.betareg", -1, 0, 0, "class<`matrix`>", 1
"betareg", "estfun.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "estfun.betareg", 1, 0, 0, "null", 1
"betareg", "estfun.betareg", 2, 0, 0, "...", 1
"betareg", "extraComponent", -1, 0, 0, "class<`extraComponent`>", 1
"betareg", "extraComponent", 0, 0, 0, "character", 1
"betareg", "extraComponent", 1, 0, 0, "double", 1
"betareg", "extraComponent", 1, 0, 1, "list<double>", 1
"betareg", "extraComponent", 2, 0, 0, "any", 1
"betareg", "extraComponent", 3, 0, 0, "character", 1
"betareg", "extraComponent", 4, 0, 0, "character", 1
"betareg", "fit", -1, 0, 0, "class<`betareg`>", 1
"betareg", "fit", 0, 0, 0, "class<`formula`>", 1
"betareg", "fit", 1, 0, 0, "class<`data.frame`>", 1
"betareg", "fit", 1, 0, 1, "list<any>", 1
"betareg", "fit", 2, 0, 0, "any", 1
"betareg", "fit", 3, 0, 0, "any", 1
"betareg", "fit", 4, 0, 0, "any", 1
"betareg", "fit", 5, 0, 0, "any", 1
"betareg", "fit", 6, 0, 0, "character[]", 1
"betareg", "fit", 7, 0, 0, "null", 1
"betareg", "fit", 7, 0, 1, "character", 1
"betareg", "fit", 8, 0, 0, "character[]", 1
"betareg", "fit", 9, 0, 0, "list<character | double | null>", 1
"betareg", "fit", 10, 0, 0, "logical", 1
"betareg", "fit", 11, 0, 0, "logical", 1
"betareg", "fit", 12, 0, 0, "logical", 1
"betareg", "fit", 13, 0, 0, "...", 1
"betareg", "FLXMRbeta", -1, 0, 0, "class<`FLXMRbeta`>", 1
"betareg", "FLXMRbeta", 0, 0, 0, "class<`formula`>", 1
"betareg", "FLXMRbeta", 1, 0, 0, "class<`formula`>", 1
"betareg", "FLXMRbeta", 2, 0, 0, "any", 1
"betareg", "FLXMRbeta", 3, 0, 0, "character[]", 1
"betareg", "FLXMRbeta", 4, 0, 0, "character", 1
"betareg", "FLXMRbeta", 5, 0, 0, "list<character | double | null>", 1
"betareg", "FLXMRbeta_extra", -1, 0, 0, "class<`FLXMRbeta_extra`>", 1
"betareg", "FLXMRbeta_extra", 0, 0, 0, "class<`formula`>", 1
"betareg", "FLXMRbeta_extra", 1, 0, 0, "class<`formula`>", 1
"betareg", "FLXMRbeta_extra", 2, 0, 0, "class<`extraComponent`>", 1
"betareg", "FLXMRbeta_extra", 2, 0, 1, "list<class<`extraComponent`>>", 1
"betareg", "FLXMRbeta_extra", 3, 0, 0, "any", 1
"betareg", "FLXMRbeta_extra", 4, 0, 0, "character[]", 1
"betareg", "FLXMRbeta_extra", 5, 0, 0, "character", 1
"betareg", "FLXMRbeta_extra", 6, 0, 0, "list<character | double | null>", 1
"betareg", "gleverage", -1, 0, 0, "double[]", 1
"betareg", "gleverage", 0, 0, 0, "class<`betareg`>", 1
"betareg", "gleverage", 1, 0, 0, "...", 1
"betareg", "gleverage.betareg", -1, 0, 0, "double[]", 1
"betareg", "gleverage.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "gleverage.betareg", 1, 0, 0, "...", 1
"betareg", "halfnormal.betareg", -1, 0, 0, "class<`matrix`>", 1
"betareg", "halfnormal.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "halfnormal.betareg", 1, 0, 0, "double", 1
"betareg", "halfnormal.betareg", 2, 0, 0, "double", 1
"betareg", "halfnormal.betareg", 3, 0, 0, "character", 1
"betareg", "hatvalues.betareg", -1, 0, 0, "double[]", 1
"betareg", "hatvalues.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "hatvalues.betareg", 1, 0, 0, "...", 1
"betareg", "logLik.betareg", -1, 0, 0, "class<`logLik`>", 1
"betareg", "logLik.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "logLik.betareg", 1, 0, 0, "...", 1
"betareg", "make.dmu.deta", -1, 0, 0, "class<`function`>", 1
"betareg", "make.dmu.deta", 0, 0, 0, "character", 1
"betareg", "model.frame.betareg", -1, 0, 0, "class<`data.frame`>", 1
"betareg", "model.frame.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "model.frame.betareg", 1, 0, 0, "...", 1
"betareg", "model.matrix.betareg", -1, 0, 0, "class<`matrix`>", 1
"betareg", "model.matrix.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "model.matrix.betareg", 1, 0, 0, "character", 1
"betareg", "model.matrix.betareg", 2, 0, 0, "...", 1
"betareg", "plot.betareg", -1, 0, 0, "null", 1
"betareg", "plot.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "plot.betareg", 1, 0, 0, "double", 1
"betareg", "plot.betareg", 1, 0, 1, "integer[]", 1
"betareg", "plot.betareg", 2, 0, 0, "character[]", 1
"betareg", "plot.betareg", 3, 0, 0, "any", 1
"betareg", "plot.betareg", 4, 0, 0, "character", 1
"betareg", "plot.betareg", 5, 0, 0, "logical", 1
"betareg", "plot.betareg", 6, 0, 0, "...", 1
"betareg", "plot.betareg", 7, 0, 0, "character", 1
"betareg", "plot.betareg", 8, 0, 0, "double", 1
"betareg", "plot.betareg", 9, 0, 0, "double", 1
"betareg", "plot.betatree", -1, 0, 0, "null", 1
"betareg", "plot.betatree", 0, 0, 0, "class<`betatree`, `modelparty`, `party`>", 1
"betareg", "plot.betatree", 1, 0, 0, "class<`grapcon_generator`>", 1
"betareg", "plot.betatree", 2, 0, 0, "list<any>", 1
"betareg", "plot.betatree", 3, 0, 0, "null", 1
"betareg", "plot.betatree", 4, 0, 0, "null", 1
"betareg", "plot.betatree", 5, 0, 0, "...", 1
"betareg", "predict.betareg", -1, 0, 0, "class<`matrix`>", 1
"betareg", "predict.betareg", -1, 0, 1, "double[]", 1
"betareg", "predict.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "predict.betareg", 1, 0, 0, "null", 1
"betareg", "predict.betareg", 1, 0, 1, "class<`data.frame`>", 1
"betareg", "predict.betareg", 2, 0, 0, "character[]", 1
"betareg", "predict.betareg", 3, 0, 0, "any", 1
"betareg", "predict.betareg", 4, 0, 0, "double[]", 1
"betareg", "predict.betareg", 5, 0, 0, "...", 1
"betareg", "print.betamix", -1, 0, 0, "class<`betamix`>", 1
"betareg", "print.betamix", 0, 0, 0, "class<`betamix`>", 1
"betareg", "print.betamix", 1, 0, 0, "...", 1
"betareg", "print.betatree", -1, 0, 0, "class<`betatree`, `modelparty`, `party`>", 1
"betareg", "print.betatree", 0, 0, 0, "class<`betatree`, `modelparty`, `party`>", 1
"betareg", "print.betatree", 1, 0, 0, "character", 1
"betareg", "print.betatree", 2, 0, 0, "character", 1
"betareg", "print.betatree", 3, 0, 0, "...", 1
"betareg", "register_s3_method", -1, 0, 0, "null", 1
"betareg", "register_s3_method", 0, 0, 0, "character", 1
"betareg", "register_s3_method", 1, 0, 0, "character", 1
"betareg", "register_s3_method", 2, 0, 0, "character", 1
"betareg", "register_s3_method", 3, 0, 0, "null", 1
"betareg", "residuals.betareg", -1, 0, 0, "class<`AsIs`>", 1
"betareg", "residuals.betareg", -1, 0, 1, "double[]", 1
"betareg", "residuals.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "residuals.betareg", 1, 0, 0, "character", 1
"betareg", "residuals.betareg", 2, 0, 0, "...", 1
"betareg", "sctest.betatree", -1, 0, 0, "list<class<`matrix`> | null>", 1
"betareg", "sctest.betatree", 0, 0, 0, "class<`betatree`, `modelparty`, `party`>", 1
"betareg", "sctest.betatree", 1, 0, 0, "...", 1
"betareg", "summary.betamix", -1, 0, 0, "class<`FLXRoptim`>", 1
"betareg", "summary.betamix", 0, 0, 0, "class<`betamix`>", 1
"betareg", "summary.betamix", 1, 0, 0, "character[]", 1
"betareg", "summary.betamix", 2, 0, 0, "...", 1
"betareg", "summary.betareg", -1, 0, 0, "class<`summary.betareg`>", 1
"betareg", "summary.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "summary.betareg", 1, 0, 0, "logical", 1
"betareg", "summary.betareg", 1, 0, 1, "null", 1
"betareg", "summary.betareg", 2, 0, 0, "character", 1
"betareg", "summary.betareg", 3, 0, 0, "...", 1
"betareg", "terms.betareg", -1, 0, 0, "class<`formula`, `terms`>", 1
"betareg", "terms.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "terms.betareg", 1, 0, 0, "character[]", 1
"betareg", "terms.betareg", 2, 0, 0, "...", 1
"betareg", "update.betareg", -1, 0, 0, "class<`betareg`>", 1
"betareg", "update.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "update.betareg", 1, 0, 0, "any", 1
"betareg", "update.betareg", 2, 0, 0, "...", 1
"betareg", "update.betareg", 3, 0, 0, "logical", 1
"betareg", "vcov.betareg", -1, 0, 0, "class<`matrix`>", 1
"betareg", "vcov.betareg", 0, 0, 0, "class<`betareg`>", 1
"betareg", "vcov.betareg", 1, 0, 0, "any", 1
"betareg", "vcov.betareg", 2, 0, 0, "null", 1
"betareg", "vcov.betareg", 3, 0, 0, "...", 1
