package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"bigassertr", "assert_01", -1, 0, 0, "null", 1
"bigassertr", "assert_01", 0, 0, 0, "double[]", 1
"bigassertr", "assert_all", -1, 0, 0, "null", 1
"bigassertr", "assert_all", 0, 0, 0, "double[]", 1
"bigassertr", "assert_all", 1, 0, 0, "double", 1
"bigassertr", "assert_args", -1, 0, 0, "null", 1
"bigassertr", "assert_args", 0, 0, 0, "class<`function`>", 1
"bigassertr", "assert_args", 1, 0, 0, "character", 1
"bigassertr", "assert_class", -1, 0, 0, "null", 1
"bigassertr", "assert_class", 0, 0, 0, "class<`function`>", 1
"bigassertr", "assert_class", 1, 0, 0, "character", 1
"bigassertr", "assert_dir", -1, 0, 0, "null", 1
"bigassertr", "assert_dir", 0, 0, 0, "character", 1
"bigassertr", "assert_exist", -1, 0, 0, "null", 1
"bigassertr", "assert_exist", 0, 0, 0, "character", 1
"bigassertr", "assert_ext", -1, 0, 0, "null", 1
"bigassertr", "assert_ext", 0, 0, 0, "character", 1
"bigassertr", "assert_ext", 1, 0, 0, "character", 1
"bigassertr", "assert_int", -1, 0, 0, "null", 1
"bigassertr", "assert_int", 0, 0, 0, "double[]", 1
"bigassertr", "assert_lengths", -1, 0, 0, "null", 1
"bigassertr", "assert_lengths", 0, 0, 0, "...", 1
"bigassertr", "assert_multiple", -1, 0, 0, "null", 1
"bigassertr", "assert_multiple", 0, 0, 0, "integer[]", 1
"bigassertr", "assert_nodots", -1, 0, 0, "null", 1
"bigassertr", "assert_noexist", -1, 0, 0, "null", 1
"bigassertr", "assert_noexist", 0, 0, 0, "character", 1
"bigassertr", "assert_nona", -1, 0, 0, "null", 1
"bigassertr", "assert_nona", 0, 0, 0, "integer[]", 1
"bigassertr", "assert_sorted", -1, 0, 0, "null", 1
"bigassertr", "assert_sorted", 0, 0, 0, "integer[]", 1
"bigassertr", "assert_sorted", 1, 0, 0, "logical", 1
"bigassertr", "assert_type", -1, 0, 0, "null", 1
"bigassertr", "assert_type", 0, 0, 0, "integer[]", 1
"bigassertr", "assert_type", 1, 0, 0, "character", 1
"bigassertr", "printf", -1, 0, 0, "null", 1
"bigassertr", "printf", 0, 0, 0, "...", 1
