package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"biglm", "AIC.biglm", -1, 0, 0, "double", 1
"biglm", "AIC.biglm", 0, 0, 0, "class<`biglm`>", 1
"biglm", "AIC.biglm", 1, 0, 0, "...", 1
"biglm", "AIC.biglm", 2, 0, 0, "double", 1
"biglm", "bigglm", -1, 0, 0, "class<`bigglm`, `biglm`>", 1
"biglm", "bigglm", 0, 0, 0, "class<`formula`>", 1
"biglm", "bigglm", 1, 0, 0, "class<`function`>", 1
"biglm", "bigglm", 2, 0, 0, "any", 1
"biglm", "bigglm", 3, 0, 0, "...", 1
"biglm", "bigglm", -1, 1, 0, "class<`bigglm`, `biglm`>", 1
"biglm", "bigglm", 0, 1, 0, "class<`formula`>", 1
"biglm", "bigglm", 1, 1, 0, "class<`data.frame`>", 1
"biglm", "bigglm", 2, 1, 0, "any", 1
"biglm", "bigglm", 3, 1, 0, "...", 1
"biglm", "bigglm", -1, 2, 0, "class<`bigglm`, `biglm`>", 1
"biglm", "bigglm", 0, 2, 0, "class<`formula`>", 1
"biglm", "bigglm", 1, 2, 0, "class<`data.frame`>", 1
"biglm", "bigglm", 1, 2, 1, "class<`function`>", 1
"biglm", "bigglm", 2, 2, 0, "any", 1
"biglm", "bigglm", 3, 2, 0, "...", 1
"biglm", "bigglm.data.frame", -1, 0, 0, "class<`bigglm`, `biglm`>", 1
"biglm", "bigglm.data.frame", 0, 0, 0, "class<`formula`>", 1
"biglm", "bigglm.data.frame", 1, 0, 0, "class<`data.frame`>", 1
"biglm", "bigglm.data.frame", 2, 0, 0, "...", 1
"biglm", "bigglm.data.frame", 3, 0, 0, "double", 1
"biglm", "bigglm.function", -1, 0, 0, "class<`bigglm`, `biglm`>", 1
"biglm", "bigglm.function", 0, 0, 0, "class<`formula`>", 1
"biglm", "bigglm.function", 1, 0, 0, "class<`function`>", 1
"biglm", "bigglm.function", 2, 0, 0, "class<`family`>", 1
"biglm", "bigglm.function", 3, 0, 0, "null", 1
"biglm", "bigglm.function", 4, 0, 0, "logical", 1
"biglm", "bigglm.function", 5, 0, 0, "double", 1
"biglm", "bigglm.function", 6, 0, 0, "double", 1
"biglm", "bigglm.function", 7, 0, 0, "null", 1
"biglm", "bigglm.function", 8, 0, 0, "logical", 1
"biglm", "bigglm.function", 9, 0, 0, "...", 1
"biglm", "biglm", -1, 0, 0, "class<`biglm`>", 1
"biglm", "biglm", 0, 0, 0, "class<`formula`>", 1
"biglm", "biglm", 1, 0, 0, "class<`data.frame`>", 1
"biglm", "biglm", 2, 0, 0, "null", 1
"biglm", "biglm", 3, 0, 0, "logical", 1
"biglm", "bigqr.init", -1, 0, 0, "class<`bigqr`>", 1
"biglm", "bigqr.init", 0, 0, 0, "double", 1
"biglm", "coef.biglm", -1, 0, 0, "double[]", 1
"biglm", "coef.biglm", 0, 0, 0, "class<`bigglm`, `biglm`>", 1
"biglm", "coef.biglm", 0, 0, 1, "class<`biglm`>", 1
"biglm", "coef.biglm", 1, 0, 0, "...", 1
"biglm", "coef.bigqr", -1, 0, 0, "double[]", 1
"biglm", "coef.bigqr", 0, 0, 0, "class<`bigqr`>", 1
"biglm", "coef.bigqr", 1, 0, 0, "null", 1
"biglm", "coef.bigqr", 2, 0, 0, "...", 1
"biglm", "data", -1, 0, 0, "(class<`data.frame`> | null)", 1
"biglm", "data", 0, 0, 0, "logical", 1
"biglm", "deviance.bigglm", -1, 0, 0, "double", 1
"biglm", "deviance.bigglm", 0, 0, 0, "class<`bigglm`, `biglm`>", 1
"biglm", "deviance.bigglm", 1, 0, 0, "...", 1
"biglm", "deviance.biglm", -1, 0, 0, "double", 1
"biglm", "deviance.biglm", 0, 0, 0, "class<`biglm`>", 1
"biglm", "deviance.biglm", 1, 0, 0, "...", 1
