package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"bindata", "check.commonprob", -1, 0, 0, "logical", 1
"bindata", "check.commonprob", 0, 0, 0, "^double[]", 1
"bindata", "commonprob2sigma", -1, 0, 0, "^double[]", 1
"bindata", "commonprob2sigma", 0, 0, 0, "^double[]", 1
"bindata", "commonprob2sigma", 1, 0, 0, "null", 1
"bindata", "filter", -1, 0, 0, "logical[]", 1
"bindata", "filter", 0, 0, 0, "character[]", 1
"bindata", "ra2ba", -1, 0, 0, "^double[]", 1
"bindata", "ra2ba", 0, 0, 0, "^double[]", 1
"bindata", "rmvbin", -1, 0, 0, "^double[]", 1
"bindata", "rmvbin", 0, 0, 0, "double", 1
"bindata", "rmvbin", 1, 0, 0, "double[]", 1
"bindata", "rmvbin", 1, 0, 1, "null", 1
"bindata", "rmvbin", 2, 0, 0, "language", 1
"bindata", "rmvbin", 2, 0, 1, "^double[]", 1
"bindata", "rmvbin", 3, 0, 0, "language", 1
"bindata", "rmvbin", 4, 0, 0, "^double[]", 1
"bindata", "rmvbin", 4, 0, 1, "language", 1
"bindata", "rmvbin", 5, 0, 0, "null", 1
"bindata", "rmvbin", 6, 0, 0, "null", 1
"bindata", "simul.commonprob", -1, 0, 0, "double[]", 1
"bindata", "simul.commonprob", 0, 0, 0, "double[]", 1
"bindata", "simul.commonprob", 1, 0, 0, "double[]", 1
"bindata", "simul.commonprob", 2, 0, 0, "character", 1
"bindata", "simul.commonprob", 3, 0, 0, "double", 1
"bindata", "simul.commonprob", 4, 0, 0, "double", 1
