package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"bit64", "-.integer64", -1, 0, 0, "double[]", 1
"bit64", "-.integer64", 0, 0, 0, "null", 1
"bit64", "-.integer64", 0, 0, 1, "double[]", 1
"bit64", "-.integer64", 1, 0, 0, "double[]", 1
"bit64", "-.integer64", 1, 0, 1, "null", 1
"bit64", ":.default", -1, 0, 0, "integer[]", 1
"bit64", ":.default", 0, 0, 0, "double", 1
"bit64", ":.default", 1, 0, 0, "double", 1
"bit64", ":.integer64", -1, 0, 0, "double[]", 1
"bit64", ":.integer64", 0, 0, 0, "double", 1
"bit64", ":.integer64", 1, 0, 0, "double", 1
"bit64", "!.integer64", -1, 0, 0, "^logical[]", 1
"bit64", "!.integer64", 0, 0, 0, "double[]", 1
"bit64", "!=.integer64", -1, 0, 0, "^logical[]", 1
"bit64", "!=.integer64", 0, 0, 0, "double[]", 1
"bit64", "!=.integer64", 1, 0, 0, "double[]", 1
"bit64", "[.integer64", -1, 0, 0, "^double[]", 1
"bit64", "[.integer64", 0, 0, 0, "^double[]", 1
"bit64", "[.integer64", 1, 0, 0, "null", 1
"bit64", "[.integer64", 1, 0, 1, "double[]", 1
"bit64", "[[.integer64", -1, 0, 0, "double", 1
"bit64", "[[.integer64", 0, 0, 0, "double[]", 1
"bit64", "[[.integer64", 1, 0, 0, "double", 1
"bit64", "[[<-.integer64", -1, 0, 0, "double[]", 1
"bit64", "[[<-.integer64", 0, 0, 0, "double[]", 1
"bit64", "[[<-.integer64", 1, 0, 0, "double", 1
"bit64", "[[<-.integer64", 2, 0, 0, "double", 1
"bit64", "[<-.integer64", -1, 0, 0, "^double[]", 1
"bit64", "[<-.integer64", 0, 0, 0, "^double[]", 1
"bit64", "[<-.integer64", 1, 0, 0, "character", 1
"bit64", "[<-.integer64", 1, 0, 1, "double", 1
"bit64", "[<-.integer64", 1, 0, 2, "integer[]", 1
"bit64", "[<-.integer64", 1, 0, 3, "null", 1
"bit64", "[<-.integer64", 2, 0, 0, "null", 1
"bit64", "[<-.integer64", 2, 0, 1, "integer[]", 1
"bit64", "[<-.integer64", 2, 0, 2, "double", 1
"bit64", "*.integer64", -1, 0, 0, "double[]", 1
"bit64", "*.integer64", 0, 0, 0, "double[]", 1
"bit64", "*.integer64", 1, 0, 0, "double[]", 1
"bit64", "/.integer64", -1, 0, 0, "double[]", 1
"bit64", "/.integer64", 0, 0, 0, "double[]", 1
"bit64", "/.integer64", 1, 0, 0, "double", 1
"bit64", "&.integer64", -1, 0, 0, "^logical[]", 1
"bit64", "&.integer64", 0, 0, 0, "double[]", 1
"bit64", "&.integer64", 1, 0, 0, "double[]", 1
"bit64", "%/%.integer64", -1, 0, 0, "double[]", 1
"bit64", "%/%.integer64", 0, 0, 0, "double[]", 1
"bit64", "%/%.integer64", 1, 0, 0, "double", 1
"bit64", "%in%.default", -1, 0, 0, "logical[]", 1
"bit64", "%in%.default", 0, 0, 0, "^integer[]", 1
"bit64", "%in%.default", 0, 0, 1, "character", 1
"bit64", "%in%.default", 0, 0, 2, "double", 1
"bit64", "%in%.default", 1, 0, 0, "^integer[]", 1
"bit64", "%in%.default", 1, 0, 1, "character[]", 1
"bit64", "%in%.integer64", -1, 0, 0, "logical[]", 1
"bit64", "%in%.integer64", 0, 0, 0, "double[]", 1
"bit64", "%in%.integer64", 1, 0, 0, "double[]", 1
"bit64", "%in%.integer64", 2, 0, 0, "null", 1
"bit64", "^.integer64", -1, 0, 0, "double[]", 1
"bit64", "^.integer64", 0, 0, 0, "double[]", 1
"bit64", "^.integer64", 1, 0, 0, "double[]", 1
"bit64", "+.integer64", -1, 0, 0, "^double[]", 1
"bit64", "+.integer64", 0, 0, 0, "null", 1
"bit64", "+.integer64", 0, 0, 1, "^double[]", 1
"bit64", "+.integer64", 1, 0, 0, "double[]", 1
"bit64", "<.integer64", -1, 0, 0, "^logical[]", 1
"bit64", "<.integer64", 0, 0, 0, "double[]", 1
"bit64", "<.integer64", 1, 0, 0, "double[]", 1
"bit64", "<=.integer64", -1, 0, 0, "^logical[]", 1
"bit64", "<=.integer64", 0, 0, 0, "double[]", 1
"bit64", "<=.integer64", 1, 0, 0, "double[]", 1
"bit64", "==.integer64", -1, 0, 0, "^logical[]", 1
"bit64", "==.integer64", 0, 0, 0, "double[]", 1
"bit64", "==.integer64", 1, 0, 0, "double[]", 1
"bit64", ">.integer64", -1, 0, 0, "^logical[]", 1
"bit64", ">.integer64", 0, 0, 0, "double[]", 1
"bit64", ">.integer64", 1, 0, 0, "double[]", 1
"bit64", ">=.integer64", -1, 0, 0, "^logical[]", 1
"bit64", ">=.integer64", 0, 0, 0, "double[]", 1
"bit64", ">=.integer64", 1, 0, 0, "double[]", 1
"bit64", "|.integer64", -1, 0, 0, "^logical[]", 1
"bit64", "|.integer64", 0, 0, 0, "double[]", 1
"bit64", "|.integer64", 1, 0, 0, "double[]", 1
"bit64", "A", -1, 0, 0, "double[]", 1
"bit64", "A", 0, 0, 0, "double", 1
"bit64", "abs.integer64", -1, 0, 0, "double[]", 1
"bit64", "abs.integer64", 0, 0, 0, "double[]", 1
"bit64", "all.integer64", -1, 0, 0, "null", 1
"bit64", "all.integer64", 0, 0, 0, "double[]", 1
"bit64", "all.integer64", 1, 0, 0, "logical", 1
