package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"boot", "filter", -1, 0, 0, "logical[]", 1
"boot", "filter", 0, 0, 0, "character[]", 1
"boot", "::", -1, 0, 0, "struct<`res`:double[], `rd`:double[], `rp`:double[], `cook`:double[], `h`:double[], `sd`:double>", 1
"boot", "::", 0, 0, 0, "struct<`coefficients`:double[], `residuals`:double[], `fitted.values`:double[], `effects`:double[], `R`:^double[], `rank`:integer, `qr`:struct<`qr`:^double[], `rank`:integer, `qraux`:double[], `pivot`:integer[], `tol`:double>, `family`:struct<`family`:character, `link`:character, `linkfun`:any => any, `linkinv`:any => any, `variance`:any => any, `dev.resids`:any => any, `aic`:any => any, `mu.eta`:any => any, `initialize`:expression, `validmu`:any => any, `valideta`:any => any>, `linear.predictors`:double[], `deviance`:double, `aic`:double, `null.deviance`:double, `iter`:integer, `weights`:double[], `prior.weights`:double[], `df.residual`:integer, `df.null`:integer, `y`:double[], `converged`:logical, `boundary`:logical, `model`:struct<`d$acme`:double[], `d$market`:double[]>, `call`:language, `formula`:language, `terms`:language, `data`:environment, `offset`:null, `control`:struct<`epsilon`:double, `maxit`:double, `trace`:logical>, `method`:character, `contrasts`:null, `xlevels`:tuple<>>", 1
"boot", "::", 0, 0, 1, "struct<`d$acme`:double[], `d$market`:double[]>", 1
"boot", "::", 1, 0, 0, "any => any", 1
"boot", "::", 2, 0, 0, "double", 1
"boot", "::", 3, 0, 0, "character", 1
"boot", "::", 4, 0, 0, "struct<>", 1
"boot", "::", 4, 0, 1, "language", 1
"boot", "::", 5, 0, 0, "null", 1
"boot", "::", 5, 0, 1, "integer", 1
"boot", "::", 5, 0, 2, "character", 1
"boot", "::", 6, 0, 0, "null", 1
"boot", "::", 7, 0, 0, "double", 1
"boot", "::", 8, 0, 0, "null", 1
"boot", "::", 9, 0, 0, "language", 1
"boot", "::", 10, 0, 0, "null", 1
"boot", "::", 11, 0, 0, "logical", 1
"boot", "::", 12, 0, 0, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `contrasts`:struct<`Species`:character>, `xlevels`:struct<`Species`:character[]>, `call`:language, `terms`:language, `model`:struct<`Sepal.Length`:double[], `Species`:integer[], `Petal.Width`:double[]>>", 1
"boot", "::", 12, 0, 1, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `xlevels`:tuple<>, `call`:language, `terms`:language, `model`:struct<`mpg`:double[], `wt`:double[], `cyl`:double[]>>", 1
"boot", "::", 13, 0, 0, "null", 1
"boot", "::", 13, 0, 1, "integer", 1
"boot", "::", 13, 0, 2, "character", 1
"boot", "::", 14, 0, 0, "integer", 1
"boot", "::", 15, 0, 0, "null", 1
