package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"cartography", "barscale", -1, 0, 0, "null", 1
"cartography", "barscale", 0, 0, 0, "any", 1
"cartography", "barscale", 1, 0, 0, "double", 1
"cartography", "barscale", 2, 0, 0, "double", 1
"cartography", "barscale", 3, 0, 0, "character", 1
"cartography", "barscale", 3, 0, 1, "double[]", 1
"cartography", "barscale", 4, 0, 0, "character", 1
"cartography", "carto.pal", -1, 0, 0, "character[]", 1
"cartography", "carto.pal", 0, 0, 0, "character", 1
"cartography", "carto.pal", 1, 0, 0, "double", 1
"cartography", "carto.pal", 2, 0, 0, "character", 1
"cartography", "carto.pal", 2, 0, 1, "null", 1
"cartography", "carto.pal", 3, 0, 0, "double", 1
"cartography", "carto.pal", 3, 0, 1, "null", 1
"cartography", "carto.pal", 4, 0, 0, "logical", 1
"cartography", "carto.pal", 5, 0, 0, "logical", 1
"cartography", "carto.pal.info", -1, 0, 0, "character[]", 1
"cartography", "choro", -1, 0, 0, "list<character[] | double[]>", 1
"cartography", "choro", 0, 0, 0, "class<`units`>", 1
"cartography", "choro", 0, 0, 1, "double[]", 1
"cartography", "choro", 1, 0, 0, "null", 1
"cartography", "choro", 2, 0, 0, "character[]", 1
"cartography", "choro", 2, 0, 1, "null", 1
"cartography", "choro", 3, 0, 0, "double", 1
"cartography", "choro", 3, 0, 1, "null", 1
"cartography", "choro", 4, 0, 0, "character", 1
"cartography", "choroLayer", -1, 0, 0, "null", 1
"cartography", "choroLayer", 0, 0, 0, "class<`data.frame`, `sf`>", 1
"cartography", "choroLayer", 1, 0, 0, "any", 1
"cartography", "choroLayer", 2, 0, 0, "any", 1
"cartography", "choroLayer", 3, 0, 0, "null", 1
"cartography", "choroLayer", 4, 0, 0, "null", 1
"cartography", "choroLayer", 5, 0, 0, "character", 1
"cartography", "choroLayer", 6, 0, 0, "null", 1
"cartography", "choroLayer", 7, 0, 0, "character", 1
"cartography", "choroLayer", 8, 0, 0, "double", 1
"cartography", "choroLayer", 8, 0, 1, "null", 1
"cartography", "choroLayer", 9, 0, 0, "null", 1
"cartography", "choroLayer", 9, 0, 1, "character[]", 1
"cartography", "choroLayer", 10, 0, 0, "character", 1
"cartography", "choroLayer", 11, 0, 0, "double", 1
"cartography", "discLayer", -1, 0, 0, "class<`data.frame`, `sf`>", 1
"cartography", "discLayer", 0, 0, 0, "class<`data.frame`, `sf`>", 1
"cartography", "discLayer", 1, 0, 0, "class<`data.frame`, `sf`>", 1
"cartography", "discLayer", 2, 0, 0, "null", 1
"cartography", "discLayer", 3, 0, 0, "character", 1
