package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"checkmate", "%null |null |%", -1, 0, 0, "null", 1
"checkmate", "%null |null |%", 0, 0, 0, "null", 1
"checkmate", "%null |null |%", 0, 0, 1, "any => any", 1
"checkmate", "%null |null |%", 0, 0, 2, "character[]", 1
"checkmate", "%null |null |%", 0, 0, 3, "tuple<>", 1
"checkmate", "%null |null |%", 0, 0, 4, "struct<`foo`:character>", 1
"checkmate", "%null |null |%", 0, 0, 5, "double", 1
"checkmate", "%null |null |%", 0, 0, 6, "integer[]", 1
"checkmate", "%null |null |%", 1, 0, 0, "null", 1
"checkmate", "%null |null |%", 1, 0, 1, "language", 1
"checkmate", "%null |null |%", 1, 0, 2, "character", 1
"checkmate", "%null |null |%", 1, 0, 3, "any => any", 1
"checkmate", "%null |null |%", 1, 0, 4, "struct<>", 1
"checkmate", "%null |null |%", 1, 0, 5, "environment", 1
"checkmate", "%null |null |%", 1, 0, 6, "tuple<>", 1
"checkmate", "%null |null |%", 1, 0, 7, "double", 1
"checkmate", "%null |null |%", 1, 0, 8, "integer[]", 1
"checkmate", "%null |null |%", -1, 1, 0, "any", 1
