package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"checkr", "cc_and", -1, 0, 0, "character", 1
"checkr", "cc_and", 0, 0, 0, "character[]", 1
"checkr", "cc_and", 0, 0, 1, "double[]", 1
"checkr", "cc_or", -1, 0, 0, "character", 1
"checkr", "cc_or", 0, 0, 0, "character[]", 1
"checkr", "check_attributes", -1, 0, 0, "class<`Date`>", 1
"checkr", "check_attributes", -1, 0, 1, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_attributes", -1, 0, 2, "double", 1
"checkr", "check_attributes", -1, 0, 3, "integer[]", 1
"checkr", "check_attributes", 0, 0, 0, "class<`Date`>", 1
"checkr", "check_attributes", 0, 0, 1, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_attributes", 0, 0, 2, "double", 1
"checkr", "check_attributes", 0, 0, 3, "integer[]", 1
"checkr", "check_attributes", 1, 0, 0, "null", 1
"checkr", "check_attributes", 1, 0, 1, "list<integer[]>", 1
"checkr", "check_attributes", 2, 0, 0, "logical", 1
"checkr", "check_attributes", 3, 0, 0, "logical", 1
"checkr", "check_attributes", 4, 0, 0, "logical", 1
"checkr", "check_attributes", 5, 0, 0, "logical", 1
"checkr", "check_attributes", 6, 0, 0, "character", 1
"checkr", "check_attributes", 6, 0, 1, "class<`name`>", 1
"checkr", "check_attributes", 7, 0, 0, "logical", 1
"checkr", "check_character", -1, 0, 0, "character[]", 1
"checkr", "check_character", -1, 0, 1, "integer[]", 1
"checkr", "check_character", 0, 0, 0, "character[]", 1
"checkr", "check_character", 0, 0, 1, "integer[]", 1
"checkr", "check_character", 1, 0, 0, "logical", 1
"checkr", "check_character", 2, 0, 0, "character", 1
"checkr", "check_character", 2, 0, 1, "class<`call`>", 1
"checkr", "check_character", 3, 0, 0, "logical", 1
"checkr", "check_chr", -1, 0, 0, "character[]", 1
"checkr", "check_chr", -1, 0, 1, "double", 1
"checkr", "check_chr", 0, 0, 0, "character[]", 1
"checkr", "check_chr", 0, 0, 1, "double", 1
"checkr", "check_chr", 1, 0, 0, "logical", 1
"checkr", "check_chr", 2, 0, 0, "class<`call`>", 1
"checkr", "check_chr", 2, 0, 1, "character", 1
"checkr", "check_chr", 2, 0, 2, "double", 1
"checkr", "check_chr", 3, 0, 0, "logical", 1
"checkr", "check_classes", -1, 0, 0, "list<any>", 1
"checkr", "check_classes", 0, 0, 0, "list<any>", 1
"checkr", "check_classes", 1, 0, 0, "character[]", 1
"checkr", "check_classes", 2, 0, 0, "logical", 1
"checkr", "check_classes", 3, 0, 0, "logical", 1
"checkr", "check_classes", 4, 0, 0, "class<`call`>", 1
"checkr", "check_classes", 5, 0, 0, "logical", 1
"checkr", "check_class_internal", -1, 0, 0, "character[]", 1
"checkr", "check_class_internal", -1, 0, 1, "class<`Date`>", 1
"checkr", "check_class_internal", -1, 0, 2, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_class_internal", -1, 0, 3, "double[]", 1
"checkr", "check_class_internal", -1, 0, 4, "^integer[]", 1
"checkr", "check_class_internal", 0, 0, 0, "character[]", 1
"checkr", "check_class_internal", 0, 0, 1, "class<`Date`>", 1
"checkr", "check_class_internal", 0, 0, 2, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_class_internal", 0, 0, 3, "double[]", 1
"checkr", "check_class_internal", 0, 0, 4, "^integer[]", 1
"checkr", "check_class_internal", 1, 0, 0, "^character[]", 1
"checkr", "check_class_internal", 1, 0, 1, "class<`Date`>", 1
"checkr", "check_class_internal", 1, 0, 2, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_class_internal", 1, 0, 3, "^double[]", 1
"checkr", "check_class_internal", 1, 0, 4, "null", 1
"checkr", "check_class_internal", 2, 0, 0, "character", 1
"checkr", "check_class_internal", 3, 0, 0, "logical", 1
"checkr", "check_colnames", -1, 0, 0, "class<`data.frame`>", 1
"checkr", "check_colnames", 0, 0, 0, "class<`data.frame`>", 1
"checkr", "check_colnames", 1, 0, 0, "character[]", 1
"checkr", "check_colnames", 2, 0, 0, "logical", 1
"checkr", "check_colnames", 3, 0, 0, "logical", 1
"checkr", "check_colnames", 4, 0, 0, "character", 1
"checkr", "check_colnames", 4, 0, 1, "class<`name`>", 1
"checkr", "check_colnames", 5, 0, 0, "logical", 1
"checkr", "check_count", -1, 0, 0, "double", 1
"checkr", "check_count", 0, 0, 0, "double", 1
"checkr", "check_count", 1, 0, 0, "logical", 1
"checkr", "check_count", 2, 0, 0, "double", 1
"checkr", "check_count", 2, 0, 1, "class<`call`>", 1
"checkr", "check_count", 3, 0, 0, "logical", 1
"checkr", "check_data", -1, 0, 0, "class<`data.frame`>", 1
"checkr", "check_data", 0, 0, 0, "class<`data.frame`>", 1
"checkr", "check_data", 1, 0, 0, "null", 1
"checkr", "check_data", 1, 0, 1, "list<null | double[]>", 1
"checkr", "check_data", 2, 0, 0, "null", 1
"checkr", "check_data", 2, 0, 1, "integer", 1
"checkr", "check_data", 3, 0, 0, "logical", 1
"checkr", "check_data", 4, 0, 0, "logical", 1
"checkr", "check_data", 5, 0, 0, "character[]", 1
"checkr", "check_data", 6, 0, 0, "character", 1
"checkr", "check_data", 6, 0, 1, "class<`name`>", 1
"checkr", "check_data", 7, 0, 0, "logical", 1
"checkr", "check_date", -1, 0, 0, "class<`Date`>", 1
"checkr", "check_date", -1, 0, 1, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_date", 0, 0, 0, "class<`Date`>", 1
"checkr", "check_date", 0, 0, 1, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_date", 1, 0, 0, "logical", 1
"checkr", "check_date", 2, 0, 0, "class<`call`>", 1
"checkr", "check_date", 3, 0, 0, "logical", 1
"checkr", "check_dbl", -1, 0, 0, "double[]", 1
"checkr", "check_dbl", 0, 0, 0, "double[]", 1
"checkr", "check_dbl", 1, 0, 0, "logical", 1
"checkr", "check_dbl", 2, 0, 0, "class<`call`>", 1
"checkr", "check_dbl", 2, 0, 1, "double", 1
"checkr", "check_dbl", 3, 0, 0, "logical", 1
"checkr", "check_dttm", -1, 0, 0, "class<`Date`>", 1
"checkr", "check_dttm", -1, 0, 1, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_dttm", 0, 0, 0, "class<`Date`>", 1
"checkr", "check_dttm", 0, 0, 1, "class<`POSIXct`, `POSIXt`>", 1
"checkr", "check_dttm", 1, 0, 0, "logical", 1
"checkr", "check_dttm", 2, 0, 0, "character", 1
"checkr", "check_dttm", 3, 0, 0, "class<`call`>", 1
"checkr", "check_dttm", 4, 0, 0, "logical", 1
"checkr", "check_environment", -1, 0, 0, "double", 1
"checkr", "check_environment", -1, 0, 1, "environment", 1
"checkr", "check_environment", 0, 0, 0, "double", 1
"checkr", "check_environment", 0, 0, 1, "environment", 1
"checkr", "check_environment", 1, 0, 0, "double", 1
"checkr", "check_environment", 1, 0, 1, "class<`name`>", 1
"checkr", "check_environment", 2, 0, 0, "logical", 1
"checkr", "check_flag", -1, 0, 0, "logical", 1
"checkr", "check_flag", 0, 0, 0, "logical", 1
"checkr", "check_flag", 1, 0, 0, "logical", 1
"checkr", "check_flag", 2, 0, 0, "class<`name`>", 1
"checkr", "check_flag", 3, 0, 0, "logical", 1
"checkr", "check_flag_internal", -1, 0, 0, "null", 1
"checkr", "check_flag_internal", 0, 0, 0, "logical", 1
"checkr", "check_function", -1, 0, 0, "class<`function`>", 1
"checkr", "check_function", 0, 0, 0, "class<`function`>", 1
"checkr", "check_function", 1, 0, 0, "integer", 1
"checkr", "check_function", 1, 0, 1, "null", 1
