package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"chemometrics", "clvalidity", -1, 0, 0, "struct<`validity`:^double[]>", 1
"chemometrics", "clvalidity", 0, 0, 0, "^double[]", 1
"chemometrics", "clvalidity", 1, 0, 0, "integer[]", 1
"chemometrics", "delintercept", -1, 0, 0, "^double[]", 1
"chemometrics", "delintercept", 0, 0, 0, "^double[]", 1
"chemometrics", "drawMahal", -1, 0, 0, "null", 1
"chemometrics", "drawMahal", 0, 0, 0, "^double[]", 1
"chemometrics", "drawMahal", 1, 0, 0, "double[]", 1
"chemometrics", "drawMahal", 2, 0, 0, "^double[]", 1
"chemometrics", "drawMahal", 3, 0, 0, "double", 1
"chemometrics", "drawMahal", 4, 0, 0, "double", 1
"chemometrics", "drawMahal", 5, 0, 0, "double", 1
"chemometrics", "drawMahal", 6, 0, 0, "double[]", 1
"chemometrics", "error.bars", -1, 0, 0, "double[]", 1
"chemometrics", "error.bars", 0, 0, 0, "integer[]", 1
"chemometrics", "error.bars", 1, 0, 0, "double[]", 1
"chemometrics", "error.bars", 2, 0, 0, "double[]", 1
"chemometrics", "error.bars", 3, 0, 0, "double", 1
"chemometrics", "error.bars", 4, 0, 0, "double", 1
"chemometrics", "evalSE", -1, 0, 0, "struct<`mean`:double, `se`:double, `all`:double[]>", 1
"chemometrics", "evalSE", 0, 0, 0, "integer[]", 1
"chemometrics", "evalSE", 1, 0, 0, "integer[]", 1
"chemometrics", "evalSE", 2, 0, 0, "integer[]", 1
"chemometrics", "evalSE", 3, 0, 0, "character[]", 1
"chemometrics", "evalSEfac", -1, 0, 0, "struct<`mean`:double, `se`:double, `all`:double[]>", 1
"chemometrics", "evalSEfac", 0, 0, 0, "integer[]", 1
"chemometrics", "evalSEfac", 1, 0, 0, "integer[]", 1
"chemometrics", "evalSEfac", 2, 0, 0, "integer[]", 1
"chemometrics", "evalSEfac", 3, 0, 0, "character[]", 1
"chemometrics", "filter", -1, 0, 0, "logical[]", 1
"chemometrics", "filter", 0, 0, 0, "character[]", 1
"chemometrics", "form", -1, 0, 0, "language", 1
"chemometrics", "form", 0, 0, 0, "double[]", 1
"chemometrics", "form", 1, 0, 0, "character[]", 1
"chemometrics", "knnEval", -1, 0, 0, "struct<`trainerr`:double[], `testerr`:double[], `cvMean`:double[], `cvSe`:double[], `cverr`:^double[], `knnvec`:double[]>", 1
"chemometrics", "knnEval", 0, 0, 0, "^double[]", 1
"chemometrics", "knnEval", 0, 0, 1, "struct<>", 1
"chemometrics", "knnEval", 1, 0, 0, "integer[]", 1
"chemometrics", "knnEval", 2, 0, 0, "integer[]", 1
"chemometrics", "knnEval", 3, 0, 0, "double", 1
"chemometrics", "knnEval", 4, 0, 0, "double[]", 1
"chemometrics", "knnEval", 5, 0, 0, "logical", 1
"chemometrics", "knnEval", 6, 0, 0, "logical", 1
"chemometrics", "knnEval", 7, 0, 0, "character", 1
"chemometrics", "knnEval", 8, 0, 0, "null", 1
"chemometrics", "lassocoef", -1, 0, 0, "struct<`coefficients`:double[], `sopt`:double, `numb.zero`:integer, `numb.nonzero`:integer, `ind`:integer>", 1
"chemometrics", "lassocoef", 0, 0, 0, "language", 1
"chemometrics", "lassocoef", 1, 0, 0, "symbol", 1
"chemometrics", "lassocoef", 2, 0, 0, "double", 1
"chemometrics", "lassocoef", 3, 0, 0, "logical", 1
"chemometrics", "lassocoef", 4, 0, 0, "null", 1
"chemometrics", "lmCV", -1, 0, 0, "struct<`residuals`:^double[], `predicted`:^double[], `SEP`:double[], `SEPm`:double, `RMSEP`:double[], `RMSEPm`:double>", 1
"chemometrics", "lmCV", 0, 0, 0, "language", 1
"chemometrics", "lmCV", 0, 0, 1, "symbol", 1
"chemometrics", "lmCV", 1, 0, 0, "symbol", 1
"chemometrics", "lmCV", 2, 0, 0, "double", 1
"chemometrics", "lmCV", 3, 0, 0, "double", 1
"chemometrics", "lmCV", 4, 0, 0, "character[]", 1
"chemometrics", "lmCV", 5, 0, 0, "null", 1
"chemometrics", "lmCV", 6, 0, 0, "logical", 1
"chemometrics", "lmCV", 7, 0, 0, "null", 1
"chemometrics", "mkTable", -1, 0, 0, "struct<`miscl`:double, `tab`:^double[]>", 1
"chemometrics", "mkTable", 0, 0, 0, "integer[]", 1
"chemometrics", "mkTable", 1, 0, 0, "^integer[]", 1
"chemometrics", "mkTable", 2, 0, 0, "character[]", 1
"chemometrics", "Moutlier", -1, 0, 0, "struct<`md`:double[], `rd`:double[], `cutoff`:double>", 1
"chemometrics", "Moutlier", 0, 0, 0, "^double[]", 1
"chemometrics", "Moutlier", 1, 0, 0, "double", 1
"chemometrics", "Moutlier", 2, 0, 0, "logical", 1
"chemometrics", "Moutlier", 3, 0, 0, "double[]", 1
"chemometrics", "mvr_dcv", -1, 0, 0, "struct<`resopt`:double[], `predopt`:double[], `optcomp`:^integer[], `pred`:double[], `SEPopt`:double, `sIQRopt`:double, `sMADopt`:double, `MSEPopt`:double, `afinal`:double, `SEPfinal`:double[]>", 1
"chemometrics", "mvr_dcv", 0, 0, 0, "language", 1
"chemometrics", "mvr_dcv", 1, 0, 0, "double", 1
"chemometrics", "mvr_dcv", 2, 0, 0, "struct<`X.X1115.0`:double[], `X.X1120.0`:double[], `X.X1125.0`:double[], `X.X1130.0`:double[], `X.X1135.0`:double[], `X.X1140.0`:double[], `X.X1145.0`:double[], `X.X1150.0`:double[], `X.X1155.0`:double[], `X.X1160.0`:double[], `X.X1165.0`:double[], `X.X1170.0`:double[], `X.X1175.0`:double[], `X.X1180.0`:double[], `X.X1185.0`:double[], `X.X1190.0`:double[], `X.X1195.0`:double[], `X.X1200.0`:double[], `X.X1205.0`:double[], `X.X1210.0`:double[], `X.X1215.0`:double[], `X.X1220.0`:double[], `X.X1225.0`:double[], `X.X1230.0`:double[], `X.X1235.0`:double[], `X.X1240.0`:double[], `X.X1245.0`:double[], `X.X1250.0`:double[], `X.X1255.0`:double[], `X.X1260.0`:double[], `X.X1265.0`:double[], `X.X1270.0`:double[], `X.X1275.0`:double[], `X.X1280.0`:double[], `X.X1285.0`:double[], `X.X1290.0`:double[], `X.X1295.0`:double[], `X.X1300.0`:double[], `X.X1305.0`:double[], `X.X1310.0`:double[], `X.X1315.0`:double[], `X.X1320.0`:double[], `X.X1325.0`:double[], `X.X1330.0`:double[], `X.X1335.0`:double[], `X.X1340.0`:double[], `X.X1345.0`:double[], `X.X1350.0`:double[], `X.X1355.0`:double[], `X.X1360.0`:double[], `X.X1365.0`:double[], `X.X1370.0`:double[], `X.X1375.0`:double[], `X.X1380.0`:double[], `X.X1385.0`:double[], `X.X1390.0`:double[], `X.X1395.0`:double[], `X.X1400.0`:double[], `X.X1405.0`:double[], `X.X1410.0`:double[], `X.X1415.0`:double[], `X.X1420.0`:double[], `X.X1425.0`:double[], `X.X1430.0`:double[], `X.X1435.0`:double[], `X.X1440.0`:double[], `X.X1445.0`:double[], `X.X1450.0`:double[], `X.X1455.0`:double[], `X.X1460.0`:double[], `X.X1465.0`:double[], `X.X1470.0`:double[], `X.X1475.0`:double[], `X.X1480.0`:double[], `X.X1485.0`:double[], `X.X1490.0`:double[], `X.X1495.0`:double[], `X.X1500.0`:double[], `X.X1505.0`:double[], `X.X1510.0`:double[], `X.X1515.0`:double[], `X.X1520.0`:double[], `X.X1525.0`:double[], `X.X1530.0`:double[], `X.X1535.0`:double[], `X.X1540.0`:double[], `X.X1545.0`:double[], `X.X1550.0`:double[], `X.X1555.0`:double[], `X.X1560.0`:double[], `X.X1565.0`:double[], `X.X1570.0`:double[], `X.X1575.0`:double[], `X.X1580.0`:double[], `X.X1585.0`:double[], `X.X1590.0`:double[], `X.X1595.0`:double[], `X.X1600.0`:double[], `X.X1605.0`:double[], `X.X1610.0`:double[], `X.X1615.0`:double[], `X.X1620.0`:double[], `X.X1625.0`:double[], `X.X1630.0`:double[], `X.X1635.0`:double[], `X.X1640.0`:double[], `X.X1645.0`:double[], `X.X1650.0`:double[], `X.X1655.0`:double[], `X.X1660.0`:double[], `X.X1665.0`:double[], `X.X1670.0`:double[], `X.X1675.0`:double[], `X.X1680.0`:double[], `X.X1685.0`:double[], `X.X1690.0`:double[], `X.X1695.0`:double[], `X.X1700.0`:double[], `X.X1705.0`:double[], `X.X1710.0`:double[], `X.X1715.0`:double[], `X.X1720.0`:double[], `X.X1725.0`:double[], `X.X1730.0`:double[], `X.X1735.0`:double[], `X.X1740.0`:double[], `X.X1745.0`:double[], `X.X1750.0`:double[], `X.X1755.0`:double[], `X.X1760.0`:double[], `X.X1765.0`:double[], `X.X1770.0`:double[], `X.X1775.0`:double[], `X.X1780.0`:double[], `X.X1785.0`:double[], `X.X1790.0`:double[], `X.X1795.0`:double[], `X.X1800.0`:double[], `X.X1805.0`:double[], `X.X1810.0`:double[], `X.X1815.0`:double[], `X.X1820.0`:double[], `X.X1825.0`:double[], `X.X1830.0`:double[], `X.X1835.0`:double[], `X.X1840.0`:double[], `X.X1845.0`:double[], `X.X1850.0`:double[], `X.X1855.0`:double[], `X.X1860.0`:double[], `X.X1865.0`:double[], `X.X1870.0`:double[], `X.X1875.0`:double[], `X.X1880.0`:double[], `X.X1885.0`:double[], `X.X1890.0`:double[], `X.X1895.0`:double[], `X.X1900.0`:double[], `X.X1905.0`:double[], `X.X1910.0`:double[], `X.X1915.0`:double[], `X.X1920.0`:double[], `X.X1925.0`:double[], `X.X1930.0`:double[], `X.X1935.0`:double[], `X.X1940.0`:double[], `X.X1945.0`:double[], `X.X1950.0`:double[], `X.X1955.0`:double[], `X.X1960.0`:double[], `X.X1965.0`:double[], `X.X1970.0`:double[], `X.X1975.0`:double[], `X.X1980.0`:double[], `X.X1985.0`:double[], `X.X1990.0`:double[], `X.X1995.0`:double[], `X.X2000.0`:double[], `X.X2005.0`:double[], `X.X2010.0`:double[], `X.X2015.0`:double[], `X.X2020.0`:double[], `X.X2025.0`:double[], `X.X2030.0`:double[], `X.X2035.0`:double[], `X.X2040.0`:double[], `X.X2045.0`:double[], `X.X2050.0`:double[], `X.X2055.0`:double[], `X.X2060.0`:double[], `X.X2065.0`:double[], `X.X2070.0`:double[], `X.X2075.0`:double[], `X.X2080.0`:double[], `X.X2085.0`:double[], `X.X2090.0`:double[], `X.X2095.0`:double[], `X.X2100.0`:double[], `X.X2105.0`:double[], `X.X2110.0`:double[], `X.X2115.0`:double[], `X.X2120.0`:double[], `X.X2125.0`:double[], `X.X2130.0`:double[], `X.X2135.0`:double[], `X.X2140.0`:double[], `X.X2145.0`:double[], `X.X2150.0`:double[], `X.X2155.0`:double[], `X.X2160.0`:double[], `X.X2165.0`:double[], `X.X2170.0`:double[], `X.X2175.0`:double[], `X.X2180.0`:double[], `X.X2185.0`:double[], `X.X2190.0`:double[], `X.X2195.0`:double[], `X.X2200.0`:double[], `X.X2205.0`:double[], `X.X2210.0`:double[], `X.X2215.0`:double[], `X.X2220.0`:double[], `X.X2225.0`:double[], `X.X2230.0`:double[], `X.X2235.0`:double[], `X.X2240.0`:double[], `X.X2245.0`:double[], `X.X2250.0`:double[], `X.X2255.0`:double[], `X.X2260.0`:double[], `X.X2265.0`:double[], `X.X2270.0`:double[], `X.X2275.0`:double[], `X.X2280.0`:double[], `X.X2285.0`:double[], `y`:double[]>", 1
"chemometrics", "mvr_dcv", 3, 0, 0, "null", 1
"chemometrics", "mvr_dcv", 4, 0, 0, "null", 1
"chemometrics", "mvr_dcv", 5, 0, 0, "character", 1
"chemometrics", "mvr_dcv", 6, 0, 0, "logical", 1
"chemometrics", "mvr_dcv", 7, 0, 0, "double", 1
"chemometrics", "mvr_dcv", 8, 0, 0, "double", 1
"chemometrics", "mvr_dcv", 9, 0, 0, "double", 1
"chemometrics", "mvr_dcv", 10, 0, 0, "character[]", 1
"chemometrics", "mvr_dcv", 11, 0, 0, "null", 1
"chemometrics", "mvr_dcv", 12, 0, 0, "double", 1
"chemometrics", "mvr_dcv", 13, 0, 0, "character[]", 1
"chemometrics", "mvr_dcv", 14, 0, 0, "null", 1
"chemometrics", "mvr_dcv", 15, 0, 0, "logical", 1
"chemometrics", "mvr_dcv", 16, 0, 0, "logical", 1
"chemometrics", "mvr_dcv", 17, 0, 0, "character", 1
"chemometrics", "mvr_dcv", 18, 0, 0, "null", 1
