package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"chk", "abort_chk", -1, 0, 0, "any", 1
"chk", "abort_chk", 0, 0, 0, "...", 1
"chk", "abort_chk", 1, 0, 0, "double", 1
"chk", "abort_chk", 1, 0, 1, "null", 1
"chk", "abort_chk", 2, 0, 0, "logical", 1
"chk", ".anyDuplicated", -1, 0, 0, "integer", 1
"chk", ".anyDuplicated", 0, 0, 0, "character[]", 1
"chk", ".anyDuplicated", 0, 0, 1, "^double[]", 1
"chk", ".anyDuplicated", 0, 0, 2, "null", 1
"chk", ".anyDuplicated", 1, 0, 0, "logical", 1
"chk", ".anyDuplicated", 1, 0, 1, "null", 1
"chk", "backtick_chk", -1, 0, 0, "character", 1
"chk", "backtick_chk", 0, 0, 0, "character", 1
"chk", "cc", -1, 0, 0, "character", 1
"chk", "cc", 0, 0, 0, "character[]", 1
"chk", "cc", 0, 0, 1, "double[]", 1
"chk", "cc", 1, 0, 0, "character", 1
"chk", "cc", 2, 0, 0, "character", 1
"chk", "cc", 3, 0, 0, "character", 1
"chk", "cc", 4, 0, 0, "integer", 1
"chk", "cc", 5, 0, 0, "logical", 1
"chk", "check_data", -1, 0, 0, "any", 1
"chk", "check_data", 0, 0, 0, "class<`data.frame`>", 1
"chk", "check_data", 1, 0, 0, "null", 1
"chk", "check_data", 1, 0, 1, "list<double>", 1
"chk", "check_data", 2, 0, 0, "logical", 1
"chk", "check_data", 3, 0, 0, "logical", 1
"chk", "check_data", 4, 0, 0, "double[]", 1
"chk", "check_data", 5, 0, 0, "any", 1
"chk", "check_data", 6, 0, 0, "null", 1
"chk", "check_dim", -1, 0, 0, "any", 1
"chk", "check_dim", 0, 0, 0, "class<`data.frame`>", 1
"chk", "check_dim", 0, 0, 1, "double", 1
"chk", "check_dim", 1, 0, 0, "class<`function`>", 1
"chk", "check_dim", 2, 0, 0, "double[]", 1
"chk", "check_dim", 3, 0, 0, "null", 1
"chk", "check_dim", 3, 0, 1, "character", 1
"chk", "check_dim", 4, 0, 0, "null", 1
"chk", "check_dim", 4, 0, 1, "character", 1
"chk", "check_key", -1, 0, 0, "any", 1
"chk", "check_key", 0, 0, 0, "class<`data.frame`>", 1
"chk", "check_key", 1, 0, 0, "character[]", 1
"chk", "check_key", 2, 0, 0, "logical", 1
"chk", "check_key", 3, 0, 0, "null", 1
"chk", "check_key", 3, 0, 1, "character", 1
"chk", "check_names", -1, 0, 0, "any", 1
"chk", "check_names", 0, 0, 0, "class<`data.frame`>", 1
"chk", "check_names", 0, 0, 1, "double[]", 1
"chk", "check_names", 1, 0, 0, "character[]", 1
"chk", "check_names", 2, 0, 0, "logical", 1
"chk", "check_names", 3, 0, 0, "logical", 1
"chk", "check_names", 4, 0, 0, "character", 1
"chk", "check_names", 4, 0, 1, "null", 1
"chk", "check_values", -1, 0, 0, "any", 1
"chk", "check_values", 0, 0, 0, "double", 1
"chk", "check_values", 0, 0, 1, "null", 1
"chk", "check_values", 1, 0, 0, "double[]", 1
"chk", "check_values", 2, 0, 0, "null", 1
"chk", "check_values", 2, 0, 1, "character", 1
"chk", "chk_all", -1, 0, 0, "null", 1
"chk", "chk_all", 0, 0, 0, "^logical[]", 1
"chk", "chk_all", 0, 0, 1, "list<any>", 1
"chk", "chk_all", 1, 0, 0, "class<`function`>", 1
"chk", "chk_all", 2, 0, 0, "...", 1
"chk", "chk_all", 3, 0, 0, "null", 1
"chk", "chk_all_equal", -1, 0, 0, "any", 1
"chk", "chk_all_equal", 0, 0, 0, "double[]", 1
"chk", "chk_all_equal", 0, 0, 1, "list<double>", 1
"chk", "chk_all_equal", 1, 0, 0, "double", 1
"chk", "chk_all_equal", 2, 0, 0, "null", 1
"chk", "chk_all_equivalent", -1, 0, 0, "any", 1
"chk", "chk_all_equivalent", 0, 0, 0, "double[]", 1
"chk", "chk_all_equivalent", 0, 0, 1, "list<double>", 1
"chk", "chk_all_equivalent", 1, 0, 0, "double", 1
"chk", "chk_all_equivalent", 2, 0, 0, "null", 1
"chk", "chk_all_identical", -1, 0, 0, "any", 1
"chk", "chk_all_identical", 0, 0, 0, "double[]", 1
"chk", "chk_all_identical", 1, 0, 0, "null", 1
"chk", "chk_array", -1, 0, 0, "null", 1
"chk", "chk_array", 0, 0, 0, "class<`array`>", 1
"chk", "chk_array", 0, 0, 1, "class<`matrix`>", 1
"chk", "chk_array", 1, 0, 0, "null", 1
"chk", "chk_atomic", -1, 0, 0, "any", 1
"chk", "chk_atomic", 0, 0, 0, "double[]", 1
"chk", "chk_atomic", 0, 0, 1, "null", 1
"chk", "chk_atomic", 0, 0, 2, "list<double>", 1
"chk", "chk_atomic", 1, 0, 0, "any", 1
"chk", "chk_character", -1, 0, 0, "any", 1
"chk", "chk_character", 0, 0, 0, "double", 1
"chk", "chk_character", 0, 0, 1, "character", 1
