package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"circular", "A1", -1, 0, 0, "double", 1
"circular", "A1", 0, 0, 0, "double", 1
"circular", "A1inv", -1, 0, 0, "double", 1
"circular", "A1inv", 0, 0, 0, "class<`circular`, `numeric`>", 1
"circular", "A1inv", 0, 0, 1, "double", 1
"circular", "allcrosses", -1, 0, 0, "class<`matrix`>", 1
"circular", "allcrosses", 0, 0, 0, "double", 1
"circular", "allcrosses", 1, 0, 0, "class<`density.circular`>", 1
"circular", "allcrosses", 2, 0, 0, "class<`circular`, `numeric`>", 1
"circular", "allcrosses", 3, 0, 0, "double", 1
"circular", "allcrosses", 4, 0, 0, "...", 1
"circular", "angular.deviation", -1, 0, 0, "double", 1
"circular", "angular.deviation", 0, 0, 0, "class<`circular`, `numeric`>", 1
"circular", "angular.deviation", 1, 0, 0, "logical", 1
"circular", "AngularDeviationRad", -1, 0, 0, "double", 1
"circular", "AngularDeviationRad", 0, 0, 0, "double[]", 1
"circular", "angular.variance", -1, 0, 0, "double", 1
"circular", "angular.variance", 0, 0, 0, "class<`circular`, `numeric`>", 1
"circular", "angular.variance", 1, 0, 0, "logical", 1
"circular", "AngularVarianceRad", -1, 0, 0, "double", 1
"circular", "AngularVarianceRad", 0, 0, 0, "double[]", 1
"circular", "aov.circular", -1, 0, 0, "class<`aov.circular`>", 1
"circular", "aov.circular", 0, 0, 0, "class<`circular`, `numeric`>", 1
"circular", "aov.circular", 1, 0, 0, "double[]", 1
"circular", "aov.circular", 2, 0, 0, "null", 1
"circular", "aov.circular", 3, 0, 0, "character[]", 1
"circular", "aov.circular", 4, 0, 0, "logical", 1
"circular", "aov.circular", 5, 0, 0, "list<any>", 1
"circular", "AovCircularRad", -1, 0, 0, "list<any>", 1
"circular", "AovCircularRad", 0, 0, 0, "double[]", 1
"circular", "AovCircularRad", 1, 0, 0, "double[]", 1
"circular", "AovCircularRad", 2, 0, 0, "null", 1
"circular", "AovCircularRad", 3, 0, 0, "character", 1
"circular", "AovCircularRad", 4, 0, 0, "any", 1
"circular", "area", -1, 0, 0, "list<double[]>", 1
"circular", "area", 0, 0, 0, "class<`matrix`>", 1
"circular", "area", 1, 0, 0, "class<`density.circular`>", 1
"circular", "area", 2, 0, 0, "...", 1
"circular", "area2", -1, 0, 0, "list<double[]>", 1
"circular", "area2", 0, 0, 0, "class<`matrix`>", 1
"circular", "area2", 1, 0, 0, "class<`density.circular`>", 1
"circular", "area2", 2, 0, 0, "double[]", 1
"circular", "area2", 3, 0, 0, "...", 1
"circular", "areas.region.circular", -1, 0, 0, "class<`areas.region.circular`>", 1
"circular", "areas.region.circular", 0, 0, 0, "class<`circular`, `numeric`>", 1
"circular", "areas.region.circular", 1, 0, 0, "class<`matrix`>", 1
"circular", "areas.region.circular", 2, 0, 0, "null", 1
"circular", "areas.region.circular", 3, 0, 0, "double", 1
"circular", "areas.region.circular", 4, 0, 0, "double", 1
"circular", "areas.region.circular", 5, 0, 0, "any", 1
"circular", "areas.region.circular", 6, 0, 0, "character[]", 1
"circular", "areas.region.circular", 7, 0, 0, "any", 1
"circular", "areas.region.circular", 8, 0, 0, "double", 1
"circular", "areas.region.circular", 9, 0, 0, "...", 1
"circular", "arrows.circular", -1, 0, 0, "null", 1
"circular", "arrows.circular", 0, 0, 0, "class<`circular`, `numeric`>", 1
"circular", "arrows.circular", 1, 0, 0, "double[]", 1
"circular", "arrows.circular", 1, 0, 1, "null", 1
"circular", "arrows.circular", 2, 0, 0, "double[]", 1
"circular", "arrows.circular", 3, 0, 0, "double[]", 1
"circular", "arrows.circular", 4, 0, 0, "logical", 1
"circular", "arrows.circular", 5, 0, 0, "double", 1
"circular", "arrows.circular", 6, 0, 0, "null", 1
"circular", "arrows.circular", 7, 0, 0, "null", 1
"circular", "arrows.circular", 8, 0, 0, "null", 1
"circular", "arrows.circular", 9, 0, 0, "...", 1
"circular", "as.circular", -1, 0, 0, "(class<`array`, `circular`> | class<`circular`, `integer`> | class<`circular`, `matrix`> | class<`circular`, `numeric`>)", 1
"circular", "as.circular", 0, 0, 0, "class<`array`, `circular`>", 1
"circular", "as.circular", 0, 0, 1, "class<`circular`, `integer`>", 1
"circular", "as.circular", 0, 0, 2, "class<`circular`, `matrix`>", 1
"circular", "as.circular", 0, 0, 3, "class<`matrix`>", 1
"circular", "as.circular", 0, 0, 4, "class<`circular`, `numeric`>", 1
"circular", "as.circular", 0, 0, 5, "double[]", 1
"circular", "as.circular", 1, 0, 0, "any", 1
"circular", "as.circular", 2, 0, 0, "...", 1
"circular", "as.data.frame.circular", -1, 0, 0, "class<`data.frame`>", 1
"circular", "as.data.frame.circular", 0, 0, 0, "class<`circular`, `integer`>", 1
"circular", "as.data.frame.circular", 0, 0, 1, "class<`circular`, `matrix`>", 1
"circular", "as.data.frame.circular", 0, 0, 2, "class<`circular`, `numeric`>", 1
"circular", "as.data.frame.circular", 1, 0, 0, "null", 1
"circular", "as.data.frame.circular", 2, 0, 0, "logical", 1
"circular", "as.data.frame.circular", 3, 0, 0, "...", 1
"circular", "axis.circular", -1, 0, 0, "null", 1
"circular", "axis.circular", 0, 0, 0, "class<`circular`, `numeric`>", 1
"circular", "axis.circular", 0, 0, 1, "null", 1
"circular", "axis.circular", 1, 0, 0, "expression", 1
"circular", "axis.circular", 1, 0, 1, "null", 1
"circular", "axis.circular", 2, 0, 0, "any", 1
"circular", "axis.circular", 3, 0, 0, "null", 1
"circular", "axis.circular", 3, 0, 1, "character", 1
"circular", "axis.circular", 4, 0, 0, "null", 1
"circular", "axis.circular", 4, 0, 1, "character", 1
"circular", "axis.circular", 5, 0, 0, "null", 1
"circular", "axis.circular", 5, 0, 1, "double", 1
"circular", "axis.circular", 6, 0, 0, "null", 1
"circular", "axis.circular", 6, 0, 1, "character", 1
"circular", "axis.circular", 7, 0, 0, "logical", 1
"circular", "axis.circular", 8, 0, 0, "any", 1
"circular", "axis.circular", 9, 0, 0, "any", 1
"circular", "axis.circular", 10, 0, 0, "any", 1
"circular", "axis.circular", 11, 0, 0, "any", 1
"circular", "axis.circular", 12, 0, 0, "any", 1
"circular", "axis.circular", 13, 0, 0, "double", 1
"circular", "axis.circular", 14, 0, 0, "double", 1
"circular", "axis.circular", 15, 0, 0, "double", 1
"circular", "AxisCircularRad", -1, 0, 0, "null", 1
"circular", "AxisCircularRad", 0, 0, 0, "double[]", 1
"circular", "AxisCircularRad", 1, 0, 0, "any", 1
"circular", "AxisCircularRad", 2, 0, 0, "character[]", 1
"circular", "AxisCircularRad", 2, 0, 1, "expression", 1
"circular", "AxisCircularRad", 3, 0, 0, "any", 1
"circular", "AxisCircularRad", 4, 0, 0, "logical", 1
"circular", "AxisCircularRad", 5, 0, 0, "double", 1
"circular", "AxisCircularRad", 6, 0, 0, "double", 1
"circular", "AxisCircularRad", 7, 0, 0, "double", 1
"circular", "AxisCircularRad", 8, 0, 0, "character", 1
"circular", "AxisCircularRad", 9, 0, 0, "any", 1
"circular", "AxisCircularRad", 10, 0, 0, "any", 1
"circular", "bw.cv.ml.circular", -1, 0, 0, "double", 1
"circular", "bw.cv.ml.circular", 0, 0, 0, "class<`circular`, `numeric`>", 1
