package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"cli", "%||%", -1, 0, 0, "character[]", 1
"cli", "%||%", -1, 0, 1, "class<`cliapp`>", 1
"cli", "%||%", -1, 0, 2, "class<`cli_glue_delay`>", 1
"cli", "%||%", -1, 0, 3, "double", 1
"cli", "%||%", -1, 0, 4, "null", 1
"cli", "%||%", -1, 0, 5, "list<any>", 1
"cli", "%||%", 0, 0, 0, "character[]", 1
"cli", "%||%", 0, 0, 1, "null", 1
"cli", "%||%", 0, 0, 2, "class<`cliapp`>", 1
"cli", "%||%", 0, 0, 3, "double", 1
"cli", "%||%", 0, 0, 4, "list<any>", 1
"cli", "%||%", 1, 0, 0, "any", 1
"cli", "add_child", -1, 0, 0, "list<list<any>>", 1
"cli", "add_child", 0, 0, 0, "list<any>", 1
"cli", "add_child", 1, 0, 0, "character", 1
"cli", "add_child", 2, 0, 0, "...", 1
"cli", "add_handler", -1, 0, 0, "list<class<`call`> | environment>", 1
"cli", "add_handler", 0, 0, 0, "environment", 1
"cli", "add_handler", 1, 0, 0, "list<class<`call`> | environment>", 1
"cli", "add_handler", 2, 0, 0, "logical", 1
"cli", "apply_style", -1, 0, 0, "character[]", 1
"cli", "apply_style", -1, 0, 1, "class<`ansi_string`>", 1
"cli", "apply_style", 0, 0, 0, "character[]", 1
"cli", "apply_style", 0, 0, 1, "class<`ansi_string`>", 1
"cli", "apply_style", 1, 0, 0, "any", 1
"cli", "apply_style", 2, 0, 0, "logical", 1
"cli", "as.character.cli_no", -1, 0, 0, "character", 1
"cli", "as.character.cli_no", 0, 0, 0, "class<`cli_no`>", 1
"cli", "as.character.cli_no", 1, 0, 0, "...", 1
"cli", "as.character.cli_noprint", -1, 0, 0, "character", 1
"cli", "as.character.cli_noprint", 0, 0, 0, "class<`cli_noprint`>", 1
"cli", "as.character.cli_noprint", 1, 0, 0, "...", 1
"cli", "bg_red", -1, 0, 0, "class<`ansi_string`>", 1
"cli", "bg_red", 0, 0, 0, "...", 1
"cli", "box_chars", -1, 0, 0, "list<character>", 1
"cli", "box_styles", -1, 0, 0, "class<`matrix`>", 1
