package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"clusterCrit", "bestCriterion", -1, 0, 0, "integer", 1
"clusterCrit", "bestCriterion", 0, 0, 0, "double[]", 1
"clusterCrit", "bestCriterion", 1, 0, 0, "character", 1
"clusterCrit", "buildCriteriaList", -1, 0, 0, "character[]", 1
"clusterCrit", "buildCriteriaList", 0, 0, 0, "character[]", 1
"clusterCrit", "buildCriteriaList", 1, 0, 0, "logical", 1
"clusterCrit", "clust_canonify", -1, 0, 0, "integer[]", 1
"clusterCrit", "clust_canonify", 0, 0, 0, "integer[]", 1
"clusterCrit", "concordance", -1, 0, 0, "class<`matrix`>", 1
"clusterCrit", "concordance", 0, 0, 0, "integer[]", 1
"clusterCrit", "concordance", 1, 0, 0, "integer[]", 1
"clusterCrit", "extCriteria", -1, 0, 0, "list<double>", 1
"clusterCrit", "extCriteria", 0, 0, 0, "integer[]", 1
"clusterCrit", "extCriteria", 1, 0, 0, "integer[]", 1
"clusterCrit", "extCriteria", 2, 0, 0, "character[]", 1
"clusterCrit", "filter", -1, 0, 0, "logical[]", 1
"clusterCrit", "filter", 0, 0, 0, "character[]", 1
"clusterCrit", "fun", -1, 0, 0, "class<`DLLInfo`>", 1
"clusterCrit", "fun", 0, 0, 0, "character", 1
"clusterCrit", "fun", 1, 0, 0, "character", 1
"clusterCrit", "getCriteriaNames", -1, 0, 0, "character[]", 1
"clusterCrit", "getCriteriaNames", 0, 0, 0, "logical", 1
"clusterCrit", "intCriteria", -1, 0, 0, "list<double>", 1
"clusterCrit", "intCriteria", 0, 0, 0, "class<`matrix`>", 1
"clusterCrit", "intCriteria", 1, 0, 0, "integer[]", 1
"clusterCrit", "intCriteria", 2, 0, 0, "character[]", 1
