package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"clv", "$", -1, 0, 0, "integer[]", 1
"clv", "$", 0, 0, 0, "integer[]", 1
"clv", "$", 1, 0, 0, "any", 1
"clv", "$", -1, 1, 0, "class<`agnes`, `twins`>", 1
"clv", "$", 0, 1, 0, "class<`matrix`>", 1
"clv", "$", 1, 1, 0, "double", 1
"clv", "$", 2, 1, 0, "character", 1
"clv", "$", 3, 1, 0, "...", 1
"clv", "$", -1, 2, 0, "integer[]", 1
"clv", "$", 0, 2, 0, "class<`kmeans`>", 1
"clv", "$", 1, 2, 0, "any", 1
"clv", "$", -1, 3, 0, "class<`hclust`>", 1
"clv", "$", 0, 3, 0, "class<`matrix`>", 1
"clv", "$", 1, 3, 0, "double", 1
"clv", "$", 2, 3, 0, "character", 1
"clv", "$", 3, 3, 0, "...", 1
"clv", "$", -1, 4, 0, "class<`kmeans`>", 1
"clv", "$", 0, 4, 0, "class<`matrix`>", 1
"clv", "$", 1, 4, 0, "integer", 1
"clv", "$", 2, 4, 0, "null", 1
"clv", "$", 3, 4, 0, "...", 1
"clv", "$", -1, 5, 0, "integer[]", 1
"clv", "$", 0, 5, 0, "class<`matrix`>", 1
"clv", "$", 1, 5, 0, "integer", 1
"clv", "$", 2, 5, 0, "null", 1
"clv", "$", 3, 5, 0, "...", 1
"clv", "bcls.matrix", -1, 0, 0, "class<`matrix`>", 1
"clv", "bcls.matrix", 0, 0, 0, "class<`matrix`>", 1
"clv", "bcls.matrix", 1, 0, 0, "integer[]", 1
"clv", "bcls.matrix", 2, 0, 0, "double[]", 1
"clv", "check.avail.methods", -1, 0, 0, "logical[]", 1
"clv", "check.avail.methods", 0, 0, 0, "character[]", 1
"clv", "check.avail.methods", 1, 0, 0, "character", 1
"clv", "check.avail.methods", 2, 0, 0, "character[]", 1
"clv", "check.clust.wrappers", -1, 0, 0, "class<`cls.alg`>", 1
"clv", "check.clust.wrappers", -1, 0, 1, "list<class<`function`> | logical>", 1
"clv", "check.clust.wrappers", 0, 0, 0, "class<`cls.alg`>", 1
"clv", "check.clust.wrappers", 0, 0, 1, "class<`function`>", 1
"clv", "check.intercls.method", -1, 0, 0, "logical[]", 1
"clv", "check.intercls.method", 0, 0, 0, "character[]", 1
"clv", "check.intracls.method", -1, 0, 0, "logical[]", 1
"clv", "check.intracls.method", 0, 0, 0, "character[]", 1
"clv", "check.rep.num", -1, 0, 0, "integer", 1
"clv", "check.rep.num", 0, 0, 0, "double", 1
"clv", "check.res", -1, 0, 0, "null", 1
"clv", "check.res", 0, 0, 0, "integer[]", 1
"clv", "check.res", 1, 0, 0, "double", 1
"clv", "check.res", 2, 0, 0, "any", 1
"clv", "check.res", 3, 0, 0, "any", 1
"clv", "check.subset.ratio", -1, 0, 0, "double", 1
